product_name,product_price,product_url
"Home Planet 升降摺疊筆電桌, 橡木色",$627,https://www.tw.coupang.com/products/Home-Planet-%E5%8D%87%E9%99%8D%E6%91%BA%E7%96%8A%E7%AD%86%E9%9B%BB%E6%A1%8C-169967366422528?itemId=169967366422529&vendorItemId=169966879850496&sourceType=search&rank=&searchId=ab2a2f3bf42a4abfbf18a8525fb0deb8&q=%E9%9B%BB%E7%AB%B6%E6%A1%8C
"升降電腦桌, 莫蘭迪灰色, 1個","$1,353",https://www.tw.coupang.com/products/%E5%8D%87%E9%99%8D%E9%9B%BB%E8%85%A6%E6%A1%8C-473363461931014?itemId=473363461898247&vendorItemId=473363461947394&sourceType=search&rank=1&searchId=ab2a2f3bf42a4abfbf18a8525fb0deb8&q=%E9%9B%BB%E7%AB%B6%E6%A1%8C
"ANYKEY 升降摺疊筆電桌, ANYKEY RD200",$578,https://www.tw.coupang.com/products/ANYKEY-%E5%8D%87%E9%99%8D%E6%91%BA%E7%96%8A%E7%AD%86%E9%9B%BB%E6%A1%8C-214206179672064?itemId=214205512794112&vendorItemId=214204774563840&sourceType=search&rank=2&searchId=ab2a2f3bf42a4abfbf18a8525fb0deb8&q=%E9%9B%BB%E7%AB%B6%E6%A1%8C
"YAMADA 山田化學 迷你摺疊桌, 藍色, 2個",$125,https://www.tw.coupang.com/products/YAMADA-%E5%B1%B1%E7%94%B0%E5%8C%96%E5%AD%B8-%E8%BF%B7%E4%BD%A0%E6%91%BA%E7%96%8A%E6%A1%8C-473734490062854?itemId=473734490079238&vendorItemId=473734490079234&sourceType=search&rank=3&searchId=ab2a2f3bf42a4abfbf18a8525fb0deb8&q=%E9%9B%BB%E7%AB%B6%E6%A1%8C
"HANYANG MSL 電話床桌M, 白色",$361,https://www.tw.coupang.com/products/HANYANG-MSL-%E9%9B%BB%E8%A9%B1%E5%BA%8A%E6%A1%8CM-21006287543783?itemId=21012939189120&vendorItemId=21080203516688&sourceType=search&rank=4&searchId=ab2a2f3bf42a4abfbf18a8525fb0deb8&q=%E9%9B%BB%E7%AB%B6%E6%A1%8C
"GAPANG 實木電腦桌, Maple(8045)","$1,245",https://www.tw.coupang.com/products/GAPANG-%E5%AF%A6%E6%9C%A8%E9%9B%BB%E8%85%A6%E6%A1%8C-21002281661167?itemId=21003918721681&vendorItemId=21071903253396&sourceType=search&rank=5&searchId=ab2a2f3bf42a4abfbf18a8525fb0deb8&q=%E9%9B%BB%E7%AB%B6%E6%A1%8C
"GAPANG Wood 8 號電腦桌, 白色","$1,524",https://www.tw.coupang.com/products/GAPANG-Wood-8-%E8%99%9F%E9%9B%BB%E8%85%A6%E6%A1%8C-21002281447658?itemId=21003918210759&vendorItemId=21071902746154&sourceType=search&rank=6&searchId=ab2a2f3bf42a4abfbf18a8525fb0deb8&q=%E9%9B%BB%E7%AB%B6%E6%A1%8C
"GAPANG 金屬電腦桌7, 黑色","$2,820",https://www.tw.coupang.com/products/GAPANG-%E9%87%91%E5%B1%AC%E9%9B%BB%E8%85%A6%E6%A1%8C7-21002310755119?itemId=21003985228023&vendorItemId=21071969539319&sourceType=search&rank=7&searchId=ab2a2f3bf42a4abfbf18a8525fb0deb8&q=%E9%9B%BB%E7%AB%B6%E6%A1%8C
"BLMG 飛翔辦公桌 800, 黑色","$1,168",https://www.tw.coupang.com/products/BLMG-%E9%A3%9B%E7%BF%94%E8%BE%A6%E5%85%AC%E6%A1%8C-800-21008185913323?itemId=21023410336417&vendorItemId=21090437430601&sourceType=search&rank=8&searchId=ab2a2f3bf42a4abfbf18a8525fb0deb8&q=%E9%9B%BB%E7%AB%B6%E6%A1%8C
"DARUMEE 筆記型電腦木質桌 60*40cm, 05 楓木",$840,https://www.tw.coupang.com/products/DARUMEE-%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6%E6%9C%A8%E8%B3%AA%E6%A1%8C-60*40cm-21006544946391?itemId=21014588102187&vendorItemId=21081830101591&sourceType=search&rank=9&searchId=ab2a2f3bf42a4abfbf18a8525fb0deb8&q=%E9%9B%BB%E7%AB%B6%E6%A1%8C
