product_name,product_price,product_url
"Panasonic 國際牌 電水壺 1.5L, NC-KD300","$1,460",https://www.tw.coupang.com/products/Panasonic-%E5%9C%8B%E9%9A%9B%E7%89%8C-%E9%9B%BB%E6%B0%B4%E5%A3%BA-1.5L-451592763408386?itemId=451592763441155&vendorItemId=451592763441154&sourceType=search&rank=&searchId=d5322c89b87b403c9a525523257a0c6b&q=%E9%9B%BB%E8%8C%B6%E5%A3%BA
"小太陽 1.8L不鏽鋼快煮壺 21.8 x 15.5 x 24cm 780g, TE-1502W",$349,https://www.tw.coupang.com/products/%E5%B0%8F%E5%A4%AA%E9%99%BD-1.8L%E4%B8%8D%E9%8F%BD%E9%8B%BC%E5%BF%AB%E7%85%AE%E5%A3%BA-21.8-x-15.5-x-24cm-780g-453401636700162?itemId=453401636700163&vendorItemId=453401636716546&sourceType=search&rank=1&searchId=d5322c89b87b403c9a525523257a0c6b&q=%E9%9B%BB%E8%8C%B6%E5%A3%BA
"Kinyo 快煮壺, KIHP-1157",$407,https://www.tw.coupang.com/products/Kinyo-%E5%BF%AB%E7%85%AE%E5%A3%BA-450512558194692?itemId=450512558211078&vendorItemId=450512558178307&sourceType=search&rank=2&searchId=d5322c89b87b403c9a525523257a0c6b&q=%E9%9B%BB%E8%8C%B6%E5%A3%BA
"Panasonic 國際牌 溫控型電水壺 1.5L, NC-KD700","$2,018",https://www.tw.coupang.com/products/Panasonic-%E5%9C%8B%E9%9A%9B%E7%89%8C-%E6%BA%AB%E6%8E%A7%E5%9E%8B%E9%9B%BB%E6%B0%B4%E5%A3%BA-1.5L-453410218295302?itemId=453410218246144&vendorItemId=453410218278917&sourceType=search&rank=3&searchId=d5322c89b87b403c9a525523257a0c6b&q=%E9%9B%BB%E8%8C%B6%E5%A3%BA
"Lacuzin 鑄鐵風溫控泡茶快煮壺 珍珠白, LCZ2001WT","$1,027",https://www.tw.coupang.com/products/Lacuzin-%E9%91%84%E9%90%B5%E9%A2%A8%E6%BA%AB%E6%8E%A7%E6%B3%A1%E8%8C%B6%E5%BF%AB%E7%85%AE%E5%A3%BA-%E7%8F%8D%E7%8F%A0%E7%99%BD-450877986914304?itemId=450877986897920&vendorItemId=450877982736384&sourceType=search&rank=4&searchId=d5322c89b87b403c9a525523257a0c6b&q=%E9%9B%BB%E8%8C%B6%E5%A3%BA
"MATRIC 松木家電 不鏽鋼快煮壺 2L, MG-KT2009",$588,https://www.tw.coupang.com/products/MATRIC-%E6%9D%BE%E6%9C%A8%E5%AE%B6%E9%9B%BB-%E4%B8%8D%E9%8F%BD%E9%8B%BC%E5%BF%AB%E7%85%AE%E5%A3%BA-2L-453035281055744?itemId=453035281039361&vendorItemId=453035281022976&sourceType=search&rank=5&searchId=d5322c89b87b403c9a525523257a0c6b&q=%E9%9B%BB%E8%8C%B6%E5%A3%BA
"Kinyo 電熱水杯 藍色, KIHP-2250",$824,https://www.tw.coupang.com/products/Kinyo-%E9%9B%BB%E7%86%B1%E6%B0%B4%E6%9D%AF-%E8%97%8D%E8%89%B2-450916616470529?itemId=450916616486913&vendorItemId=450916616454144&sourceType=search&rank=6&searchId=d5322c89b87b403c9a525523257a0c6b&q=%E9%9B%BB%E8%8C%B6%E5%A3%BA
"Kinyo 不鏽鋼快煮壺 1.8L 1000W 675g 220 x 160 x 240mm, KIHP-1160",$466,https://www.tw.coupang.com/products/Kinyo-%E4%B8%8D%E9%8F%BD%E9%8B%BC%E5%BF%AB%E7%85%AE%E5%A3%BA-1.8L-1000W-675g-220-x-160-x-240mm-450512562372608?itemId=450512562388992&vendorItemId=450512558161924&sourceType=search&rank=7&searchId=d5322c89b87b403c9a525523257a0c6b&q=%E9%9B%BB%E8%8C%B6%E5%A3%BA
"Kinyo 雙電壓旅行快煮壼 14.5 x 17.5 x 10.5cm 600ml, AS-HP70",$685,https://www.tw.coupang.com/products/Kinyo-%E9%9B%99%E9%9B%BB%E5%A3%93%E6%97%85%E8%A1%8C%E5%BF%AB%E7%85%AE%E5%A3%BC-14.5-x-17.5-x-10.5cm-600ml-455865849069569?itemId=455865849020416&vendorItemId=455865849069568&sourceType=search&rank=8&searchId=d5322c89b87b403c9a525523257a0c6b&q=%E9%9B%BB%E8%8C%B6%E5%A3%BA
"無線快煮壺, T-1800, 2L, 1個",$395,https://www.tw.coupang.com/products/%E7%84%A1%E7%B7%9A%E5%BF%AB%E7%85%AE%E5%A3%BA-470732953829376?itemId=470732953845760&vendorItemId=470732949635073&sourceType=search&rank=9&searchId=d5322c89b87b403c9a525523257a0c6b&q=%E9%9B%BB%E8%8C%B6%E5%A3%BA
"Kinyo 1.8L玻璃快煮壺 210 x 169 x 233mm 1030g, ITHP-167",$568,https://www.tw.coupang.com/products/Kinyo-1.8L%E7%8E%BB%E7%92%83%E5%BF%AB%E7%85%AE%E5%A3%BA-210-x-169-x-233mm-1030g-450509429260292?itemId=450509429211140&vendorItemId=450509429211138&sourceType=search&rank=10&searchId=d5322c89b87b403c9a525523257a0c6b&q=%E9%9B%BB%E8%8C%B6%E5%A3%BA
"大家源 晶瑩玻璃快煮壺 1.8L 21 x 16 x 22.5cm 980g, TCY-261802",$639,https://www.tw.coupang.com/products/%E5%A4%A7%E5%AE%B6%E6%BA%90-%E6%99%B6%E7%91%A9%E7%8E%BB%E7%92%83%E5%BF%AB%E7%85%AE%E5%A3%BA-1.8L-21-x-16-x-22.5cm-980g-458093590724615?itemId=458093590675461&vendorItemId=458093590691842&sourceType=search&rank=11&searchId=d5322c89b87b403c9a525523257a0c6b&q=%E9%9B%BB%E8%8C%B6%E5%A3%BA
"五星級不鏽鋼快煮壺 1.8L, LM-720, 1個",$467,https://www.tw.coupang.com/products/%E4%BA%94%E6%98%9F%E7%B4%9A%E4%B8%8D%E9%8F%BD%E9%8B%BC%E5%BF%AB%E7%85%AE%E5%A3%BA-1.8L-468544869318658?itemId=468544869351427&vendorItemId=468544869318657&sourceType=search&rank=12&searchId=d5322c89b87b403c9a525523257a0c6b&q=%E9%9B%BB%E8%8C%B6%E5%A3%BA
"TECO 東元 大容量玻璃快煮壺 1.7L, XYFYK1706",$829,https://www.tw.coupang.com/products/TECO-%E6%9D%B1%E5%85%83-%E5%A4%A7%E5%AE%B9%E9%87%8F%E7%8E%BB%E7%92%83%E5%BF%AB%E7%85%AE%E5%A3%BA-1.7L-455194705870855?itemId=455194705887237&vendorItemId=455194705887234&sourceType=search&rank=13&searchId=d5322c89b87b403c9a525523257a0c6b&q=%E9%9B%BB%E8%8C%B6%E5%A3%BA
"304不銹鋼電茶壺 190 x 190 x 232mm 1.8L, SWB-20, 1個",$956,https://www.tw.coupang.com/products/304%E4%B8%8D%E9%8A%B9%E9%8B%BC%E9%9B%BB%E8%8C%B6%E5%A3%BA-190-x-190-x-232mm-1.8L-463112427782144?itemId=463112427765763&vendorItemId=463112427749378&sourceType=search&rank=14&searchId=d5322c89b87b403c9a525523257a0c6b&q=%E9%9B%BB%E8%8C%B6%E5%A3%BA
"Kolin 歌林 LED玻璃快煮壺 225 x 155 x 245mm, KPK-UD1705, 1個",$499,https://www.tw.coupang.com/products/Kolin-%E6%AD%8C%E6%9E%97-LED%E7%8E%BB%E7%92%83%E5%BF%AB%E7%85%AE%E5%A3%BA-225-x-155-x-245mm-464313802244104?itemId=464313802260484&vendorItemId=464313802244103&sourceType=search&rank=15&searchId=d5322c89b87b403c9a525523257a0c6b&q=%E9%9B%BB%E8%8C%B6%E5%A3%BA
