product_name,product_price,product_url
"倍氣韓庄高麗蔘茶包, 50g, 10個, 1袋",$244,https://www.tw.coupang.com/products/%E5%80%8D%E6%B0%A3%E9%9F%93%E5%BA%84%E9%AB%98%E9%BA%97%E8%94%98%E8%8C%B6%E5%8C%85-473633617068035?itemId=473633617051654&vendorItemId=473633617035266&sourceType=search&rank=&searchId=55153a17db844e69b010f9e127cd6720&q=%E9%AB%98%E9%BA%97%E8%94%98%E8%8C%B6%E5%8C%85
"蔘大王 溫氣東洋蔘茶包, 5g, 10包, 1袋",$240,https://www.tw.coupang.com/products/%E8%94%98%E5%A4%A7%E7%8E%8B-%E6%BA%AB%E6%B0%A3%E6%9D%B1%E6%B4%8B%E8%94%98%E8%8C%B6%E5%8C%85-473633608646657?itemId=473633608679425&vendorItemId=473633604468754&sourceType=search&rank=1&searchId=55153a17db844e69b010f9e127cd6720&q=%E9%AB%98%E9%BA%97%E8%94%98%E8%8C%B6%E5%8C%85
"正官庄 高麗蔘茶, 3g, 100包, 1盒",$975,https://www.tw.coupang.com/products/%E6%AD%A3%E5%AE%98%E5%BA%84-%E9%AB%98%E9%BA%97%E8%94%98%E8%8C%B6-230128567173137?itemId=230129309548555&vendorItemId=230127736668162&sourceType=search&rank=2&searchId=55153a17db844e69b010f9e127cd6720&q=%E9%AB%98%E9%BA%97%E8%94%98%E8%8C%B6%E5%8C%85
"展瑄 人蔘枸杞茶, 4.5g, 30入, 1盒",$235,https://www.tw.coupang.com/products/%E5%B1%95%E7%91%84-%E4%BA%BA%E8%94%98%E6%9E%B8%E6%9D%9E%E8%8C%B6-158407755546631?itemId=158408158183434&vendorItemId=158408158183424&sourceType=search&rank=3&searchId=55153a17db844e69b010f9e127cd6720&q=%E9%AB%98%E9%BA%97%E8%94%98%E8%8C%B6%E5%8C%85
"蔘大王 黑蕎麥茶包 20包, 6g, 1袋",$200,https://www.tw.coupang.com/products/%E8%94%98%E5%A4%A7%E7%8E%8B-%E9%BB%91%E8%95%8E%E9%BA%A5%E8%8C%B6%E5%8C%85-20%E5%8C%85-473633638039559?itemId=473633637990409&vendorItemId=473633638039557&sourceType=search&rank=4&searchId=55153a17db844e69b010f9e127cd6720&q=%E9%AB%98%E9%BA%97%E8%94%98%E8%8C%B6%E5%8C%85
"wooriga 人蔘茶茶包, 1g, 100包, 1罐",$844,https://www.tw.coupang.com/products/wooriga-%E4%BA%BA%E8%94%98%E8%8C%B6%E8%8C%B6%E5%8C%85-21007502251552?itemId=21019641054620&vendorItemId=21086784279882&sourceType=search&rank=5&searchId=55153a17db844e69b010f9e127cd6720&q=%E9%AB%98%E9%BA%97%E8%94%98%E8%8C%B6%E5%8C%85
"高麗紅蔘茶沖泡粉, 3g, 100包, 1盒",$210,https://www.tw.coupang.com/products/%E9%AB%98%E9%BA%97%E7%B4%85%E8%94%98%E8%8C%B6%E6%B2%96%E6%B3%A1%E7%B2%89-21001514853630?itemId=21002600184679&vendorItemId=21003028647769&sourceType=search&rank=6&searchId=55153a17db844e69b010f9e127cd6720&q=%E9%AB%98%E9%BA%97%E8%94%98%E8%8C%B6%E5%8C%85
"正官庄 高麗蔘精 EVERYTIME 30包, 300ml, 1盒",$987,https://www.tw.coupang.com/products/%E6%AD%A3%E5%AE%98%E5%BA%84-%E9%AB%98%E9%BA%97%E8%94%98%E7%B2%BE-EVERYTIME-30%E5%8C%85-264982570696709?itemId=264980632911879&vendorItemId=391074832957440&sourceType=search&rank=7&searchId=55153a17db844e69b010f9e127cd6720&q=%E9%AB%98%E9%BA%97%E8%94%98%E8%8C%B6%E5%8C%85
"玉民 黃金蕎麥茶 熟茶立體茶包, 5g, 12包, 1袋",$144,https://www.tw.coupang.com/products/%E7%8E%89%E6%B0%91-%E9%BB%83%E9%87%91%E8%95%8E%E9%BA%A5%E8%8C%B6-%E7%86%9F%E8%8C%B6%E7%AB%8B%E9%AB%94%E8%8C%B6%E5%8C%85-278366028513291?itemId=278367085510661&vendorItemId=278366028513290&sourceType=search&rank=8&searchId=55153a17db844e69b010f9e127cd6720&q=%E9%AB%98%E9%BA%97%E8%94%98%E8%8C%B6%E5%8C%85
"Danongwon 熟麥茶, 1.2g, 100包, 1盒",$176,https://www.tw.coupang.com/products/Danongwon-%E7%86%9F%E9%BA%A5%E8%8C%B6-232356887642121?itemId=232357638406153&vendorItemId=232357638406151&sourceType=search&rank=9&searchId=55153a17db844e69b010f9e127cd6720&q=%E9%AB%98%E9%BA%97%E8%94%98%E8%8C%B6%E5%8C%85
"正官庄 高麗蔘粉EVERYTIME 禮盒組, 2g, 30包, 1盒","$1,499",https://www.tw.coupang.com/products/%E6%AD%A3%E5%AE%98%E5%BA%84-%E9%AB%98%E9%BA%97%E8%94%98%E7%B2%89EVERYTIME-%E7%A6%AE%E7%9B%92%E7%B5%84-230127715696646?itemId=230128546201600&vendorItemId=230129284382726&sourceType=search&rank=10&searchId=55153a17db844e69b010f9e127cd6720&q=%E9%AB%98%E9%BA%97%E8%94%98%E8%8C%B6%E5%8C%85
"T世家 精選茉香綠茶包, 2g, 100包, 1盒",$86,https://www.tw.coupang.com/products/T%E4%B8%96%E5%AE%B6-%E7%B2%BE%E9%81%B8%E8%8C%89%E9%A6%99%E7%B6%A0%E8%8C%B6%E5%8C%85-465676217024513?itemId=465676217040900&vendorItemId=465676212879371&sourceType=search&rank=11&searchId=55153a17db844e69b010f9e127cd6720&q=%E9%AB%98%E9%BA%97%E8%94%98%E8%8C%B6%E5%8C%85
"正官庄 高麗蔘茶, 3g, 50包, 1盒",$530,https://www.tw.coupang.com/products/%E6%AD%A3%E5%AE%98%E5%BA%84-%E9%AB%98%E9%BA%97%E8%94%98%E8%8C%B6-230128567173137?itemId=230127736668179&vendorItemId=230128567173130&sourceType=search&rank=12&searchId=55153a17db844e69b010f9e127cd6720&q=%E9%AB%98%E9%BA%97%E8%94%98%E8%8C%B6%E5%8C%85
"NOKCHAWON 綠茶園 玉米鬚茶包, 1.5g, 50包, 1盒",$109,https://www.tw.coupang.com/products/NOKCHAWON-%E7%B6%A0%E8%8C%B6%E5%9C%92-%E7%8E%89%E7%B1%B3%E9%AC%9A%E8%8C%B6%E5%8C%85-215601280663568?itemId=157280142065664&vendorItemId=167122399363075&sourceType=search&rank=13&searchId=55153a17db844e69b010f9e127cd6720&q=%E9%AB%98%E9%BA%97%E8%94%98%E8%8C%B6%E5%8C%85
