MOMO Title,Product Title,Similarity
【Bbia】絲絨腮紅膏 3.5G （韓國 頰彩 多色 Rlaso）,"BBIA Downy Cheek 絲絨腮紅膏 3.5g, 06 Downy Fig, 1個",0.927997350692749
【韓國 Bbia】不掉色水光玻璃唇釉3.2G(14色可選),"BBIA 魅雅 不掉色水光玻璃唇釉, 04 肉桂, 3.2g, 1支",0.9670433402061462
【Bbia】唇膏 Last Powder Lipstick(第六感粉霧啞光唇膏),"BBIA LAST霧面持久唇釉, V05 Extra Cute, 5g, 1支",0.9381447434425354
【Bbia】謬斯女神腮紅餅 2.5G（腮紅餅 腮紅 女神 Rlaso）,"BBIA 魅雅 謬斯女神腮紅餅 2.5g, 01 Cherry Blossom, 1個",0.9706391096115112
【Bbia】不掉色水光玻璃唇釉 3.2G （不掉色 水光 玻璃 唇釉 Rlaso）,"BBIA 魅雅 不掉色水光玻璃唇釉, 01 桃米瓶子, 3.2g, 1支",0.9590038061141968
【Bbia】極細防水抗暈持久眼影眼線筆 0.3G(眼影 眼線 眼妝 眼彩 眼線筆 眼影筆 臥蠶),"BBIA 魅雅 極細防水抗暈持久眼影眼線膠筆 0.3g, 14 Almond Beige, 1支",0.957161009311676
【Bbia】超持久水潤光保濕唇釉 4.5G （韓國 保濕 唇釉 持久 Rlaso）,"BBIA 魅雅 L'eau 水潤光保濕唇釉, 01 Gardenia L'eau, 4.5g, 1支",0.938863217830658
【Bbia】澎潤亮眼持久臥蠶眼線膠筆3色(碧娥 眼線液筆 眼線膠筆 抗暈染 防水 液體眼線筆),"BBIA 魅雅 極細防水抗暈持久眼影眼線膠筆 0.3g, 14 Almond Beige, 1支",0.9490185379981995
【卡芮亞】Bbia 極細防水抗暈持久眼影眼線筆 0.3G(熱門 推薦 眼影 眼線 眼妝 眼彩 眼線筆 眼影筆),"BBIA 魅雅 極細防水抗暈持久眼影眼線膠筆 0.3g, 14 Almond Beige, 1支",0.9451296329498291
【Bbia】定妝蜜粉餅 7G（蜜粉 控油 Rlaso）,"BBIA 魅雅 控油柔焦定妝蜜粉餅, 7g, 1個",0.9724968075752258
【Bbia】｜ Anniukr｜去角質保濕粉嫩潤唇膏 10G,"BBIA 魅雅 保濕粉嫩潤唇膏, 10g, 1罐",0.949852466583252
【Bbia】去角質保濕粉嫩潤唇膏10G(Lip Oil Balm 護唇膏 唇膜 唇部護理),"BBIA 魅雅 保濕粉嫩潤唇膏, 10g, 1罐",0.9218757748603821
【Bbia】超持久抗暈柔細眼線液筆(抗暈3色 眼線 眼線液 眼線液筆),"BBIA 魅雅 超持久抗暈柔細眼線液筆 0.6g, 01 Sharpen Black, 1支",0.9655485153198242
【Bbia】超極細防水抗暈持久眼線膠筆 0.1G,"BBIA 臥蠶眼線液筆 0.6g, 01 Cafe Au Lait, 1支",0.916941225528717
【Bbia】霧面啞光持久唇釉(持久唇釉 啞光唇釉 絲絨唇釉 霧面 啞光 持久),"BBIA 魅雅 不掉色水光玻璃唇釉, 04 肉桂, 3.2g, 1支",0.9396562576293945
【Bbia】不掉色水光玻璃唇釉 3.2G(水光唇釉 染唇液 嘟嘟唇 染唇釉 持久唇釉 不掉色 唇膏 唇釉),"BBIA 魅雅 不掉色水光玻璃唇釉, 04 肉桂, 3.2g, 1支",0.9264083504676819
【Bbia】碧娥 超持久水潤光保濕唇釉 超持久唇釉 水光唇釉 4.5G(光澤 嘟嘟唇 果凍唇 染唇液),"BBIA 魅雅 L'eau 水潤光保濕唇釉, 01 Gardenia L'eau, 4.5g, 1支",0.9138474464416504
【卡芮亞】Bbia 保濕豐潤唇膏 3G(唇膏 口紅 唇彩 光澤唇膏),"BBIA 魅雅 保濕粉嫩潤唇膏, 10g, 1罐",0.9081653356552124
【Bbia】｜ Anniukr｜精緻亮眼立體臥蠶眼線液筆 0.9G,"BBIA 臥蠶眼線液筆 0.6g, 01 Cafe Au Lait, 1支",0.9713413715362549
【韓國 Bbia】謬斯女神腮紅餅2.5G(11色可選),"BBIA 魅雅 謬斯女神腮紅餅 2.5g, 02 薰衣草花瓣, 1個",0.9648608565330505
【Bbia】｜ Anniukr｜超持久水潤光保濕唇釉 4.5G,"BBIA 魅雅 保濕粉嫩潤唇膏, 10g, 1罐",0.943007230758667
【Bbia】超持久水潤光保濕唇釉 4.5G夏型人,"BBIA 魅雅 保濕粉嫩潤唇膏, 10g, 2罐",0.946902871131897
【Bbia】控油柔焦定妝蜜粉餅蜜粉(控油 定妝蜜粉餅 蜜粉餅 控油蜜粉餅 7G),"BBIA 魅雅 控油柔焦定妝蜜粉餅, 7g, 1個",0.9599643349647522
【Bbia】｜ Anniukr｜花曜薔薇絲柔粉霧唇釉 3G,"BBIA 魅雅 不掉色水光玻璃唇釉, 04 肉桂, 3.2g, 1支",0.9410258531570435
【Bbia】謬斯女神腮紅餅 2.5G(腮紅餅 腮紅 腮紅霜),"BBIA 魅雅 謬斯女神腮紅餅 2.5g, 01 Cherry Blossom, 1個",0.9589629769325256
【Bbia】｜ Anniukr｜絲絨腮紅膏 3.5G,"BBIA Downy Cheek 絲絨腮紅膏 3.5g, 06 Downy Fig, 1個",0.9389147162437439
【Bbia】絲絨腮紅 5.5G Powder(碧娥 韓國 多色 好氣色),"BBIA Downy Cheek 絲絨腮紅膏 3.5g, 06 Downy Fig, 1個",0.9110556840896606
【Bbia】｜ Anniukr｜腮紅餅 5.5G,"BBIA 魅雅 謬斯女神腮紅餅 2.5g, 02 薰衣草花瓣, 1個",0.9237304329872131
【Bbia】｜ Anniukr｜超持久抗暈柔細眼線液筆 3色,"BBIA 魅雅 超持久抗暈柔細眼線液筆 0.6g, 01 Sharpen Black, 1支",0.9539350867271423
【Bbia】藍眼淚終極防水控油眼線液筆(抗暈 防水 控油 2色 眼線 眼線液 眼線液筆),"BBIA 魅雅 超持久抗暈柔細眼線液筆 0.6g, 01 Sharpen Black, 1支",0.9527662396430969
【卡芮亞】Bbia 謬斯女神腮紅修容餅 2.5G(熱門 推薦 修容 花生 腮紅 霧面修容 霧面腮紅 霧面),"BBIA 魅雅 謬斯女神腮紅餅 2.5g, 01 Cherry Blossom, 1個",0.9217817783355713
【Bbia】水潤持久遮瑕膏8.5G(3色可選),"BBIA Eau Stay Concealer水潤持久遮瑕膏, 21 Light, 1支",0.9459587931632996
【Bbia】臥蠶眼線膠筆0.7G(臥蠶 持久),"BBIA 臥蠶眼線液筆 0.6g, 01 Cafe Au Lait, 1支",0.9386085271835327
【Bbia】售完不補｜霧面啞光持久唇釉(持久唇釉 啞光唇釉 絲絨唇釉 霧面 啞光 持久),"BBIA 魅雅 MLBB系列專屬裸唇光澤唇釉, 1個, 3.2g, 15 Spring Bottle",0.928310751914978
【Bbia】超持久水潤光保濕唇釉 4.5G(光澤 嘟嘟唇 果凍唇 染唇液),"BBIA 魅雅 保濕粉嫩潤唇膏, 10g, 1罐",0.9346643090248108
【Bbia】絲絨腮紅膏｜碧娥 Downy Cheek 3.5G 奶油配方 隱形肌膚 澎潤 顯色 清澈透亮 自然 柔軟 絲綢感,"BBIA Downy Cheek 絲絨腮紅膏 3.5g, 06 Downy Fig, 1個",0.9481663703918457
【Bbia】｜ Anniukr｜第六感粉霧啞光唇膏 8色,"BBIA 魅雅 不掉色水光玻璃唇釉, 04 肉桂, 3.2g, 1支",0.9294582009315491
【Bbia】｜ Anniukr｜藍眼淚終極防水控油眼線液筆 2色,"BBIA 魅雅 超持久抗暈柔細眼線液筆 0.6g, 01 Sharpen Black, 1支",0.9364423155784607
