MOMO Title,Product Title,Similarity
【Razer 雷蛇】Pro Click Humanscale 人體工學 商務 無線滑鼠,"RAZER 雷蛇 超輕量電競無線滑鼠, 黑色, 1個",0.932561993598938
雙11限定【Razer 雷蛇】Deathadder Essential★煉獄奎蛇 標準版有線電競滑鼠(黑色),"Razer 電競滑鼠, DeathAdder V3 煉獄奎蛇 V3, 1個",0.9697349667549133
雙11限定【Razer 雷蛇】Basilisk V3 Pro 巴塞利斯蛇 V3 Pro 無線電競滑鼠(白色),"Razer Basilisk V3 X HyperSpeed無線滑鼠, 1個",0.9260505437850952
【Razer 雷蛇】毒蝰 Viper V3 Pro 無線超輕量電競滑鼠 白色55公克超輕量設計電池更續航,"RAZER 雷蛇 超輕量電競無線滑鼠, 黑色, 1個",0.9170044660568237
【Razer 雷蛇】Gigantus V2 巨甲蟲滑鼠墊 Pokemon 寶可夢限定版 Xxl(鼠墊 電競鼠墊 聯名款),"RAZER 雷蛇 GIGANTUS V2滑鼠墊 L號, 混色, 1入",0.9659823179244995
雙11限定【Razer 雷蛇】Ornata V3 X 雨林狼蛛 V3 X中文有線鍵盤,"Razer 雨林狼蛛V3類機械式RGB鍵盤, 1個",0.9048898220062256
【Razer 雷蛇】Deathadder V3 Hyperspeed 無線電競滑鼠(輕量滑鼠 人體工學設計 光學感測器 遊戲滑鼠 電競滑鼠),"RAZER 雷蛇 DEATHADDER ESSENTIAL有線滑鼠, RZ01-0385, 黑色 (0100-R3M1)",0.9118897914886475
【Razer 雷蛇】Razer Barracuda X 2022★ 梭魚無線耳機 X 2022版,"Razer X 梭魚無線電競耳麥 2022, 1個",0.9143592119216919
【Razer 雷蛇】Pro Glide Mercury滑鼠墊 白(Rz02-03331500-R3M1),"RAZER 雷蛇 基本滑鼠墊, 混色, 1入",0.9748064875602722
雙11限定【Razer 雷蛇】Ornata V3 雨林狼蛛 V3 中文有線鍵盤,"Razer 雨林狼蛛V3類機械式RGB鍵盤, 1個",0.9005298614501953
【Razer 雷蛇】Deathadder Essential★煉獄奎蛇 標準版有線電競滑鼠(黑色),"Razer 電競滑鼠, DeathAdder V3 煉獄奎蛇 V3, 1個",0.9736425876617432
【Razer 雷蛇】Basilisk V3 Pro Rgb 巴塞利斯蛇 V3 Pro無線電競滑鼠可編程按鍵,"Razer Basilisk V3 X HyperSpeed無線滑鼠, 1個",0.9297553896903992
【Razer 雷蛇】Deathadder V2 X Hyperspeed 煉獄奎蛇 無線滑鼠(14000Dpi 機械軸 可編程按),"Razer 電競滑鼠, DeathAdder V3 煉獄奎蛇 V3, 1個",0.9620414972305298
【Razer 雷蛇】Atlas 強化玻璃遊戲滑鼠墊(黑),"RAZER 雷蛇 基本滑鼠墊, 混色, 1入",0.9642463326454163
【Razer 雷蛇】Huntsman V3 Pro Mini 獵魂光蛛V3 Pro Mini有線電競鍵盤/中文(光學軸),"Razer 獵魂光蛛 V3 Pro mini 鍵盤 光軸, 1個",0.9169471859931946
