MOMO Title,Product Title,Similarity
【Kingston 金士頓】Canvas Select Plus Microsdxc 256Gb 記憶卡★Sdcs2/256Gb(附轉卡),"Kingston金士頓 Micro SDXC 記憶卡, 256GB, 1個",0.9799404144287109
【Kingston 金士頓】256Gb Sdxc Sd U3 V60 Uhs-Ii 記憶卡(Sdr2V6/256Gb 平輸),"Kingston金士頓 Micro SDXC 記憶卡, 256GB, 1個",0.9491503238677979
【Sandisk】Extreme Sd Uhs-I 記憶卡 128Gb(公司貨),"SANDISK 任天堂專用記憶卡 SDSQXAO, 128GB, 1個",0.9101670384407043
【Kingston 金士頓】256Gb Sdxc Sd Uhs-I U3 V90 Uhs-Ii 記憶卡(Sdr2/256Gb 平輸),"Kingston金士頓 Micro SDXC 記憶卡, 256GB, 1個",0.9003512859344482
【Kingston 金士頓】Canvasreactplus Sd Sdr2/128Gb 記憶卡(Sdr2/128Gb),"Kingston金士頓 Micro SDXC 記憶卡, 256GB, 1個",0.9198364019393921
【Sandisk】Ultra Sd Uhs-I 記憶卡 32Gb(公司貨),"SANDISK 任天堂專用記憶卡 SDSQXAO, 128GB, 1個",0.9069239497184753
【Kingston 金士頓】256Gb Sdxc Sd Uhs-I U3 V30 記憶卡(Sdg3/256Gb 平輸),"Kingston金士頓 Micro SDXC 記憶卡, 256GB, 1個",0.9620897173881531
【Transcend 創見】Micro Sd 350V 128Gb 高耐用 記憶卡,"Transcend 創見資訊 UHS-I SD 300S 記憶卡, 128GB, 1個",0.9250815510749817
【Sandisk 晟碟】[全新版 再升級] 64Gb Extreme Pro Sdxc 4K V30 記憶卡 200Mb/S(原廠有限 永久保固),"SanDisk 晟碟 Ultra A1 記憶卡, 64GB, 1個",0.9047507047653198
【Apacer 宇瞻】256Gb Sd Uhs-Ii U3 V30 高速記憶卡 290Mb/S(公司貨),"Apacer 宇瞻 MicroSDXC U3 V30 A2 Class10 記憶卡, 64GB, 1個",0.9237450957298279
【Apacer 宇瞻】64Gb Sd Uhs-I U3 V30 R100記憶卡 100Mb/S(公司貨),"Apacer 宇瞻 MicroSDXC U3 V30 A2 Class10 記憶卡, 64GB, 1個",0.9710516929626465
