MOMO Title,Product Title,Similarity
【Jinho 京禾】Jh-2892-12聯名-浪漫海芋(限量款/印花樂/計算機),"JINHO 京禾 計算機 印花樂聯名款, 海芋, 1個",0.9706403613090515
【仁舟淨塑】蜂蠟保鮮罩Xl號_印花樂款(飯菜罩/保鮮套/保鮮膜/天然蜂蠟),,
【Love Foot 樂芙】真皮豆豆鞋 兩穿豆豆鞋/真皮印花兩穿法舒適淺口懶人豆豆鞋(橘),,
【Mom】真皮樂福鞋 氣墊樂福鞋/真皮蕾絲花邊藍色微笑印花舒適氣墊樂福鞋 護士鞋(白),,
憶香許快樂購  盒裝 字母 絲襪 印花 菠蘿襪 均碼 10D 任意剪 耐刮 防勾絲 薄款 打底褲 打底襪(字母 絲襪 印花 菠蘿襪 均碼 薄款 打底襪),,
【Keraia 克萊亞】黃金交響樂荷葉領印花雪紡上衣,,
【Kiron】平底紳士鞋 懶人樂福鞋/復古立體印花圖樣個性休閒紳士鞋-男鞋(黃),,
【B1 地下室】情侶短T恤 韓版可樂印花寬鬆落肩短袖上衣 學生百搭五分袖 Nl621308(情侶上衣  短袖上衣),,
【Osle 歐適樂】2米加厚安全繩網陽台防護網彩色印花設計安全網(彩色小火車家用樓梯防護網),,
【Love Foot 樂芙】真皮豆豆鞋 兩穿豆豆鞋/真皮印花兩穿法舒適淺口懶人豆豆鞋(藍),,
【Keraia 克萊亞】黃金交響樂飄逸印花雪紡長洋裝,,
做一隻快樂的小豬 趣味動物印花創意小眾男女款無性別純棉短袖T卹,,
【Yobar】歐美流行款民族風印花透氣帆布懶人休閒搖搖鞋 健走鞋(紅),,
生活的花色：42件在地生長的美感物事【限量加贈「手帳風便利貼組」】,,
【Osle 歐適樂】3米加厚安全繩網陽台防護網彩色印花設計安全網(彩色小火車家用樓梯防護網),,
【Yobar】搖搖休閒鞋 厚底樂福鞋/幾何果樹印花圖樣止滑強化透氣帆布美腿搖搖休閒鞋(紅),,
印花加厚款 濕水毛巾 附收納罐(毛巾 寵物毛巾 洗車毛巾 寵物毛巾  超強吸水巾 貓狗洗澡用擦乾布 毛孩沐浴吸水毛巾),,
【Sanrio 三麗鷗】316不鏽鋼卡通印花保溫咖啡杯 - 480Ml(庫洛米/美樂蒂/大耳狗/布丁狗),,
【Maktar】45W Gan 印花樂聯名口袋快充(旅行必備充電器),,
【Sanrio 三麗鷗】美樂蒂印花錶盤果凍錶帶夜光石英錶(兒童 學生 手錶),,
【Toppuror 泰浦樂】實用型蓆面印花硬式床墊-6尺(Tpr-000-Wf48-6),,
【仁舟淨塑】蜂蠟保鮮罩S號_印花樂款(小碗設計/保鮮膜/天然蜂蠟),,
【Yobar】歐美流行款民族風印花透氣帆布懶人休閒搖搖鞋 健走鞋(藍),,
【Myvega 麥雪爾】樂譜印花七分袖雪紡上衣-鵝黃,,
【Maktar】66W Gan 印花樂聯名口袋快充+專用萬國轉接頭(出國旅行必備充電器),,
【Hang Ten】女裝-Slim Fit雙面布保暖鬆緊抽繩可樂字印花長褲(黑),,
【樂適多】印花防變形洗衣袋5件套 Mo8802(內衣洗衣袋 洗護袋 洗衣袋 洗衣用品),,
【Hang Ten】女裝-Slim Fit雙面布保暖鬆緊抽繩可樂字印花長褲(花紗灰),,
【摩達客】日本空運Otacciman Des Plime原創設計品牌-鸚鵡樂園(立體發泡印花短袖T恤-寬版),,
印花懶人抹布50片/捲 Sin2560(廚房清潔 清潔工具 打掃工具 居家清潔 廚房紙巾 抹布),,
Mila 米拉 雙11★  貓貓疊疊樂可愛印花上衣T恤/短袖/休閒/印花/百搭,,
【Yole 悠樂居】5件組衣物棉被真空壓縮袋-透明印花款隨機(80X60Cm),,
【Love Foot 樂芙】真皮豆豆鞋 兩穿豆豆鞋/真皮印花兩穿法舒適淺口懶人豆豆鞋(黑),,
【Km Music】貓咪 獵豹印花吉他背帶(加寬 舒壓 吉他背帶 木吉他 民族風 吉他背帶 貝斯),,
【野思】30顆創意生日氣球組合-瑪瑙紋+生日快樂印花組(乳膠氣球),,
【Dition】情緒Happier保持樂觀標語印花短T 口罩男寬版短袖上衣(男女可穿 Oversize 落肩),,
【Mr. Dadado】歡樂萬聖 M-3L印花四角男內褲 天然絲光棉-吸濕排汗-Ghq430Gy(銀灰),,
【一品川流】卡通印花童巾-歡樂象 / 洗澡鴨-12條入,,
【Nac Nac官方直營】印花樂平安健康祈福賀禮(彌月禮、新生兒禮盒),,
【Hang Ten】女裝-雙面布保暖可樂字復古印花休閑大學T(黃),,
【Philo 飛樂】佳和成人雙鋼印醫用口罩2盒(50入/盒) 台灣製雙鋼印(黑色/印花系列/漸層系列 5色任選),,
【Aurastro 艾樂斯特】彩虹T恤-Pride(棉T/大學T/太空人/純棉/印花/高磅棉T S~2Xl),,
【Maktar】66W Gan 印花樂聯名口袋快充(旅行必備充電器),,
【Trailos 翠樂絲】拋棄式雙人床單被套枕套4件組-印花款(拋棄式/床單被套枕套/四合一),,
【Brappers】雙11 女款 歡樂兔去兜風印花T(黑),,
【宜欣居傢飾】奇幻樂園―印花遮光窗簾_米-W300Cm*H241-280Cm以內*可指定尺寸(訂製/摺景/落地窗簾),,
【Maktar】66W Gan 印花樂聯名口袋快充+專用萬國轉接頭組+Cc強韌編織快充傳輸線(出國旅行必備充電器),,
【Edwin】女裝 音樂紅印花短袖T恤(淡粉紅),,
"【Love, Charlotte】沉寂極簡風花束印花全棉双層皺紗洋裝居家服(居家服 輕便服 睡衣 Pajamas 兩件式套裝 連身睡衣 短袖睡衣)",,
【Sanrio 三麗鷗】三麗鷗 便攜紙巾 面紙 厚面紙 Sanriocharacters 三麗鷗 無香印花紙手帕  9包裝 衛生紙,,
【宜欣居傢飾】威尼斯_奇幻樂園_童年往事-W300*H211~240Cm以內_可指定尺寸*2片(印花遮光訂製窗簾),,
【百貨King】彩色印花疊疊樂/抽疊樂/智慧積木(51片),,
