MOMO Title,Product Title,Similarity
【放了媽媽】嬰兒口水巾-圍兜-吸水6層紗(32款),"Little Tots 鈕扣式印花防水圍兜 4入, 海洋A款, 1組",0.9081084132194519
【Imitu 米圖】Egg-U型防水純棉口水巾(三層U型防水 吐奶圍兜 U型圍兜 純棉圍兜 寶寶圍兜),"Little Tots 鈕扣式印花防水圍兜 4入, 海洋A款, 1組",0.918870210647583
純棉口水巾(吃飯圍兜 圍兜兜 嬰兒圍兜 防水圍兜 圍兜),"Little Tots 鈕扣式印花防水圍兜 4入, 海洋A款, 1組",0.9313170909881592
👍凱美棉業｜奶油色系四層紗圍兜 口水巾 嬰兒紗布巾 花瓣圍兜 吃飯圍兜 12入一打價,"Luxurybaby 花瓣形狀6層紗布圍兜, D款, 4件, 1組",0.9161376953125
【超萌小娃】Ins可愛牛仔吊帶風寶寶矽膠圍兜(飯兜 圍巾 防水 口水巾 嬰兒 餵食 防漏食 兒童 居家),"Little Tots 鈕扣式印花防水圍兜 4入, 海洋A款, 1組",0.9062754511833191
【Little Unicorn】純棉經典圍兜三入組(口水巾 手繪風系列 紗布圍兜),"Luxurybaby 花瓣形狀6層紗布圍兜, D款, 4件, 1組",0.9197604060173035
【Joyna】5條入-U型圍兜 口水巾 圍兜兜(嬰兒純棉/6層紗/紗布巾/餵奶巾/口水圍兜/寶寶吃飯),"Luxurybaby 花瓣形狀6層紗布圍兜, D款, 4件, 1組",0.9007624387741089
矽膠圍兜 防水圍兜(寶寶圍兜 吃飯圍兜 兒童吃飯口水巾飯兜 圍兜),"Little Tots 鈕扣式印花防水圍兜 4入, 海洋A款, 1組",0.9170188307762146
寶寶口水巾(花瓣口水巾 嬰兒口水巾 嬰兒紗布巾 圍兜 圍兜兜 寶寶口水巾),,
【小綠豆居家百貨】Aden+Anais絲邊安撫巾-兩件裝(洗澡巾 口水巾),,
Kobemoms台灣製紗布口水巾(純棉小方巾 手帕 熊熊紗布巾 皺皺紗布巾 紗布巾 洗澡巾 紗布口水巾),,
【Imitu 米圖】台灣製 商檢合格紗布口水巾 純棉小方巾 手帕 口水巾 紗布巾 四層紗(單入),,
