MOMO Title,Product Title,Similarity
雙汽缸打氣機(雙汽缸打氣機),"攜帶型車用打氣機 DC 12V, 1個",0.9068755507469177
【Philo 飛樂】超大馬力快狠準10秒快速補氣Tp20(充氣機/輪胎打氣機/無線打氣機/胎壓檢測/汽車打氣機),"飛樂 philo 急速電動打氣機II, TP20 II, 1個",0.9342108368873596
【Taiga 大河】車用多功能攜帶式渦流電動打氣機6000Mah 胎壓檢測/夜間照明/輪胎充氣(Cb1157),"數位電動輪胎打氣機 180w, 1個",0.9044034481048584
【Flyone】Ap-50 多用途 車用智能高壓 電動打氣機,"JOY HOUSE 兩口電動打氣機, 混色, 1組",0.9118698835372925
【Philo 飛樂】買一送一 快狠準 無線打氣機Tp20(輪胎打氣/胎壓檢測/充氣機),"飛樂 philo 急速電動打氣機II, TP20 II, 1個",0.9357947111129761
【Philo 飛樂】官方旗艦店 急速打氣王10秒快速打氣 Tp50(充氣機/輪胎打氣/無線打氣/胎壓檢測/汽車打氣機),"飛樂 philo 急速電動打氣機II, TP20 II, 1個",0.9228877425193787
【Philo 飛樂】廠 超大打氣王10秒快速補氣大容量7500(Tp50充氣機/輪胎/無線/胎壓檢測/汽機腳踏車打氣機),"飛樂 philo 急速電動打氣機II, TP20 II, 1個",0.9190921187400818
【撥撥的架子】汽車廠輪胎充氣槍胎壓檢測胎壓錶 專業空壓運動用品店籃球數位打氣槍(數位胎壓計充氣槍),"胎壓錶打氣機 隨機出貨, 1個",0.9110752940177917
【Philo 飛樂】官方旗艦店 首創 多功能汽車救援/打氣組 旗艦版Stp70(救車/無線/輪胎打氣機/照明 / 充電),"飛樂 philo 急速電動打氣機II, TP20 II, 1個",0.9161060452461243
【Philo 飛樂】Tp80 Pocket Pump口袋迷你電動打氣機(公路自行車/機車族/汽車/無線 /輪胎 附贈胎壓錶氣),"飛樂 philo 急速電動打氣機II, TP20 II, 1個",0.924669623374939
【小米】電動打氣機2000Mah,"JOY HOUSE 兩口電動打氣機, 混色, 1組",0.9115666747093201
【Philo 飛樂】2入組 超大打氣王10秒快速補氣大容量7500(Tp50充氣機/輪胎/無線/胎壓檢測/汽機腳踏車打氣機),"飛樂 philo 急速電動打氣機II, TP20 II, 1個",0.918628454208374
【Philo 飛樂】官方旗艦店 救車電源打氣機 12000Mah V12(照明/無線打氣/救車啟動電源/輪胎打氣機),"飛樂 philo 急速電動打氣機II, TP20 II, 1個",0.9297820329666138
Philo飛樂 飛樂打氣王2 急速無線電動打氣機 Tp20Ⅱ 5000Mah 無線電動打氣機 打氣機 無線 電動,"飛樂 philo 急速電動打氣機II, TP20 II, 1個",0.9606624841690063
汽機車雙電源多功能電動打氣機,"數位電動輪胎打氣機 180w, 1個",0.9270193576812744
【Philo 飛樂】Discover A800 19Mm氣缸極速版 充氣速度提升50% 無線打氣機(快速充氣/附收納袋),"飛樂 philo 急速電動打氣機II, TP20 II, 1個",0.9148489832878113
【Sense神速】Led智能無線手持車用打氣機,"攜帶型車用打氣機 DC 12V, 1個",0.9046926498413086
【Philo 飛樂】Tp88 雙氣缸大馬力大容量無線電動打氣機12000Mah(充氣機/輪胎/無線/胎壓檢測/打氣機/露營車),"飛樂 philo 急速電動打氣機II, TP20 II, 1個",0.9300277829170227
【Jxd】螢幕顯示大電力自動快速打氣機,"JOY HOUSE 兩口電動打氣機, 混色, 1組",0.9132257103919983
【任E行】V1 便攜式多功能打氣機 救車行動電源打氣機(附胎壓計 打氣轉接頭 充氣球針),"攜帶型車用打氣機 DC 12V, 1個",0.918380618095398
【任E行】V2 Led顯示 多功能 無線打氣機 充器機,"JOY HOUSE 兩口電動打氣機, 混色, 1組",0.9018418788909912
【美國Oasis】雙11限定 櫥下極奢氣泡三溫飲水機(買就送高效三道軟水抑菌淨水器),,
【Anborteh 安伯特】快槍俠Mini無線打氣機 國家認證 一年保固-快(汽車打氣機 電動充氣機 輪胎打氣機),,
【Coleman】充電式幫浦 / Cm-06777(充氣機 打氣機 充氣幫浦 迷你充氣機),,
