MOMO Title,Product Title,Similarity
【安里】瑜珈矽膠八字拉力器  22磅(健身器材/拉力器/拉力繩/拉力帶/腿部/腹部/肩部),"麥克健身 一字拉力器 25磅加厚, 紫色, 1條",0.9085221290588379
【John House】拉力繩 一體成形 8字拉力器 健身美背彈力帶 拉伸帶 瑜珈拉力帶 彈力繩(拉力器),"拉力帶 150 x 15 x0.035cm 藕粉色 85g 5個, 1組",0.9175371527671814
【原生良品】健身訓練多功能8字拉力器/瑜珈拉力帶/彈力繩(兩色可選),comet 運動多管帶拉力繩組 150LB 68kg,0.9204208254814148
【Success 成功】S4765健腹腳踏拉力器(拉筋帶/彈力帶/拉力帶),"健腹腳踏拉力器 15kg, S4765, 1個",0.9118122458457947
【178小舖】電子計數腳踏拉力器 加粗6管(腳蹬拉力器 拉力繩 拉力器 腳踏拉力器 彈力繩 健身),"麥克健身 語音計數腳蹬拉力器, 粉色, 1盒",0.929379403591156
加粗四管腳蹬拉力器  瑜伽拉伸器(仰臥起坐輔助訓練器 練肩練背拉力器),"健腹腳踏拉力器 15kg, S4765, 1個",0.933312177658081
【時尚玩家】腳蹬拉力器+八字拉力繩-運動塑身組(皮拉提斯健身器 仰臥起坐健腹器),"健腹腳踏拉力器 15kg, S4765, 1個",0.937192976474762
美升 開肩美背拉力器(八字拉力器 拉力繩 彈力帶),"健身拉力繩LV5, 卡其色, 1條",0.9196546673774719
腳蹬拉力器 瑜珈 健腹訓練輔助器 彈力繩 拉力繩 瑜珈繩 仰臥起坐 健身器材 運動,"健腹腳踏拉力器 15kg, S4765, 1個",0.9023323655128479
【Cb嚴選】腳蹬拉力器(腳踏拉力器 拉力繩  運動拉力繩 彈力繩 仰臥起坐 健身器材),"健腹腳踏拉力器 15kg, S4765, 1個",0.9110255837440491
憶香許快樂購 腳蹬拉力器 6管/Pvc防斷款 仰臥起坐輔助器 健身 瑜伽 家用 四管腳蹬 六管拉力繩 腳踏拉力器 腿部拉力器,"健腹腳踏拉力器 15kg, S4765, 1個",0.9009153842926025
健腹加粗四管腳踏拉力器(拉力繩 仰卧起坐 雕塑身材 上身訓練 腹肌 瘦身 伸展 居家運動),"健腹腳踏拉力器 15kg, S4765, 1個",0.9244726896286011
15/25/35磅-8字拉力帶 彈力帶 阻力帶 運動瑜伽 開肩美背（拉力繩/拉力器/瑜伽繩）,"拉力帶 150 x 15 x0.035cm 藕粉色 85g 5個, 1組",0.9036796689033508
六管腳蹬拉力器 多功能腳踏拉力器 腿部拉力器(彈力繩 健身器材 仰臥起坐器 健腹拉力器 瘦肚子),"健腹腳踏拉力器 15kg, S4765, 1個",0.9285544157028198
