MOMO Title,Product Title,Similarity
【日本Squ+】Storanti日製17面寬抽屜式隙縫收納櫃附輪-1S+2M+1L(夾縫 狹縫 縫隙櫃 置物櫃),"KEYWAY 高見四層隙縫收納櫃 附輪, 1個",0.9063800573348999
【One House】艾蜜莉折疊收納櫃/收納箱-規格任選(150L-55寬四層/165L-65寬三層),"FAmILyLIFE 生活 隨意配56面寬3層折疊雙開收納櫃 A-348 4750g, 米白色",0.9075686931610107
【House 好室喵】大純白收納櫃 四層 附輪(四層櫃、收納),"THE LOOK 55cm折疊式多功能收納櫃/四層櫃 附輪, 1個",0.9017406105995178
【One House】艾蜜莉折疊收納櫃/收納箱-規格任選(275L-65寬五層/245L-75寬三層),"FAmILyLIFE 生活 隨意配56面寬3層折疊雙開收納櫃 A-348 4750g, 米白色",0.9052761793136597
【Dayneeds 日需百備】北歐簡約六層隙縫櫃 25Cm縫隙適用(掀蓋式/透明/多功能/滑輪),"KEYWAY 高見四層隙縫收納櫃 附輪, 1個",0.9004332423210144
【Keyway 聯府】面寬56-東村山四層收納櫃(抽屜 收納 置物櫃 抽屜櫃 Mit台灣製造),"KEYWAY 聯府 特大白橡木收納櫃 4層 120L, WLK-840, 4個",0.9235162734985352
【Keyway 聯府】面寬56-東村山五層收納櫃(抽屜 收納 置物櫃 抽屜櫃 Mit台灣製造),"KEYWAY 聯府 特大白橡木收納櫃 4層 120L, WLK-840, 4個",0.9143540263175964
【日本Jej】日本製 移動式抽屜隙縫櫃-18Cm寬,"KEYWAY 高見四層隙縫收納櫃 附輪, 1個",0.9108368158340454
【Desker】雙11限定 韓系舒適小空間辦公組（電腦桌+書架+抽屜櫃）(Momo獨家組合),,
【Mr.Box】60大面寬-掀蓋式簡約五層收納櫃(兩色可選),,
【Wakuhome 瓦酷家具】Ariel極簡主義白楓木3X6尺收納高鞋櫃A015-238,,
【Mr.Box】Mr.Box 40面寬/43面寬 摺疊雙開門五層收納櫃 / 1111Campaign/ 鞋櫃,,
【Mr.Box】57面寬/62面寬磁吸前開式皮革把手折疊五層/四層 收納櫃,,
【Mr.Box】65面寬折疊前開式五層收納櫃/收納箱附滑輪 / 1111Campaign/ 鞋櫃,,
【Mr.Box】60大面寬-掀蓋式簡約五層收納櫃,,
【Mr.Box】40面寬/43面寬 摺疊雙開門五層收納櫃(附滑輪),,
【Mr.Box】53面寬-新式摺疊雙門3層收納櫃(大號240L),,
【Desker】Desk Set 韓國設計監製 1200型 五層書桌組 120*60*174Cm（收納型含燈）(辦公桌/專人組裝),,
【Mr.Box】65面寬-新式摺疊雙門3層收納櫃 / 1111Campaign/ 鞋櫃,,
【Gudee 好迪家居】Frasa 收納籃 正方形(竹布置物籃 可折疊收納籃),,
奶油風免安裝 大呎寸收納 磁吸透明面板 置物箱收納箱多層收納櫃 折疊收納箱 抽屜衣櫃收納 衣帽收納架 玩具收納 五斗,,
逸家居 桌面收納櫃整理架 收納盒 小置物櫃 櫥窗 桌上 置物架 收納架 復古 香水櫃 木置物櫃 二層,,
【Good Vibe Living 好氣氛家居】馬卡龍56面寬五層多功能抽屜式帶輪收納櫃/置物櫃(抽屜櫃 收納箱),,
【One House】55寬 165L 藤原折疊巨型收納櫃/收納箱-四層(1入),,
新款高顏值 可超取  雙開門 附輪收納箱 收納櫃 折疊收納箱 收納架 置物箱 廚房收納 鞋盒櫃 收納盒 衣服收納 收納箱,,
【Mr.Box】65面寬-新式摺疊雙門3層收納櫃(特大號360L),,
【Tzumii】簡約韓風一格一門櫃-2入 雙色可選(書櫃 置物櫃 收納櫃 層櫃 空櫃 門櫃 隔間櫃),,
Bellaeven  日式單門三層櫃多入 上下方向變換 可拆式組合櫃 六層收納櫃 儲藏櫃 置物櫃 玄關櫃 門櫃(收納櫃),,
【Wakuhome 瓦酷家具】格萊斯原切木工業風2.6尺三抽多功能衣櫃,,
【Andymay2】100寬巨型金屬骨幹 川島兩扇雙開門收納櫃-三層（1入）(磁吸 收納箱 收納櫃 折疊收納箱 收納架 置物箱 廚房收納 收納盒 衣服收納),,
【Andymay2】100寬巨型金屬骨幹 川島兩扇雙開門收納櫃-四層（1入）(磁吸 收納箱 收納櫃 折疊收納箱 收納架 置物箱 廚房收納 收納盒 衣服收納),,
