MOMO Title,Product Title,Similarity
【潔霜】免刷洗馬桶清潔劑500Ml/瓶*12瓶/箱購(99%除菌配方-百花清香/青檸芳香),"潔霜 免刷洗馬桶清潔劑 青檸, 500ml, 6瓶",0.982786238193512
【Jin Shin Fa 金興發】潔霜 地板清潔劑 桶裝2000G 檸檬香/薰衣草(地板清潔劑 居家清潔),"潔霜 地板清潔劑 薰衣草, 2kg, 2桶",0.9074006676673889
【潔霜】S浴室廁所專用清潔劑-抗菌去垢潔淨杏香(3800G/入-4入),"潔霜 S浴廁清潔劑 潔淨杏香, 3.8kg, 1桶",0.946647584438324
【小麥購物】潔霜 S浴廁清潔劑 650G(潔霜 清潔劑 清潔 浴廁 馬桶清潔 衛浴清潔),"潔霜 S浴廁清潔劑 潔淨杏香, 3.8kg, 1桶",0.9089927673339844
【潔霜】芳香浴室廁所馬桶清潔劑750Gx12入/箱(薰衣草花園/綠茶馨香/檸檬樂園/清新皂香 4款任選),"潔霜 芳香浴廁清潔劑 薰衣草花園, 750g, 3瓶",0.9420290589332581
【潔霜】S浴室廁所馬桶強效清潔劑-1050Gx12瓶/箱購(潔淨杏香/清新薄荷/亮潔檸檬-任選),"潔霜 S浴廁清潔劑 潔淨杏香, 3.8kg, 1桶",0.932550311088562
【Jin Shin Fa 金興發】潔霜 地板清潔劑 補充包2000G 檸檬香/薰衣草補充包 地板清潔劑 居家清潔,"潔霜 地板清潔劑補充包 薰衣草, 2kg, 2包",0.9128322601318359
【潔霜】S浴廁專用清潔劑-抗菌去垢潔淨杏香(3800G/入-8入),"潔霜 S浴廁專用清潔劑, 650g, 6瓶",0.9576926231384277
【潔霜】芳香浴室廁所馬桶清潔劑750Gx4入/箱(薰衣草花園/綠茶馨香/檸檬樂園/清新皂香),"潔霜 芳香浴廁清潔劑 薰衣草花園, 750g, 3瓶",0.9387823343276978
【潔霜】S馬桶自動清潔錠-檸檬(38G*5粒/片-12片/箱-箱購),"潔霜 馬桶自動清潔錠 清新檸檬 5個, 190g, 3組",0.9416539669036865
【潔霜】S浴室廁所馬桶強效清潔劑 抗菌去垢除黃斑(650G/入-12入/箱-箱購 杏仁/檸檬),"潔霜 S浴廁清潔劑 潔淨杏香, 3.8kg, 1桶",0.90947425365448
【潔霜】S濃縮超強效浴室廁所馬桶清潔劑4瓶-1050G/瓶(淨白青蘋),"潔霜 S浴廁清潔劑 潔淨杏香, 3.8kg, 1桶",0.9296064972877502
【潔霜】S濃縮超強效浴室廁所馬桶清潔劑-淨白青蘋(1050G/入-12入/箱-箱購),"潔霜 S浴廁清潔劑 潔淨杏香, 3.8kg, 1桶",0.9294601678848267
【潔霜】S浴室廁所馬桶強效清潔劑4入 抗菌去垢除黃斑(1050G/入-4入/箱-潔淨杏香/清新薄荷/亮潔檸檬),"潔霜 S浴廁清潔劑 潔淨杏香, 3.8kg, 1桶",0.9161203503608704
【潔霜】S浴室廁所馬桶強效清潔劑4入 抗菌去垢除黃斑(650G/入-4入/箱 杏仁/檸檬),"潔霜 S浴廁清潔劑 潔淨杏香, 3.8kg, 1桶",0.9131015539169312
【潔霜】地板清潔劑補充包2000G/入-6入-箱購檸檬香/薰衣草-(抗菌/清潔/不黏腳),"潔霜 地板清潔劑補充包 薰衣草, 2kg, 2包",0.9365030527114868
【花仙子】潔霜 S 濃縮超強效浴廁清潔劑-淨白清蘋1050G 有效抗菌99.9% 強效去除廁所陳年汙垢、黃斑1111Campaign,,
【花仙子】潔霜 免刷洗馬桶清潔劑 百花清香/青檸芳香 99.9%除菌更安心 附著力佳有效分解髒污除垢 輕鬆除垢免刷洗1111Campaign,,
【花仙子】潔霜 芳香浴廁清潔劑  中性配方 不傷衛浴設備 添加芳香配方 4款可選1111Campaign,,
【Nanotol】居家清潔霜 50Ml(金屬氧化 廚房清潔 清潔霜 研磨霜),,
【花仙子】潔霜 S浴廁強效清潔劑  有效抗菌99.9% 強效去除廁所陳年汙垢、黃斑 多款可選1111Campaign,,
【花仙子】潔霜 S 強效清潔劑 750G_兩款任選1111Campaign,,
【Pola】B.A 清潔霜 N 卸妝乳 黑Ba 寶麗 Pola 不緊繃 臉部清潔 溫和 卸妝霜 日本 濃密泡沫,,
【花仙子】潔霜 馬桶自動清潔錠-清新檸檬38Gx5入1111Campaign,,
【花仙子】潔霜 S浴廁專用清潔劑 杏仁/檸檬 強效去除廁所陳年汙垢、黃斑 有效抗菌99.9%1111Campaign,,
【Jin Shin Fa 金興發】潔霜 浴廁專用清潔劑 650G 杏仁/檸檬(抗菌 浴廁清潔 居家清潔),,
【Jin Shin Fa 金興發】潔霜 芳香浴廁清潔劑750G 檸檬/綠茶/薰衣草/清香(清潔劑 浴廁清潔 居家清潔),,
【花仙子】花仙子 潔霜S 芳香浴廁清潔劑 馬桶清潔劑 浴室清潔 廁所清潔劑(花仙子),,
【潔霜】小通排水管專用疏通劑2入(510Gm/入),,
【潔霜】小通水管疏通膠4件組(880Gx4),,
【潔霜】小通馬桶專用疏通劑2入(960Cc/入),,
【Eco Salon】杏桃磨砂去角質清潔霜(500G),,
【茶樹莊園】超濃縮洗碗精潔淨小蘇打1000G+潔霜S廚房強效清潔劑750Ml,,
【Nanotol】居家奈米清潔霜(鏽斑、水垢、污垢、衛浴),,
