MOMO Title,Product Title,Similarity
【Everlight 億光】8入組 13W二代高光效 Led燈泡 全電壓 球泡燈(白光/黃光/自然光),"EVERLIGHT 億光 超節能高亮度 LED 燈泡 11.8W, 黃光, 1個",0.9245321154594421
【Everlight 億光】8入組-16W二代高光效Led燈泡 全電壓 球泡燈(白光/黃光/自然光),"EVERLIGHT 億光 超節能高亮度 LED 燈泡 11.8W, 黃光, 1個",0.94007408618927
【Everlight 億光】10入組-二代高光效Led球泡燈10W取代25W螺旋燈泡(白光/自然光黃光),"EVERLIGHT 億光 超節能高亮度 LED 燈泡 11.8W, 黃光, 1個",0.9187250137329102
【Everlight 億光】Led燈泡 16W亮度 超節能Plus 僅12W用電量 10入(白/黃光),"EVERLIGHT 億光 超節能高亮度 LED 燈泡 11.8W, 黃光, 1個",0.9306648373603821
【Everlight 億光】10W二代高光效Led燈泡 全電壓 球泡燈(白光/黃光/自然光),"EVERLIGHT 億光 超節能高亮度 LED 燈泡 11.8W, 黃光, 1個",0.9099804162979126
【Dancelight 舞光】6入組 7W Led燈泡 E27 全電壓 超高光效(白光/黃光),"Dancelight 舞光 LED 16W 6500K E27, 白光, 1個",0.9522988200187683
【Philips 飛利浦】Led Stick 9W E27 超廣角燈泡-4入組(白光/黃光任選),"PHILIPS LED stick 燈泡 E27 9W 6500K, 白光, 1個",0.9627959132194519
【Everlight 億光】4入組-13W二代高光效Led燈泡 全電壓 球泡燈(白光/黃光/自然光),"EVERLIGHT 億光 超節能高亮度 LED 燈泡 11.8W, 黃光, 1個",0.9269885420799255
【Everlight 億光】滿十顆送充電線 億光 Led球泡 超節能 燈泡 Led 3.5W 高亮度 Led燈泡,"EVERLIGHT 億光 超節能高亮度 LED 燈泡 11.8W, 黃光, 1個",0.9159944653511047
【Adata 威剛】13W 高亮度 Led燈泡 - 8入組(高效能 省電 節能 高流明),"威剛 13W 大廣角高效LED燈泡, 自然光, 2個",0.9027146697044373
【Dancelight 舞光】10入組 升級第9代 16W Led燈泡 E27 全電壓(白光/黃光/自然光 廣角度 省電型 高亮度),"Dancelight 舞光 LED 16W 6500K E27, 白光, 1個",0.959921658039093
【Dancelight 舞光】10入組 升級第9代 10W Led燈泡 E27 全電壓(白光/自然光/黃光),"Dancelight 舞光 LED 16W 6500K E27, 白光, 1個",0.9327054023742676
【Philips 飛利浦】Led Stick 9W E27 超廣角燈泡 - 白光(4入組),"PHILIPS LED stick 燈泡 E27 9W 6500K, 白光, 1個",0.9514355063438416
【Dancelight 舞光】3W Led燈泡 E27 全電壓 超高光效(白光/黃光),"Dancelight 舞光 LED 16W 6500K E27, 白光, 1個",0.9384036660194397
【Adata 威剛】11.5W 省電版 Led球泡燈 Cns認證(第六代 高亮度、真省錢),"ADATA 威剛 LED高效能球泡燈 8W, 白光, 3個",0.917165219783783
【Everlight 億光】買1送1 24W Led超節能Plus球泡燈 Bsmi 節能標章(白光/黃光),"EVERLIGHT 億光 超節能高亮度 LED 燈泡 11.8W, 黃光, 1個",0.909062922000885
【Everlight 億光】6入組 16W 超節能高效環保Led燈泡(白光/黃光/自然光),"EVERLIGHT 億光 超節能高亮度 LED 燈泡 11.8W, 黃光, 1個",0.9302263855934143
【Dancelight 舞光】4入組 Led無段調光燈泡 12W E27 全電壓 2年保固(黃光),"Dancelight 舞光 LED 16W 6500K E27, 白光, 1個",0.9367913007736206
【Everlight 億光】Led燈泡 16W亮度 超節能Plus 僅12W用電量 4入(白/黃光),"EVERLIGHT 億光 超節能高亮度 LED 燈泡 11.8W, 黃光, 1個",0.9303097128868103
【Everlight 億光】億光 燈泡 Led燈泡 10W Q版 高光效球泡燈  無藍光 白光 黃光 自然光 全電,"EVERLIGHT 億光 超節能高亮度 LED 燈泡 11.8W, 黃光, 1個",0.9383798241615295
【Dancelight 舞光】★新版★10入組 升級第9代 10W Led燈泡 E27 全電壓(白光/黃光/自然光),"Dancelight 舞光 LED 16W 6500K E27, 白光, 1個",0.9329248070716858
