MOMO Title,Product Title,Similarity
【天素食品】即食包豆乾(滷味、川辣、黑胡椒、麻辣方干),"久品香 滷味豆干 全素, 120g, 1包",0.9337109923362732
【Joyhui佳悅】水潤晶游離型葉黃素全素食膠囊4盒組(共120粒 含紅藻蝦紅素、日本Hyabest透明質酸鈉),,
【Bhk’S】療肺草萃取 素食膠囊 一盒組(60粒/盒),,
【Lovita 愛維他】當歸亞鐵素食膠囊 6入組(共360顆 當歸萃取物、甘胺酸亞鐵、維生素B6、維生素B12),,
【Lovita 愛維他】K2+D3素食膠囊 6入組(共180顆)_1111Campaign,,
【康寶】鮮味炒手500Gx3入組-岩鹽版(2款任選/原味/素食),,
【Tryall】Momo獨家獨規品 素食友好 分離大豆蛋白 1Kg/袋*3+經典款搖搖杯(1111Campaign),,
【Lovita愛維他】檸檬酸鈣固本加強素食錠(120錠),,
【Lovita 愛維他】專利Floraglo游離型金盞花葉黃素 素食(60顆),,
【隨緣】鮮蔬百匯湯麵 5包一袋(素食泡麵),,
【養心茶樓】塔香三杯猴頭菇(素食/全素),,
【Lovita 愛維他】K2+D3素食膠囊 12入組(共360顆),,
【宏醫生技】百大蔬果酵素素食B群+鐵/素食B群+鋅(30粒/盒-任選7入組),,
【Bhk’S】漢方四神+薏仁Ex 素食膠囊 1盒組(60粒/盒),,
【Lovita 愛維他】檸檬酸鈣固本加強素食錠 2入組(共240錠),,
【Lovita 愛維他】綜合維他命礦物質素食錠*1瓶(60顆/瓶;葉黃素 酵素 薑黃 B群 維他命C 鈣 鎂 鋅),,
【威瑪舒培】納豆紅麴素食膠囊_三入(共360顆_全素_納豆酵素3600Fu.8Mg紅麴菌素_循利寧),,
【Minor Figures 小人物】濃厚版燕麥奶- 咖啡師 1000Ml X6罐(乳糖不耐/大豆堅果過敏/素食 適用),,
【宜日宜日孝 Yiriyijiao】樟芝酵素液4瓶組(750Ml/瓶 - 元氣 養生 素食可 佳聯酵素 宜日宜酵),,
【愛雅辣呦】素食叻沙饗味鍋+18香辣鍋組,,
【大成】Neo Foods︱台式鹹蔬雞（400G/包）︱大成食品(植物肉 素食 蔬食 植物蛋白製品),,
【Lovita 愛維他】健甘靈草本複方素食錠 3入組(共180顆 薑黃 穀胱甘肽 朝鮮薊 牛磺酸 B群 五味子 枳椇子),,
【原素食府】素食百匯單人下午茶吃到飽(不分平假日Mo),,
【Bhk’S】漢方四神+薏仁Ex 素食膠囊 2盒組(60粒/盒),,
【Bhk’S】專利苦瓜胜月太Ex 素食膠囊(60粒/盒),,
【Bhk’S】藍莓山桑子 素食膠囊-60粒-盒(2盒組),,
【松珍】素香辣小雞腿（奶蛋素）(素雞塊、素炸雞、素食),,
【H&L 匠心優廚】新日式全矽膠密封保鮮盒{三格款}(Fda檢驗 可微波便當盒 分隔飯盒 分格餐盒 211餐飯盒 小菜盒 水果盒 保溫素食飯盒),,
【Lovita 愛維他】穀胱甘肽250Mg複方素食錠*1瓶(60顆/瓶),,
【松珍】素香雞排（奶蛋素）(素雞排、素排、素食),,
【康寶】鮮味炒手240G/罐(2款任選/原味/素食),,
【Lovita 愛維他】酵母Nmn18000新型緩釋素食膠囊 3入組(60顆/瓶),,
【赫而司】私密乳酸菌超濃縮蔓越莓錠(婦淨康益生菌1罐共60顆+可蘭莓花青素甘露糖維生素C素食膠囊1罐共60顆),,
【Lovita 愛維他】藍綠藻1000Mg素食錠(90錠),,
【蘭揚食品】蘭田蔬食| 養生素佛跳牆380G-蛋素(蔬食/素食/料理包/調理包/湯),,
【赫而司】34倍高濃縮私密蔓越莓錠3罐(共180顆美國Cran-Max前花青素、D-甘露糖、維生素C可蘭莓全素食膠囊),,
【Lovita愛維他】輔酵素Q10素食膠囊30Mg(60顆),,
【蘭揚食品】蘭田蔬食| 即期品-特選牛肝菌菇花椰米濃湯220G-植物五辛素-效期至2025/02/06(蔬食/素食/料理包/調理包/湯),,
【樂活E棧】素食年菜-七彩祥雲套組-5菜1湯1甜點(雙11 合菜 拜拜 中元 清明 蔬食),,
【Bhk’S】歐洲聖潔莓 素食膠囊 2盒(60粒/盒),,
【Bhk’S】孕媽咪倍乳 素食膠囊 2盒組(60粒/盒),,
【蘭揚食品】蘭揚食品蘭田蔬食| 即期品-天府椒香牛若湯600G-蛋素-效期至2025/02/12(蔬食/素食/料理包/調理包/湯),,
【Lovita 愛維他】維他命D3素食膠囊800Iu(100顆),,
【Bhk’S】淨荳 素食膠囊 一瓶組(60粒/瓶),,
【Lovita愛維他】高單位松樹皮萃取150Mg素食膠囊*1瓶(60顆),,
【Lovita 愛維他】生物素 11000Mcg素食(60錠),,
【惠香】綜合葡萄乾180G*3袋(四種天然果乾組合純素食),,
【Bhk’S】孕媽咪肌醇 素食膠囊 2盒組(60粒/盒),,
【赫而司】婦淨康益生菌2罐(共120顆女性私密保養乳酸菌五益菌強化配方+果寡糖全素食膠囊)1111Campaign,,
【Bhk’S】筋骨草萃取 素食膠囊 二盒組(60粒/盒),,
【Gnc 健安喜】男性綜合維生素食品錠 60錠/盒(26種精華營養補給/全方位營養打底配方/調節生理機能必備),,
【泰凱食堂】冰火山溏心蛋12袋60顆免運(非素食),,
【Lovita愛維他】無味大蒜精素食膠囊5000Mg(60顆),,
【赫而司】日本高純度1000G左旋麩醯胺酸1罐(共1000公克固力他命全素食胺基酸幫助維持消化道機能),,
【Hoya 弘陽食品】素食-植物炸G塊250G/肉丸250G/漢堡排300Gx2盒(純素/任選2盒),,
【大漢酵素】有機燉木耳/黑木耳醱酵飲350Mlx2箱(共48入  黑木耳 素食 木耳露 養生 原廠出貨),,
【養心茶樓】養心燒賣皇(素食/奶素),,
【Lovita 愛維他】黑鑽瑪卡素食膠囊4800Mg 3入組(共180顆),,
【The Vegan 樂維根】植物性大豆分離蛋白(Soy Isolate 台灣製造 純素可食用),,
【Sentosa 三多素寶】素食維他命D3+B12+S.膜衣錠(30錠/盒),,
【隨緣】椎茸湯麵-12入/箱(泡麵素食),,
【Bhk’S】玫瑰香萃 素食膠囊 一瓶組(60粒/瓶),,
【Wedar 薇達】金盞花葉黃素 6盒組(30顆/盒.頂級足量.游離型.玉米黃素.智利酒果.胡椒鹼.素食葉黃素),,
【素日子】猴頭菇香腸(300G/包/素食/蔬食),,
【杰哥蛋餅】傳統揉麵純素食高麗菜盒子(一盒5片 鮮甜高麗菜 傳統早點 韭菜盒 麵點),,
【赫而司】日本高純度肌醇葉酸1罐(共90顆女性備孕孕前補養好孕強化配方好韻全素食膠囊),,
【The Vegan 樂維根】優纖植物高纖優蛋白 膳食纖維加量 1Kg(飽足感加強 植物蛋白 純素 台灣製造),,
【可樂果】量販箱-古早味/素食綜合口味(88Gx6包),,
【宜日宜日孝 Yiriyijiao】綜合蔬果酵素 750Ml/瓶(蔬果、酵素、酵素液、佳聯、宜日宜酵),,
【Lovita 愛維他】緩釋型維生素B6素食錠*1瓶(80Mg),,
【Uniqman】精胺酸素食膠囊一瓶組(60粒/瓶),,
【養心茶樓】蜜汁叉燒包(素食/全素),,
【Bhk’S】玻尿酸 素食膠囊 2瓶組(60粒/瓶),,
【Bhk’S】歐洲酵母硒 素食膠囊 一盒組(60粒/盒),,
【赫而司】日本Gaba色胺酸甘胺酸紅海藻鈣鎂1罐(共60顆好神舒活500Mg素食乳酸桿菌發酵胺基酸幫助入睡好舒眠),,
【Lovita 愛維他】天然維他命E素食膠囊400Iu 3入組(60顆 維生素E),,
