MOMO Title,Product Title,Similarity
【Hong Jin】Usb轉點菸器 5V轉12V 點煙器擴充 點煙器轉接頭 點菸器母座 車充母頭 點煙器 點煙器車充母頭 車充頭 車充孔,"Kinyo 車用USB點菸器擴充座 CRU-8505 90 x 50 x 30mm 86g, 1個",0.9215225577354431
台灣製 Cliff Top 3.3A 三孔車用充電器 車用快充 車充 車用擴充(2孔高速Usb + 2孔點菸器插座),"Kinyo 車用點煙擴充座 + USB充電孔 CRU-15 93 x 50 x 33mm 60g, 1個",0.9105888605117798
【Ahead 領導者】5孔數字顯示汽車用車充/充電器/點煙器擴充座(Pd+Qc3.0+Usb2.4A 角度可調整),"Kinyo 車用USB點菸器擴充座 CRU-8505 90 x 50 x 30mm 86g, 1個",0.9093507528305054
【Yori優里嚴選】171W一對三點煙孔擴充器 汽車車充(Qc3.0車充 Usb充電 Pd快充 電壓檢測 點煙器),"Kinyo 車用點煙擴充座 + USB充電孔 CRU-15 93 x 50 x 33mm 60g, 1個",0.9095460176467896
台灣製 Cliff Top 車充 充電器 點煙器擴充 36W Pd Type-C + Qc 3.0 + 點菸器 車用車充,"infotec 英富達 雙QC3.0+PD車用點菸器擴充座 CC104, 1個",0.9254465699195862
Kinyo 車用Usb點煙器擴充座(點煙器Cru-8717快充 車充 點菸器擴充 車用點菸器),"Kinyo 車用USB點菸器擴充座 CRU-8505 90 x 50 x 30mm 86g, 1個",0.9706347584724426
台灣製 Cliff Top 車充 充電器 點煙器擴充 36W Pd Usb-C+Qc 3.0 車用 車充 Type C,"infotec 英富達 雙QC3.0+PD車用點菸器擴充座 CC104, 1個",0.9071451425552368
台灣製 Cliff Top 6.6A 三孔車用充電器 車用快充 車充 車用擴充(4孔高速Usb + 1孔點菸器插座),"Kinyo 車用USB點菸器擴充座 CRU-8505 90 x 50 x 30mm 86g, 1個",0.9097245335578918
【捕夢網】點煙器擴充車充 點菸器擴充 車充擴充 車用充電器 汽車點煙器 1111Campaign,"Kinyo 車用USB點菸器擴充座 CRU-8505 90 x 50 x 30mm 86g, 1個",0.9036608934402466
【No Spot】汽車點菸器母座(點煙器擴充 點煙器轉接頭 車充母頭 點煙器 點煙器車充母頭 車充頭 車充孔),"Kinyo 車用USB點菸器擴充座 CRU-8505 90 x 50 x 30mm 86g, 1個",0.9260090589523315
【Ahoye】Qc3.0快充 三孔車用擴充座 總功率100W(車充 點菸器擴充座),"Kinyo 車用USB點菸器擴充座 CRU-8505 90 x 50 x 30mm 86g, 1個",0.9060106873512268
台灣製 Cliff Top 車充 充電器 點煙器擴充 52W Usb-C+Usb A 車用 車充 Type C,"infotec 英富達 雙QC3.0+PD車用點菸器擴充座 CC104, 1個",0.90128493309021
【No Spot】汽車點菸器母座X6入(點煙器擴充 點煙器轉接頭 車充母頭 點煙器 點煙器車充母頭 車充頭 車充孔),"Kinyo 車用USB點菸器擴充座 CRU-8505 90 x 50 x 30mm 86g, 1個",0.9240487813949585
台灣製 Cliff Top 36W Pd Type-C + Qc 3.0(車充 充電器 點煙器擴充 點菸器 車用車充),"infotec 英富達 雙QC3.0+PD車用點菸器擴充座 CC104, 1個",0.9263338446617126
現貨速發📣升級車載充電器 點煙器轉換插頭 閃充點煙器 雙Usb點煙孔擴充 通用車充 可旋轉 電壓檢測 一拖二車充,"Kinyo 車用點煙擴充座 + USB充電孔 CRU-15 93 x 50 x 33mm 60g, 1個",0.9241942167282104
Kinyo 2孔車用點煙器+2孔Usb充電擴充座 (Cru-15) 快充 車充 點菸器擴充 車用點菸器 點菸器,"Kinyo 車用USB點菸器擴充座 CRU-8505 90 x 50 x 30mm 86g, 1個",0.967815101146698
逸品汽車百貨 Qc3.0智能電壓監控 7孔車充『3孔+4Usb』國家認證 電流過充保護 點菸器擴充器 車用電源,"Kinyo 車用USB點菸器擴充座 CRU-8505 90 x 50 x 30mm 86g, 1個",0.9039318561553955
逸品汽車百貨 智能電壓監控6.8A 7孔車充『3孔+4Usb』 國家認證 電流過充保護 點菸器擴充器 車充 車用電源,"Kinyo 車用USB點菸器擴充座 CRU-8505 90 x 50 x 30mm 86g, 1個",0.9002007246017456
逸品汽車百貨 高速車充擴充座『2孔+4Usb』國家認證 智慧保險絲 自動斷電 點菸器擴充器 車充 車用電源 車用插座,"Kinyo 車用USB點菸器擴充座 CRU-8505 90 x 50 x 30mm 86g, 1個",0.9091737270355225
Qc3.0極速車用電源雙擴充器/車充/通過國家認證(3孔Usb、2孔點煙孔),"Kinyo 車用USB點煙器擴充座 CRU-14, 1孔, 1個",0.9247789978981018
【Hongxin】35W車用快充擴充器(車用充電器/快充/3孔車充),,
【Dreamcatcher】車用點菸器一分三擴充座(一分三擴充座/汽車車充/車充擴充/充電轉接器),,
【Anra】Type-C Pd +Qc 3.0三孔車充(Qc+Pd雙快充車充頭 Ios Android 適用),,
隔日達 🚀臺灣保固 車用充電器 伸縮車充 伸縮充電線 車用快充(自帶線車充 一拖四車充 車用充電座 線長80Cm 快充),,
【Philips 飛利浦】36W Type-C Pd+Qc智能車充充電器+Usb To Lightning手機快充傳輸線 1M,,
【魔比歐】Onpro Gt-G100 雙模式快充 Pd+Qc3.0 100W 急速車用充電器 附100W快充線(車充頭 充電器 Type-C接口),,
【Ahead】127W汽車用充電器/充電轉換器(Pd+Qc3.0+2Usb+3孔車充 點煙器擴充),,
【Ahead 領導者】4孔車用充電器/車充 Pd+Qc 擴充點煙器,,
伸縮車充 自帶線車充 一拖四車充 車用充電器 車充 車用充電器 車用充電座  車充頭 點煙器 汽車充電器 汽車充電 汽車手機充電器,,
【藍牙擴充！Pd快充】高檔免持藍牙音樂撥放 雙Usb車充(手機音樂撥放器),,
【City Boss】100W 一拖四車用擴充點煙器 快充 多功能車充(Pd+Qc3.0｜12V-24V),,
【興雲網購】Pz-789 4.8A雙Usb單孔延長插座(車用Dc12V 延長線 擴充器 車充),,
台灣製 Cliff Top 車充 充電器 點煙器擴充 53W Usb-C + Usb A 車用 車充 Type C,,
160W 三孔車充(可充筆電 Type-C 100W單孔輸出 Pd3.0 Qc5快充 車用充電器),,
【Yark】極光系列固定2孔+2座Usb充電器(擴充器 快充 車充 汽車充電器),,
【Philips 飛利浦】30W Pd+Qc Usb/Type-C 迷你車充(Dlp3520C),,
No145W Pd 車載 快充頭 充電器 車充 車用 Type-C(開車必備 適用 小米 Iphone 13 14 15),,
Songwin 127W萬向車用充電器 Ad-Pd800(車充 車用充電器),,
【安伯特】酷電大師 智能電壓監控6.8A 7孔車充3孔+4Usb(國家認證 一年保固),,
台灣製 Cliff Top 車充 充電器 點煙器擴充 51W Usb-C + Usb A 車用 車充 Type C,,
160W 極速快充 車用充電器(Pd+Qc三孔輸出 全相容車種 多協議快充 手機 Usb 車充),,
【魔比歐】Onpro Gt-Pd78W 雙模式快充 Pd+Qc3.0 三孔 急速車用充電器(快充 車充頭 Type-C Usb-A 充電器),,
一拖二車充 一拖二點菸器 擴煙孔 車充擴充 點菸器 一拖二 車充,,
【Yolu】雙11 車載智能數顯Pd快充藍牙適配器 車用Mp3音樂播放器 免持通話 汽車Fm發射器 Usb車充,,
【Onpro】Gt-Pd45Mini 45W Pd3.0 快充 車充車用充電器 45W 車充(車充隱藏式雙模式車用Pd快充充電器),,
台灣製 Cliff Top 9.9A 車充 充電器 點煙器擴充 車用快充 車用 車充(6孔高速Usb),,
【Philips 飛利浦】Pd 20W 電壓顯示一轉二雙Usb+Typec車充(Dlp3521Nc),,
Philips飛利浦 100W Pd車充 數位顯示 Pd車充(車用充電 Dlp3540C),,
【Hang】車充 70W(12V 車充頭 車用旅充頭 雙孔快充 Pd Usb 汽車電瓶檢測 H323 車載快充 點煙器),,
Philips飛利浦 車用快充 隱藏式設計 Led光燈(車充 車用充電器 迷你車充 車用閃充 快速車充Dlp3520N),,
【Relight 睿亮】Onpro 超閃速車充66W大輸出 雙孔Type-C(急速充電 小型車用充電器 車用點煙座 Bsmi認證),,
120W快充自帶線車充(四口同時輸出 Pd快充 Lightning+Typec充電線 伸縮線 汽車電瓶電壓),,
【Totu】Pd30W雙孔車載閃充充電器 Pd3.0+Qc車用充電器 汽車擴充點煙器/點菸器 Usb快充車充(Type-C充電頭),,
台灣製 Cliff Top 車充 充電器 點煙器擴充 34W Usb-C + Usb A 車用 車充 Type C,,
【魔比歐】Bezalel 倍加能 85W 三孔快充車用充電器(Pd+Qc快充 雙孔Type-C 單孔Usb-A 點菸器 車充頭),,
【Onpro】Gt-Pd30Ac 雙模式快充 Pd+Qc3.0 30W急速車用充電器(車充 30W Pd3.0 快充車用充電器),,
45W超迷你車載充電器(車充 迷你車充 點菸器擴充 車用充電器 擴充座 汽車車充),,
【Wildex微透】63W急速充電 Pd+Qc雙孔電瓶電壓車充頭+65W Type-C To Type-C 傳輸充電線 100Cm,,
