MOMO Title,Product Title,Similarity
【小麥購物】莫蘭迪色筆袋(透明筆袋 鉛筆盒 文具袋 化妝包 收納 文具 考試筆袋 文青筆袋),"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 粉色",0.9328028559684753
【8H】透明網紗筆收納袋簡約透明網紗筆網狀透明筆袋 簡約筆盒 多功能收納袋 拉鍊袋 尼龍收納袋 化妝袋 網紗筆袋 鉛筆盒 鉛筆袋,"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 粉色",0.932121992111206
大容量透明雙層文具筆袋,"生活品質提升透明筆袋, 粉色, 1個",0.9411500096321106
【Jin Shin Fa 金興發】簡約透明網紗雙層拉鍊袋 筆袋(雙層筆袋 出國零錢袋 收納 文具),"Nana Shop 網狀透明筆袋, 1個, 灰色",0.9248296618461609
【Yuanren 原人購物】透明網紗筆袋 網紗筆袋 網格筆袋 鉛筆文具袋 鉛筆袋 筆袋推薦 時尚透明筆袋 輕便網紗文具袋 多功能透明筆袋,"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 粉色",0.9396589398384094
【Bluecat】大容量透明收納筆袋(透明筆袋 手提筆袋 大容量 文具袋 收納袋 鉛筆盒 文具盒 化妝品 收納袋 旅行袋),"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 灰色",0.9071254730224609
【角落生物】角落生物-小夥伴 透明長型筆袋F-藍/粉,"生活品質提升透明筆袋, 粉色, 1個",0.9353952407836914
【Color Me】日系透明網紗筆袋 中 五個一組筆袋 網紗袋 文具袋 鉛筆袋 鉛筆盒 拉鍊袋 票據袋 收納筆袋 1111Campaign,"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 粉色",0.9302991628646851
【安朵童舖】現貨Ins兒童文具大容量透明筆袋女童可愛印花鉛筆袋防水防潮筆袋收納袋(047),"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 粉色",0.9144314527511597
【Wepay】極簡風簡約筆袋-A5(筆袋 尼龍網眼筆袋 網紗筆袋 鉛筆盒 透明筆袋 考試用筆袋 文具收納袋),"生活品質提升透明筆袋, 粉色, 1個",0.9244760870933533
【芬菲文創】簡約透明網布文具袋 大容量分類收納筆袋(大號4入),"城市公司大容量PVC透明筆袋, 棕色, 1個",0.9243402481079102
【角落生物】角落生物-小夥伴 透明長型筆袋E-藍/粉,"生活品質提升透明筆袋, 粉色, 1個",0.9379746317863464
【Kamio】迪士尼 小熊維尼 Pvc雙面透明筆袋 雙層筆袋 維尼&小豬,"KOKUYO PiiiP Light 透明筆袋, 灰色, 1個",0.9047737121582031
【德德小品集】簡約風網格筆袋(Ins 考試用 透明網格收納),"生活品質提升透明筆袋, 粉色, 1個",0.9013859033584595
【角落生物】角落生物-小夥伴 透明長型筆袋C-藍/粉,"生活品質提升透明筆袋, 粉色, 1個",0.9348382353782654
【Joeki】透明三角筆袋-雙層(莫蘭迪色 鉛筆盒 防水筆袋 大容量拉鍊 文具袋 拉鍊筆袋 文具收納),"生活品質提升透明筆袋, 粉色, 1個",0.9240056276321411
【Her】透明筆袋 防潑水收納袋 零錢袋 多功能收納袋 三角鉛筆袋 多功能文具袋(刷具收納袋 鉛筆盒 考試筆袋),"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 粉色",0.9299788475036621
【Wepay】極簡風簡約筆袋-A4(筆袋 尼龍網眼筆袋 網紗筆袋 鉛筆盒 透明筆袋 考試用筆袋 文具收納袋),"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 粉色",0.9284248352050781
【Color Me】日系透明網紗筆袋 大 三個一組筆袋 網紗袋 文具袋 鉛筆袋 鉛筆盒 拉鍊袋 票據袋 收納筆袋 1111Campaign,"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 粉色",0.9332470893859863
