MOMO Title,Product Title,Similarity
【Lotte 樂天】韓國 Lotte 樂天 辣味午餐肉 340G/罐(午餐肉辣味 辣味 韓國樂天午餐肉),"LOTTE 樂天 雞肉午餐肉 原味, 340g, 1罐",0.9412930607795715
韓國樂天 Lotte 雞肉午餐肉 雞肉罐頭 雞肉火腿罐 罐頭,"LOTTE 樂天 午餐肉罐頭, 340g, 3個",0.9383283853530884
【Sajo 思潮】韓國 Sajo 午餐肉罐頭 340G(午餐肉罐頭),"SAJO 韓國產豬肉安心午餐肉罐頭, 200g, 8罐",0.9628400206565857
丹麥 Tulip 午餐肉罐 午餐肉罐頭 火腿餐肉 歐洲 丹麥 罐頭 部隊鍋 經典午餐肉罐頭,"TULIP 經典午餐肉罐頭, 200g, 6罐",0.9354217648506165
【Dongwon】*貪吃熊*韓國 Dongwon 雞肉午餐肉 火腿罐 200G罐 3罐/組,"Dongwon 東遠 午餐肉罐頭, 200g, 6罐",0.9167445302009583
韓國 樂天 Lotte 午餐肉 340G/罐(午餐肉 韓式罐頭 韓國罐頭 火腿午餐肉),"LOTTE 樂天 午餐肉罐頭, 340g, 3個",0.9448068737983704
【Sajo 思潮】韓國 Sajo 午餐肉罐頭 340G,"SAJO 韓國產豬肉安心午餐肉罐頭, 200g, 8罐",0.9473408460617065
*貪吃熊*韓國 樂天 Lotte 午餐肉 340G*6罐/組(午餐肉 韓式罐頭 韓國罐頭 火腿午餐肉),"LOTTE 樂天 午餐肉罐頭, 340g, 3個",0.9032283425331116
*貪吃熊*韓國 夏林 Harim  雞胸午餐肉/低脂雞胸午餐肉/辣味低脂雞胸肉  200G/罐,"HARIM 雞胸午餐肉 原味, 200g, 6罐",0.9071488976478577
韓國 Sajo 午餐肉,,
【Lotte 樂天】*貪吃熊*韓國 樂天 Lotte 韓式火腿罐頭 歐洲 丹麥 Tulip 午餐肉罐- Tulip午餐肉減鹽40% 340G,,
【Sajo 思潮】*貪吃熊*韓國 Sajo 午餐肉 火腿肉 200G罐,,
韓國 Csajo午餐肉 火腿罐頭  罐頭,,
韓國Sajo 午餐肉 340G/罐午餐肉,,
