MOMO Title,Product Title,Similarity
【Kokuyo】新型無針訂書機 免針省力型 環保可釘10張 Sln-Msh110日本文具大賞 無需訂書針,"SDI 手牌 壹指訂10號省力平針訂書機 特仕版, 櫻花粉, 1個",0.9009610414505005
釘書機 訂書機 最大裝訂260張 /台 E-260,"WHASHIN 裝訂用釘書機 113, 1個, 混色",0.9550682902336121
【Simbalion 雄獅文具】10號釘書針(買3大盒送1支市值300釘書機),"SDI 手牌 簡約實用型釘書機 附針 1102CA, 顏色隨機, 3組",0.9069275856018066
【Etona】釘書機 訂書機 最大裝訂260張 /台 E-260,"WHASHIN 裝訂用釘書機 113, 1個, 混色",0.9362257122993469
【日本 Etona】釘書機 訂書機 最大裝訂260張 /台 E-260,"WHASHIN 裝訂用釘書機 113, 1個, 混色",0.9364879727363586
【徠福】大型 非訂書機 /支 No.1085,niceday 大型訂書機(9539/niceday),0.9063337445259094
【Etona】釘書機 訂書機 最大裝訂260張 台(E-260),"WHASHIN 裝訂用釘書機 113, 1個, 混色",0.9362257122993469
Etona-慢慢買百貨-100 5種針訂書機(學校 辦公 大型),,
【徠福】非訂書針 非釘書針 大型 / 盒 No.1101,,
【Kokuyo】Harinax 環保無針釘書機 單入 藍 綠 粉 白Kokuyo  日本文具大賞,,
【Abel 力大牌】10號釘書機-附針1000支,,
