MOMO Title,Product Title,Similarity
【Tatung大同】1.8公升不鏽鋼電茶壺(Tek-1815S),"溫控電茶壺, DKS1315, 黑色, 1.5L, 1個",0.9016788005828857
【Cookpower 鍋寶】#316雙層防燙保溫快煮壺-1.7L-奶茶色(Kt-90171),"鍋寶 316不銹鋼保溫雙層防燙快煮壺, 綠色, 1.8L, 1個",0.9751489162445068
【Kinyo】1.5L 304不鏽鋼快煮壺(電熱壺/ 熱水壺/煮水壺/電茶壺Kihp-1157),"Kinyo 雙電壓旅行電水壺 快煮壺 附電源線底座 198 x 105 x 145mm 675g 600ml 1個, AS-HP90",0.924418032169342
【Cookpower 鍋寶】316不銹鋼快煮壺-1.8L-Kt-9180(2入組),"鍋寶 316不銹鋼保溫雙層防燙快煮壺, 綠色, 1.8L, 1個",0.9689935445785522
【Teco 東元】智能溫控玻璃電熱快煮壺/電水壺(Xyfyk1704B),"TECO 東元 大容量玻璃快煮壺 1.7L, XYFYK1706",0.9341195225715637
【Kinyo】雙電壓旅行快煮壼 0.6L(不鏽鋼熱水壺 隨行快煮壺 保溫壺 雙電壓旅行快煮壺 電熱水壺 電茶壺),"Kinyo 雙電壓旅行電水壺 快煮壺 附電源線底座 198 x 105 x 145mm 675g 600ml 1個, AS-HP90",0.9432939887046814
【Cookpower 鍋寶】#316雙層防燙保溫快煮壺-1.8L-白(Kt-90181W),"鍋寶 316不銹鋼保溫雙層防燙快煮壺, 綠色, 1.8L, 1個",0.9769287109375
【Kolin 歌林】1.7公升316不鏽鋼雙層防燙快煮壺(Kpk-Ln207),"Kolin 歌林 LED玻璃快煮壺 225 x 155 x 245mm, KPK-UD1705, 1個",0.9381439089775085
【Kolin 歌林】1.7L冷藍光Led玻璃快煮壺Kpk-Ud1705(飲水/泡茶/咖啡/泡麵),"Kolin 歌林 LED玻璃快煮壺 225 x 155 x 245mm, KPK-UD1705, 1個",0.9093433618545532
【Chimei 奇美】木紋手沖細口快煮壺(Kt-08L022),"CHIMEI 奇美家電 木紋手沖細口快煮壺 274 x 141 x 186mm 760g, KT-08L022",0.968450129032135
【Cookpower 鍋寶】316不銹鋼快煮壺-1.8L(Kt-9180),"鍋寶 316不銹鋼保溫雙層防燙快煮壺, 綠色, 1.8L, 1個",0.9646369218826294
【大家源】1.8L 304全不鏽鋼快煮壺/電水壺(Tcy-269018),"大家源 304不鏽鋼快煮壺 22.2 x 15.8 x 22cm 730g 1.5L, TCY-269015, 1個",0.9302297830581665
【Kolin 歌林】1.8L雙層防燙316不銹鋼快煮壺Kpk-Mn1821(電茶壺/煮水壺),"Kinyo 不鏽鋼快煮壺 1.8L 1000W 675g 220 x 160 x 240mm, KIHP-1160",0.9341962933540344
【Kinyo】摺疊把手不銹鋼快煮壺/電茶壺/As-Hp70(雙電壓/旅行),"Kinyo 雙層美型快煮壺 2L, ITHP-182",0.9234305024147034
