MOMO Title,Product Title,Similarity
【Kingston 金士頓】Datatraveler Exodia Usb 128Gb 扣環隨身碟(Dtx/128Gb),"Kingston金士頓 USB 3.2 隨身碟, 128GB, 1個",0.46235424280166626
【Kingston 金士頓】128Gb Datatraveler Se9 G3 Usb 3.2 Type-A 高速隨身碟高質感金屬碟,"Kingston金士頓 USB 3.2 隨身碟, 128GB, 1個",0.4455484449863434
【Kingston 金士頓】Datatraveler 70 Usb Type-C 128Gb 隨身碟(Dt70/128Gb),"Kingston金士頓 USB 3.2 隨身碟, 128GB, 1個",0.44601109623908997
32Gb 64Gb 128Gb Phone Drive Usb Type-C Type-A 雙用隨身碟 讀取 100Mb/S 黃色,"MuSt Cline 2.0 OTG Type C USB隨身碟, 128GB",0.4270424246788025
Sandisk Phone Drive Type-C 雙用隨身碟 128G 128Gb Usb-C Usb-A Otg Sdddc6,"MuSt Cline 2.0 OTG Type C USB隨身碟, 128GB",0.443666011095047
【Kingston 金士頓】128Gb Dt70 隨身碟(Type-C Dt70 Usb 3.2 Gen 1 Usb-C),"Kingston金士頓 USB 3.2 隨身碟, 128GB, 1個",0.43685975670814514
32Gb 64Gb 128Gb Phone Drive Usb Type-C Type-A 雙用隨身碟 讀取100Mb/S 黑色,"MuSt Cline 2.0 OTG Type C USB隨身碟, 128GB",0.42577239871025085
Sandisk Ultra Go Usb Type-C 雙用隨身碟 128G 128Gb Usb3.2 400Mb/S Otg Sdddc3,"MuSt Cline 2.0 OTG Type C USB隨身碟, 128GB",0.44373148679733276
【Kingston 金士頓】Datatraveler 70 Usb Type-C 64Gb 隨身碟(Dt70/64Gb),"Kingston金士頓 TYPE-A+C隨身碟 DTDUO3CG3 紫色, 256GB, 1個",0.4223973751068115
Sandisk 128Gb Ultra Go Usb Type-C 雙用隨身碟 時尚黑Usb Type-C & Type-A 雙用隨身碟,"MuSt Cline 2.0 OTG Type C USB隨身碟, 128GB",0.42868396639823914
【Kingston 金士頓】Datatraveler Exodia M Usb3.2 128Gb 隨身碟(Dtxm/128Gb),"Kingston金士頓 USB 3.2 隨身碟, 128GB, 1個",0.46691036224365234
Sandisk 128Gb Ultra Go Usb Type-C 雙用隨身碟 薰衣草紫Usb Type-C & Type-A 雙用隨身碟,"MuSt Cline 2.0 OTG Type C USB隨身碟, 128GB",0.4278838038444519
【Kingston 金士頓】128Gb Data Traveler Exodia M Usb 3.2 高速隨身碟具備多種繽紛色彩的活動帽蓋設計,"Kingston金士頓 USB 3.2 隨身碟, 128GB, 1個",0.4362048804759979
32Gb 64Gb 128Gb Phone Drive Usb Type-C Type-A 雙用隨身碟 讀取 100Mb/S 橘色,"MuSt Cline 2.0 OTG Type C USB隨身碟, 128GB",0.42467713356018066
Ultra Go Usb Type-C 雙用隨身碟 128G 128Gb Usb3.2 400Mb/S Otg Sdddc3,"MuSt Cline 2.0 OTG Type C USB隨身碟, 128GB",0.4493469297885895
Sandisk 128Gb Ultra Luxe Usb Type-C 雙用隨身碟 銀色 金屬碟Usb Type-C & Type-A 雙用隨身碟,"MuSt Cline 2.0 OTG Type C USB隨身碟, 128GB",0.4253787100315094
Piodata Ixflash Apple Mfi 認證 Usb3.2 Gen1 128G 128Gb Iphone Ipad 跨平台雙向隨身碟 Type-A Type-C 隨身碟,"Transcend 創見 JetFlash790C 128GB Type C隨身碟 TS128GJF790C, 1個",0.411274790763855
Sandisk 128Gb Ultra Luxe Usb Type-C 雙用隨身碟 金色 金屬碟 Usb Type-C & Type-A 雙用隨身碟,"MuSt Cline 2.0 OTG Type C USB隨身碟, 128GB",0.4276620149612427
Ultra Luxe Usb Type-C 雙用隨身碟 128G 128Gb Usb3.2 400Mb/S Otg Sdddc4,"MuSt Cline 2.0 OTG Type C USB隨身碟, 128GB",0.45033159852027893
