MOMO Title,Product Title,Similarity
【Totu 拓途】Usb-A To Lightning 3M 快充/充電傳輸線 極速2代(Iphone充電線),"FUGU USB-A to Lightning 高速充電線, 1m, 白色, 1條",0.4288615584373474
【Omg】Pd60W磁性編織快充線 Type-C To Type-C充電線 1M(Iphone16充電線/數據線/磁吸快速收納),"Magtame Type-C to Lightning 扁線款 磁性快收納充電傳輸線, 1m, 黑色, 1條",0.4506576955318451
【Zmi】Mfi認證 Usb-A To Lightning 充電傳輸線 1M 三入組 Al813C(Iphone/Ipad適用/支持I5-14),"Kinyo Lightning 充電傳輸線 USBAP113 32g, 2m, 白色, 1條",0.40951359272003174
【Px 大通-】贈束帶2年保固編織網Mfi認證Usb快充線Iphone蘋果手機線傳輸線Lightning充電線Apple(Ual-1P),"UGREEN 綠聯 iPhone充電線 Lightning對USB連接線 快充 金屬編織版, 1m, 深空灰, 1條",0.44040244817733765
【Moshi】Integra 強韌系列 Lightning To Usb-A 充電線/傳輸線 編織線(Iphone充電線 0.25 M),"USB-A cable with Lightning connector 充電傳輸線, 1.8m, 玫瑰粉, 1條",0.4342798888683319
【Apigu】Usb 3.2 Gen2 100W 20Gbps 多功能急速充電線/傳輸線/數據線(Type-C公對公 耐用編織線2M),"Kinyo USB-C-Lightning 極速充電傳輸線 30g, 1m, USB-AC211B, 1條",0.4031594693660736
【Soodatek】Usb2.0 A 對 Lightning 充電傳輸線(1M),"ITS LIFE Lightning-Type-A快充線, 2m, 白色, 1條",0.4197785258293152
【Moshi】Integra Lightning To Usb-A 充電線/編織傳輸線(1.2M Iphone充電線),"USB-A cable with Lightning connector 充電傳輸線, 1.8m, 玫瑰粉, 1條",0.4215306341648102
【Mcdodo麥多多】Usb To Type-C 1.2米(智能數顯充電線 66W快充線 編織線 電壓顯示充電線),"熔岩鎢金編織充電線 Type-C to Lighting 27W 31g, 1.2m, 藍色鈦, 1條",0.40116482973098755
【Nil】100W雙Type-C傳輸線 27W Type-C To Lightning編織線 Pd快充彎頭數顯充電線 1.2M(Iphone16/安卓兼容),"熔岩鎢金編織充電線 Type-C to Lighting 27W 31g, 1.2m, 藍色鈦, 1條",0.41363686323165894
【Moshi】Integra Lightning To Usb-C 90度彎頭充電線/編織傳輸線(1.5M Iphone充電線),"USB-A cable with Lightning connector 充電傳輸線, 1.8m, 玫瑰粉, 1條",0.4118039011955261
【支援快充】100W 雙Type-C 1.5M(高速傳輸充電線 Usb3.2 17芯 傳輸線 充電線),"Kinyo 蘋果PD 25W快充傳輸線 60g, 2m, USB-NAC03, 1條",0.4011650085449219
【小玉貼膜】60W双Type-C接口快充線編織線(適用蘋果Iphone15雙Type-C傳輸線數據線充電線傳輸適用三星安卓),"STAR TypeC to Lightning 快速充電傳輸線, 1.2m, 銀色, 45g, 1條",0.425612211227417
【Moshi】Lightning To Usb-A 90度彎頭充電線/編織傳輸線(1.5M Iphone充電線),"USB-A cable with Lightning connector 充電傳輸線, 1.8m, 玫瑰粉, 1條",0.4086311459541321
【Px大通-】編織網快充線兩年保固Mfi認證Ual-0.25P Iphone蘋果手機線傳輸線25公分粉色Lightning充電線(Usb),"PX 大通 USB-A cable with lightning connector 充電傳輸線 UAL-1G, 1m, 太空灰, 1盒",0.45354577898979187
【日本Forever】絢彩編織Typec雙頭40W充電線/數據線1M(Type-C To Type-C),"RONEVER Type-C to Lightning 充電傳輸線 27g, 2m, 1條",0.419869989156723
【Soodatek】Usb2.0 A 對 Lightning 充電傳輸線(3M),"Zikko Smart Cable Apple Lightning 傳輸線, 3m, 土豪金, 1盒",0.42458730936050415
【Px 大通-】2年保固1米編織網Mfi認證Usb快充線Iphone蘋果手線機線傳輸線灰色Lightning充電線Apple(Ual-1G),"UGREEN 綠聯 iPhone充電線 Lightning對USB連接線 快充 金屬編織版, 1m, 深空灰, 1條",0.45616963505744934
【Ringke】Rearth Type C To Lightning 強韌編織防扭快充充電傳輸線 Mfi(Type C To Lightning 充電傳輸線),"RONEVER Type-C to Lightning 充電傳輸線 27g, 2m, 1條",0.4310159683227539
【日本Forever】Typec 60W快充充電線/數據線/Pd快充1M(Type-C To Type-C),"USB Type-C Lightning PD快充線 30g, 2m, 黑灰色, 1條",0.41741418838500977
【京太陽】100Cm 雙彎頭牛仔充電線(充電線 數據線 雙彎頭牛仔數據線 安卓 蘋果 Typec 牛仔充電線 Apple),"RONEVER Type-C to Lightning 充電傳輸線 27g, 2m, 1條",0.4084334671497345
【Mcdodo】100W Type-C To Type-C 數顯尼龍編織Pd快充充電線 手機/平板 數據傳輸線 1.2M,"STAR TypeC to Lightning 快速充電傳輸線, 1.2m, 銀色, 45g, 1條",0.4090043604373932
【麥多多Mcdodo】Usb對Type-C伸縮彈簧充電線(傳輸線 數據線 快充線 Type-C充電線 安卓 2A充電線 支援Qc4.0),"熔岩鎢金編織充電線 Type-C to Lighting 27W 31g, 1.2m, 藍色鈦, 1條",0.4088018536567688
【京太陽】20Cm 雙彎頭牛仔充電線(充電線 數據線 雙彎頭牛仔數據線 安卓 蘋果 Typec 牛仔充電線 Apple),"RONEVER Type-C to Lightning 充電傳輸線 27g, 2m, 1條",0.4096292555332184
U型線快充 新彎頭設計 可傳輸數據  充電線 Lightning(充電線 數據線 快充 手機充電 Lightning),"RONEVER Type-C to Lightning 充電傳輸線 27g, 2m, 1條",0.42507949471473694
【D8】Apple Mfi認證 Lightning 充電線/傳輸線-20Cm短線(For Iphone 12/Pro Max/Mini11/Xs/Xr/X/8/7/6),"Meet Mind USB-C to Lightning PD 快速充電傳輸線, 1.2m, 白色, 1條",0.4146421551704407
【Ouboo】2米加長版 Iphone16/15充電線 Pd60Wtype-C快充線 雙C口傳輸線(編織充電線/蘋果快充線/數據線),"UGREEN 綠聯 iPhone充電線 Lightning對USB連接線 快充 金屬編織版, 1m, 深空灰, 1條",0.42310720682144165
【聆翔】Usb-C快充線 Type-C To Type-C 2米(蘋果快充線 Iphone15快充傳輸線 充電線 數據線),"RONEVER Type-C to Lightning 充電傳輸線 27g, 2m, 1條",0.43873047828674316
【Muan】66W 智能數顯快充數據線 1.2米 Usb To Type-C(充電線 傳輸線 快充線),"STAR TypeC to Lightning 快速充電傳輸線, 1.2m, 銀色, 45g, 1條",0.4004175662994385
【鑫米】Type-C充電線 Android Typec 傳輸線2米(充 快充線 安卓充電線 Typec Usb),"USB Type-C Lightning PD快充線 30g, 2m, 黑灰色, 1條",0.40182003378868103
【Apigu】Usb 3.2 Gen2 100W 20Gbps 多功能急速充電線/傳輸線/數據線(Type-C公對公 耐用編織線1M),"Kinyo USB-C-Lightning 極速充電傳輸線 30g, 1m, USB-AC211B, 1條",0.40567439794540405
【D8】Apple Mfi認證 Lightning 充電線/傳輸線-100Cm(For Iphone 12/Pro Max/Mini11/Xs/Xr/X/8/7/6),"Meet Mind USB-C to Lightning PD 快速充電傳輸線, 1.2m, 白色, 1條",0.4111615717411041
【Baseus】倍思 100W Pd2.0 Type-C 閃充充電線/數據線 200Cm/2M(支援20V/5A  適合手機/筆電/Ipad Pro),"Kinyo 蘋果PD 25W快充傳輸線 60g, 2m, USB-NAC03, 1條",0.40737292170524597
【Iphone快充組】Pd/Qc 20W雙孔充電器+Mfi認證 Usb To Lightning充電傳輸線(Iphone 14/13/12 蘋果快充組),"Meet Mind USB-C to Lightning PD 快速充電傳輸線, 1.2m, 白色, 1條",0.4206782579421997
【Moshi】Usb-A To Lightning 充電線 傳輸線(3M),"Zikko Smart Cable Apple Lightning 傳輸線, 3m, 土豪金, 1盒",0.4045630395412445
【京太陽】200Cm 雙彎頭牛仔充電線(充電線 數據線 雙彎頭牛仔數據線 安卓 蘋果 Typec 牛仔充電線 Apple),"RONEVER Type-C to Lightning 充電傳輸線 27g, 2m, 1條",0.40870311856269836
