MOMO Title,Product Title,Similarity
【Bbia】絲絨腮紅膏 3.5G （韓國 頰彩 多色 Rlaso）,"BBIA 魅雅 謬斯女神腮紅餅 2.5g, 01 Cherry Blossom, 1個",0.44723647832870483
【韓國 Bbia】不掉色水光玻璃唇釉3.2G(14色可選),"BBIA 魅雅 不掉色水光玻璃唇釉, 04 肉桂, 3.2g, 1支",0.4423882067203522
【Bbia】唇膏 Last Powder Lipstick(第六感粉霧啞光唇膏),"BBIA 魅雅 保濕粉嫩潤唇膏, 10g, 2罐",0.4579417109489441
【Bbia】璀璨絲絨六色眼影盤(眼影盤 6色 六格絲絨眼影盤 韓國 正品 代購),"BBIA 魅雅 控油柔焦定妝蜜粉餅, 7g, 1個",0.4009999632835388
【Bbia】謬斯女神腮紅餅 2.5G（腮紅餅 腮紅 女神 Rlaso）,"BBIA 魅雅 謬斯女神腮紅餅 2.5g, 01 Cherry Blossom, 1個",0.4738541543483734
【Bbia】不掉色水光玻璃唇釉 3.2G （不掉色 水光 玻璃 唇釉 Rlaso）,"BBIA 魅雅 不掉色水光玻璃唇釉, 04 肉桂, 3.2g, 1支",0.4380848705768585
【Bbia】極細防水抗暈持久眼影眼線筆 0.3G(眼影 眼線 眼妝 眼彩 眼線筆 眼影筆 臥蠶),"BBIA 魅雅 極細防水抗暈持久眼影眼線膠筆 0.3g, 14 Almond Beige, 1支",0.46864259243011475
【Bbia】超持久水潤光保濕唇釉 4.5G （韓國 保濕 唇釉 持久 Rlaso）,"BBIA 魅雅 保濕粉嫩潤唇膏, 10g, 2罐",0.46660590171813965
【Bbia】澎潤亮眼持久臥蠶眼線膠筆3色(碧娥 眼線液筆 眼線膠筆 抗暈染 防水 液體眼線筆),"BBIA 臥蠶眼線液筆 0.6g, 01 Cafe Au Lait, 1支",0.4572747051715851
【卡芮亞】Bbia 極細防水抗暈持久眼影眼線筆 0.3G(熱門 推薦 眼影 眼線 眼妝 眼彩 眼線筆 眼影筆),"BBIA 魅雅 極細防水抗暈持久眼影眼線膠筆 0.3g, 14 Almond Beige, 1支",0.4696163237094879
【Bbia】定妝蜜粉餅 7G（蜜粉 控油 Rlaso）,"BBIA 魅雅 控油柔焦定妝蜜粉餅, 7g, 1個",0.48258861899375916
【Bbia】｜ Anniukr｜去角質保濕粉嫩潤唇膏 10G,"BBIA 魅雅 保濕粉嫩潤唇膏, 10g, 1罐",0.4591337740421295
【Bbia】去角質保濕粉嫩潤唇膏10G(Lip Oil Balm 護唇膏 唇膜 唇部護理),"BBIA 魅雅 保濕粉嫩潤唇膏, 10g, 1罐",0.4525536000728607
【Bbia】超持久抗暈柔細眼線液筆(抗暈3色 眼線 眼線液 眼線液筆),"BBIA 臥蠶眼線液筆 0.6g, 01 Cafe Au Lait, 1支",0.4457400441169739
【Bbia】璀璨絲絨六色眼影盤(眼影 眼影盤 珠光 啞光 眼妝 六色眼影盤 多功能),"BBIA 魅雅 控油柔焦定妝蜜粉餅, 7g, 1個",0.41583728790283203
【Bbia】超極細防水抗暈持久眼線膠筆 0.1G,"TONYMOLY 強力防水凝膠眼線筆 4g, 02 Brown, 1支",0.44403859972953796
【Bbia】霧面啞光持久唇釉(持久唇釉 啞光唇釉 絲絨唇釉 霧面 啞光 持久),"BBIA 魅雅 保濕粉嫩潤唇膏, 10g, 2罐",0.4627525508403778
【Bbia】不掉色水光玻璃唇釉 3.2G(水光唇釉 染唇液 嘟嘟唇 染唇釉 持久唇釉 不掉色 唇膏 唇釉),"BBIA 魅雅 保濕粉嫩潤唇膏, 10g, 1罐",0.4522477686405182
【Bbia】碧娥 超持久水潤光保濕唇釉 超持久唇釉 水光唇釉 4.5G(光澤 嘟嘟唇 果凍唇 染唇液),"BBIA 魅雅 保濕粉嫩潤唇膏, 10g, 1罐",0.44302278757095337
【卡芮亞】Bbia 保濕豐潤唇膏 3G(唇膏 口紅 唇彩 光澤唇膏),"BBIA 魅雅 保濕粉嫩潤唇膏, 10g, 1罐",0.4696533977985382
【Bbia】｜ Anniukr｜精緻亮眼立體臥蠶眼線液筆 0.9G,"BBIA 臥蠶眼線液筆 0.6g, 01 Cafe Au Lait, 1支",0.4677056074142456
【韓國 Bbia】謬斯女神腮紅餅2.5G(11色可選),"BBIA 魅雅 謬斯女神腮紅餅 2.5g, 01 Cherry Blossom, 1個",0.45670226216316223
