MOMO Title,Product Title,Similarity
【Benq】4K Hdr 行動短焦遊戲投影機 X300G(2000 流明),BenQ 明基 投影機 MS560,0.4339314103126526
【Benq】Gs50 Androidtv 智慧行動露營微型投影機(500流明),BenQ 明基 投影機 MS560,0.4230705797672272
【Xgimi 極米】Mogo 2 Pro智慧投影機 盒損福利品,"魔米MOMI 投影機 X800, 1個",0.4138483703136444
【Optoma】奧圖碼-Svga高亮度商用會議投影機-S336(4000流明),Optoma 奧圖碼 投影機 AZH460,0.4355197846889496
【Xgimi 極米】微型投影機 迷你投影機 可攜式智慧投影機(Mogo),"魔米MOMI 投影機 X800, 1個",0.4217282235622406
【露營中毒本鋪】魔米 迷你投影機 Momi X800(露營投影機 魔米投影機 投影機 戶外),"魔米MOMI 投影機 X800, 1個",0.4703778028488159
【Optoma】Optoma Uhz50+ 4K Uhd 雷射 家庭劇院 投影機 公司貨(4K雷射投影機),Optoma 投影機 X420LVe,0.4161587655544281
【Optoma】奧圖碼-Oma-S微型投影Rgb 3雷射短焦投影機(1500流明 / 1080P),Optoma 奧圖碼 投影機 ZW350e,0.42931312322616577
【Benq】Ms550 Svga 入門高亮商用投影機(3600流明),BenQ 明基 商用投影機WXGA 4000AL MW560,0.45320990681648254
【Benq】4K Hdr 4Led 旗艦遊戲投影機 X3100I(3300 流明),BenQ 明基 投影機 MS560,0.4130778908729553
【Momi魔米】X800微型投影機(悠遊戶外),"魔米MOMI 投影機 X800, 1個",0.48593613505363464
【Xgimi 極米】Mogo 3 Pro Google Tv投影機,"魔米MOMI 投影機 X800, 1個",0.40792787075042725
【Gwm】G60S 微型行動投影機(132吋4M微距/Hdmi/Vga/Av/Usb),"微米 M260微型投影機 14.4 x 9.9 x 5.4cm 355g, 1個",0.40257471799850464
【Benq】Th685P Hdr低延遲 高亮遊戲三坪投影機(3500流明),BenQ 明基 投影機 MS560,0.4406852126121521
