MOMO Title,Product Title,Similarity
【Google】A+級福利品 Pixel 6 Pro 6.71吋(12G/128Gb),"BODY PIXEL 護理下裝 Pro, 6罐, 60g",0.4179551303386688
【Google】A級福利品 Pixel 7 Pro 5G 6.7吋(12Gb/256Gb),"BODY PIXEL 護理下裝 Pro, 6罐, 60g",0.42721760272979736
【Google】A級福利品 Pixel 6 Pro 6.71吋(12G/128G),"BODY PIXEL 護理下裝 Pro, 6罐, 60g",0.41635075211524963
Google Pixel 6 Pro 保護貼 日本Agc買一送一 全覆蓋曲面黑框鋼化膜(買一送一 Google Pixel 6 Pro 保護貼),"BODY PIXEL 護理下裝 Pro, 6罐, 60g",0.4026617705821991
Google Pixel 6 保護貼 買一送一 滿版黑框手機保護貼(買一送一 Google Pixel 6 保護貼),"BODY PIXEL 護理下裝 Pro, 6罐, 60g",0.40335798263549805
【Google】A級福利品Pixel 7 Pro 6.7吋(12G/128G),"BODY PIXEL 護理下裝 Pro, 6罐, 60g",0.4129703938961029
【Google】A級福利品 Pixel 8 Pro 6.7吋(12G/128Gb),"BODY PIXEL 護理下裝 Pro, 6罐, 60g",0.41101768612861633
【Google】A級福利品 Pixel 8 Pro 6.7吋(12G/128Gb),"BODY PIXEL 護理下裝 Pro, 6罐, 60g",0.41101768612861633
【Google】A級福利品 Pixel 7 Pro 6.7吋(12G/128Gb),"BODY PIXEL 護理下裝 Pro, 6罐, 60g",0.4141734540462494
【Google】A級福利品 Pixel 6 Pro 5G 6.71吋(12Gb/256Gb),"BODY PIXEL 護理下裝 Pro, 6罐, 60g",0.4250810146331787
【Google】A級福利品 Pixel 8 Pro 5G 6.7吋(12Gb/128Gb),"BODY PIXEL 護理下裝 Pro, 6罐, 60g",0.41683515906333923
【Google】A級福利品 Pixel 7 Pro 5G 6.7吋(12Gb/128Gb),"BODY PIXEL 護理下裝 Pro, 6罐, 60g",0.4186801612377167
Google Pixel 6 Pro 保護貼 買一送一 滿版曲面黑框手機保護貼(買一送一 Google Pixel 6 Pro 保護貼),"BODY PIXEL 護理下裝 Pro, 6罐, 60g",0.41859906911849976
