MOMO Title,Product Title,Similarity
【Xpure 淨對流】出清特價 抗霾布織口罩 野外營 抗Pm2.5 抗Uv 抗菌  兒童 小孩 口罩,"興安 醫用口罩(未滅菌) 幼童適用XS 10 x 9.3cm, 海洋, 50個, 1盒",0.40428557991981506
Haofa N95 氣密型99%防護成人兒童立體醫療口罩 S/M/L任選 30入/盒 專品藥局(防霾Pm2.5),"JUN 郡昱 兒童3D立體醫療口罩 未滅菌 12 x 9cm, 小美人魚, 30片, 1盒",0.4109223783016205
台灣優紙 Tn95 D2醫療口罩 1入/包 專品藥局(國家認證 抗菌防護Pm2.5 Pfe99% 台灣製),"3M 懸浮微粒防護口罩KN95 #9513, 黑色, 5片, 10包",0.4013732969760895
【淨對流Xpure】抗Pm2.5霧霾3D布織口罩-兒童(抗Pm2.5抗Uv抗菌抗臭抗霧霾吸濕排汗氣密舒適),"JUN 郡昱 兒童3D立體醫療口罩 未滅菌 12 x 9cm, 小美人魚, 30片, 1盒",0.41024163365364075
【活力揚邑】Pm2.5防塵霾濾芯式立體棉布口罩活性碳五層濾片12入,"3M Nexcare 醫用口罩, 活性碳, 100片, 1盒",0.40429243445396423
【Poll-Tex】防霾減敏口罩2入組 抗Pm2.5霧霾3D布織口罩-成人(可水洗200次),"Dr.Lord 清淨防霾立體口罩 KF94 L號, 白色, 1片, 50包",0.40079495310783386
【Xlc鑫利昌】頂級四層活性炭防塵口罩送乾洗手(口罩 活性炭 活性碳 Pm2.5 兒童口罩 防塵口罩 立體口罩),"JUN 郡昱 兒童3D立體醫療口罩 未滅菌 12 x 9cm, 小美人魚, 30片, 1盒",0.4310329556465149
【Poll-Tex】防霾減敏口罩4入組 抗Pm2.5霧霾3D布織口罩-成人(可水洗200次),"Dr.Lord 清淨防霾立體口罩 KF94 L號, 白色, 1片, 50包",0.40184542536735535
8折 Xpure淨對流 抗霾布織口罩 Beauty款-毛呢灰/緞面黑，對抗Pm2.5空氣污染/交通廢氣！拜訪單車,,
【Xpure 淨對流】出清特價 抗霾布織口罩 All-Fit款 野外營 純黑設計 抗Pm2.5 可水洗 無耗材 抗Uv,,
【Haofa】氣密型高階Pm2.5防護口罩30入(30入/盒-防霾口罩、Pm2.5口罩、立體口罩、高階口罩、防護口罩),,
【藍鷹牌】成人立體活性碳Pm2.5專業防霾口罩5盒(25片/盒) Pm2.5 除臭 防空污 台灣製,,
【藍鷹牌】成人立體活性碳Pm2.5專業防霾口罩3盒(25片/盒) Pm2.5 除臭 防空污 台灣製,,
【Poll-Tex】防霾減敏口罩8入組 抗Pm2.5霧霾3D布織口罩-成人(可水洗200次),,
【藍鷹牌】台灣製成人立體活性碳Pm2.5專業防霾口罩 Pm2.5 除臭 防空污 25片/盒,,
【Poll-Tex防霾減敏口罩】抗Pm2.5霧霾3D布織口罩-成人(可水洗200次),,
【淨對流Xpure】抗Pm2.5霧霾3D布織口罩-成人(抗Pm2.5抗Uv抗菌抗臭抗霧霾吸濕排汗氣密舒適),,
【Babybelle 愛貝恩】Pm2.5防霾口罩(20入/盒),,
【天使光】3D奈米高效防護口罩15入(時尚 防霾 Pm2.5 曜石黑口罩),,
【活力揚邑】2入重覆用Pm2.5防塵霾濾芯式立體棉布口罩,,
【Csd 中衛】中衛Pm2.5防霾口罩 成人立體3D(12入/盒),,
