MOMO Title,Product Title,Similarity
【Razer 雷蛇】Pro Click Humanscale 人體工學 商務 無線滑鼠,"RAZER 雷蛇 超輕量電競無線滑鼠, 黑色, 1個",0.4198107421398163
雙11限定【Razer 雷蛇】Deathadder Essential★煉獄奎蛇 標準版有線電競滑鼠(黑色),"Razer 電競滑鼠, DeathAdder V3 煉獄奎蛇 V3, 1個",0.4830077588558197
雙11限定【Razer 雷蛇】Basilisk V3 Pro 巴塞利斯蛇 V3 Pro 無線電競滑鼠(白色),"RAZER 雷蛇 Razer Basilisk V3 遊戲有線滑鼠, RZ01-0400, 黑色",0.4524680972099304
【Razer 雷蛇】毒蝰 Viper V3 Pro 無線超輕量電競滑鼠 白色55公克超輕量設計電池更續航,"RAZER 雷蛇 超輕量電競無線滑鼠, 黑色, 1個",0.44345590472221375
【Razer 雷蛇】Razer Tartarus Pro 塔洛斯魔蠍鍵盤(光學按鍵軸 自訂巨集 左手鍵盤 黑色/白色),"RAZER 雷蛇 人體工學鍵盤護腕墊, 單色, 1個",0.4299619495868683
【Razer 雷蛇】Pro Type Ultra 無線藍牙雙模機械鍵盤 中文∕白色,"RAZER 雷蛇 人體工學鍵盤護腕墊, 單色, 1個",0.42204585671424866
【Razer 雷蛇】Blackwidow V3 Tenkeyless 黑寡婦 V3 綠軸電競鍵盤 短軸無數字鍵外型設計,"Razer 雨林狼蛛V3類機械式RGB鍵盤, 1個",0.4255768358707428
【Razer 雷蛇】Wolverine V2 Pro - Wireless Gaming Controller(控制器/手把/無線/Ios/Android/Pc/Ps5),"RAZER 雷蛇 超輕量電競無線滑鼠, 黑色, 1個",0.4014178514480591
【Razer 雷蛇】Gigantus V2 巨甲蟲滑鼠墊 Pokemon 寶可夢限定版 Xxl(鼠墊 電競鼠墊 聯名款),"RAZER 雷蛇 GIGANTUS V2滑鼠墊 L號, 混色, 1入",0.4692017138004303
【Razer 雷蛇】Leviathan V2 X 利維坦巨獸 V2 X電競喇叭(寶可夢聯名),"RAZER 雷蛇 岸超, 1個, RZ06-0507",0.4103224575519562
雙11限定【Razer 雷蛇】Ornata V3 X 雨林狼蛛 V3 X中文有線鍵盤,"Razer 雨林狼蛛V3類機械式RGB鍵盤, 1個",0.4253235459327698
【Razer 雷蛇】Deathadder V3 Hyperspeed 無線電競滑鼠(輕量滑鼠 人體工學設計 光學感測器 遊戲滑鼠 電競滑鼠),"Razer 電競滑鼠, DeathAdder V3 煉獄奎蛇 V3, 1個",0.44445914030075073
