MOMO Title,Product Title,Similarity
【Transcend 創見】Micro Sd 350V 64Gb 高耐用 記憶卡,"Axxen Class 10 Micro SD記憶卡 UHS-1, 64GB",0.43088096380233765
【Kingston 金士頓】Canvas Select Plus Microsdxc 256Gb 記憶卡★Sdcs2/256Gb(附轉卡),"Kingston金士頓 Micro SDXC 記憶卡, 256GB, 1個",0.48490166664123535
【Transcend 創見】Micro Sd 350V 256Gb 高耐用 記憶卡 含轉卡,"Kiossia EXCERIA microSD 記憶卡, 256GB",0.4421961009502411
Sandisk Extreme Pro Sdxc 128G 128Gb 280Mb Uhs-Ii V60 Sd 記憶卡 專業攝影 相機記憶卡,"Transcend 創見資訊 UHS-I SD 300S 記憶卡, 128GB, 1個",0.4269132614135742
【御皇居】Linkmore記憶卡(64Gb 台灣製造 記憶卡 Sd記憶卡 Tf轉Sd卡),"Axxen Class 10 Micro SD記憶卡 UHS-1, 64GB",0.4375074803829193
《粉紅桃子》 32G高階記憶卡(兒童相機記憶卡 Micro Sd 記憶卡 可愛卡通圖案 32G記憶卡),"AGI TF138 microSD記憶卡 U1附轉卡, 32GB, 1組",0.4088514447212219
【Kingston 金士頓】Canvas Go! Plus Microsdxc Uhs-I U3 V30 A2 512Gb 記憶卡(Sdcg3/512Gb),"Kingston金士頓 Micro SDXC 記憶卡, 256GB, 1個",0.4066462218761444
【Kingston 金士頓】Canvas Select Plus Microsdxc 64Gb 記憶卡★Sdcs2/64Gb(附轉卡),"Axxen Class 10 Micro SD記憶卡 UHS-1, 64GB",0.4563761353492737
128Gb高速讀寫記憶卡(Class10 Uhs-I U3  64/128/256Gb 手機 行車紀錄器Micro Sd Tf),"Gigastone 快閃記憶卡 MicroSDXC U1 A1 V30 64GB附轉卡 15 x 11 x 1mm, 1個",0.41948872804641724
【Angelbird】Av Pro Sd Mk2 Sdxc Uhs-Ii V90 256Gb 記憶卡--公司貨,"Kiossia EXCERIA microSD 記憶卡, 256GB",0.4151115417480469
【Kingston 金士頓】1T Sdxc Sd U3 V60 Uhs-Ii 記憶卡(Sdr2V6/1Tb 平輸),"Kingston金士頓 Micro SDXC 記憶卡, 256GB, 1個",0.42620110511779785
【Sandisk 晟碟】[升級版]Ultra Microsdhc Uhs-I A1 16Gb記憶卡98Mb/S(16G Micro Sd 記憶卡),"Axxen Class 10 Micro SD記憶卡 UHS-1, 16GB",0.4603627026081085
【Kingston 金士頓】256Gb Sdxc Sd U3 V60 Uhs-Ii 記憶卡(Sdr2V6/256Gb 平輸),"Kingston金士頓 Micro SDXC 記憶卡, 256GB, 1個",0.46882423758506775
