MOMO Title,Product Title,Similarity
【Summer寶石】天然碧璽18K金戒指 0.9Ct(Kg-43),JUDY AND PAUL 女士珠寶小尖晶石寶石戒指 R51842,0.4451507031917572
【Summer寶石】天然《蜜蠟》設計款戒指(-P1-11),JUDY AND PAUL 女士珠寶小尖晶石寶石戒指 R51842,0.4388613700866699
【Summer寶石】輕珠寶設計優雅K金耳環(Kg105),Buddha Best女款財運蝴蝶結珍珠玉耳環,0.4338952898979187
【Summer寶石】天然碧璽18K金戒指 1.1Ct(Kg-4),JUDY AND PAUL 女士珠寶小尖晶石寶石戒指 R51842,0.4426712989807129
【Summer寶石】天然碧璽18K金戒指 1.2Ct(Kg-5),JUDY AND PAUL 女士珠寶小尖晶石寶石戒指 R51842,0.4448556900024414
【Summer寶石】天然碧璽18K金戒指 1.3Ct(Kg-25),JUDY AND PAUL 女士珠寶小尖晶石寶石戒指 R51842,0.44617199897766113
【Summer寶石】輕珠寶 優雅設計14K金 縞瑪瑙項鍊(Kg106),JUDY AND PAUL 女士格洛麗亞黑色晶石寶石黃金項鍊 N55216,0.42996296286582947
【Summer寶石】天然碧璽18K金戒指 1.6Ct(Kg-41),JUDY AND PAUL 女士珠寶小尖晶石寶石戒指 R51842,0.4430125057697296
【Summer寶石】天然碧璽18K金戒指 0.8Ct(Kg-2),JUDY AND PAUL 女士珠寶小尖晶石寶石戒指 R51842,0.4416370987892151
【Summer寶石】天然碧璽18K金戒指(Kg-16),JUDY AND PAUL 女士珠寶小尖晶石寶石戒指 R51842,0.4437776803970337
【Summer寶石】天然碧璽18K金戒指 3.7Ct(Kg-10),JUDY AND PAUL 女士珠寶小尖晶石寶石戒指 R51842,0.44584164023399353
【Summer 寶石】黑鈦手排11Mm(隨機出貨),男款鈦金屬手鍊,0.4003279209136963
【Summer 寶石】紫玉隨手珠8Mm(隨機出貨),,
【Summer 寶石】金絲楠手珠(A239),,
【Summer 寶石】方鈉石手排(A170),,
【Summer 寶石】紅幽靈桶珠(A347),,
【Summer 寶石】貓眼綠髮手珠(A271),,
【Summer 寶石】紫水晶手珠13Mm(隨機出貨),,
【Summer 寶石】螢石手珠9Mm(隨機出貨),,
【Summer 寶石】招貴人桃花薔薇石設計款手珠(K10),,
【Summer 寶石】巴西5A聚財納氣紫晶洞17.3Kg(C017),,
【Summer 寶石】粉晶蜜蠟設計款925銀手鍊(A215),,
【Summer 寶石】鈦晶三圈手珠(A263),,
【Summer 寶石】蜜蠟設計款迴紋珠手鍊(A155),,
【Summer 寶石】巴西5A聚財納氣紫晶洞16.9Kg(C020),,
【Summer 寶石】5A頂級天然巴西愛心黃晶洞4.52Kg(A47),,
【Summer 寶石】拓帕石手排12Mm(隨機出貨),,
【Summer 寶石】藍紋瑪瑙手鐲(A335),,
【Summer 寶石】提升行動與判斷力藍虎眼設計款手珠(K09),,
【Summer 寶石】銅順髮手珠16Mm(94G),,
【Summer 寶石】粉晶紫水晶設計款手鍊(A217),,
【Summer 寶石】多寶貔貅手鍊(隨機出貨),,
【Summer 寶石】鳳凰石手珠(A165),,
【Summer 寶石】幻彩幽靈聚寶盆10Mm(隨機出貨),,
【Summer 寶石】丹泉石手鍊隨機出貨(可自調手圍),,
【Summer 寶石】鈦晶貔貅手珠40.2G(A342),,
【Summer 寶石】銅順髮手珠16Mm(88G),,
【Summer 寶石】5A頂級天然巴西愛心黃晶洞5.12Kg(A45),,
【Summer 寶石】蜜蠟設計款925銀手鍊(A151),,
【Summer 寶石】5A頂級天然巴西愛心黃晶洞4.9Kg(A42),,
【Summer 寶石】櫻花瑪瑙手珠10Mm(隨機出貨),,
【Summer 寶石】方塊螢石手鍊(隨機出貨),,
【Summer 寶石】黑銀鈦項鍊(A322),,
【Summer 寶石】鈦晶貔貅項鍊,,
【Summer 寶石】藍玉髓手珠10Mm(隨機出貨),,
【Summer 寶石】黑髮手珠83G(A310),,
【Summer 寶石】招人緣桃花粉晶設計款手珠(K28),,
【Summer 寶石】藍銅礦手珠(A163),,
【Summer 寶石】粉晶心型設計款手鍊(隨機出貨),,
【Summer寶石】冰晶銀髮墜鍊(Sa073),,
【Summer 寶石】巴西5A聚財納氣黃晶洞22.85Kg(A220),,
【Summer 寶石】緬甸天然A貨翡翠18K金彌勒墜,,
【Summer 寶石】5A頂級天然烏拉圭紫水晶恐龍蛋4.08Kg(A05),,
【Summer 寶石】綠髮晶貔貅項鍊(A230),,
【Summer 寶石】粉晶心型手鍊(隨機出貨),,
【Summer 寶石】黑加侖超七手排16Mm(42G),,
【Summer 寶石】粉水晶星星手珠(隨機出貨),,
【Summer 寶石】彼得石大衛星(隨機出貨),,
【Summer 寶石】藍玉髓手珠9Mm(隨機出貨),,
【Summer 寶石】黃水晶金字塔貔貅手鍊(隨機出貨),,
【Summer 寶石】碧璽雙色蓮花(22G),,
【Summer 寶石】幸運草古錢螢石手鍊(隨機出貨),,
【Summer寶石】天然幻彩綠幽靈手排25G以上(隨機出貨),,
【Summer 寶石】招財事業鈦晶貔貅設計款(K33),,
【Summer 寶石】超七3圈手珠4Mm(隨機出貨),,
【Summer 寶石】5A頂級天然巴西黃水晶恐龍蛋4.06Kg(A16),,
【Summer 寶石】翠幽靈手排68G(版寬18Mm),,
【Summer 寶石】黑銀鈦項鍊(A321),,
【Summer 寶石】黑鈦手排(A306),,
【Summer 寶石】鳳凰石手珠(A166),,
【Summer 寶石】摩根石貔貅手鍊(隨機出貨),,
【Summer 寶石】吞金獸螢石手鍊(隨機出貨),,
【Summer 寶石】紫鈦貔貅項鍊(A302),,
【Summer 寶石】銀曜迴紋手鍊(隨機出貨),,
【Summer 寶石】富甲天下螢石手鍊(隨機出貨),,
【Summer 寶石】白玉平青翡翠設計款手鍊(A220),,
【Summer 寶石】拉長石貔貅手鍊(隨機出貨),,
【Summer 寶石】黑髮晶設計款手鍊(A213),,
【Summer 寶石】粉晶蜜蠟設計款925銀手鍊(A111),,
【Summer 寶石】緬甸天然A貨翡翠18K金一葉致富墜,,
【Summer 寶石】5A頂級天然烏拉圭紫水晶恐龍蛋3Kg(A04),,
【Summer寶石】幻彩綠幽靈手排40G以上(隨機出貨),,
【Summer 寶石】拉長石手排(A172 隨機出貨),,
【Summer 寶石】九尾狐螢石手鍊(隨機出貨),,
【Summer 寶石】綠髮晶貔貅項鍊(A229),,
【Summer寶石】幻彩綠幽靈手排50G以上(隨機出貨),,
【Summer 寶石】西瓜碧璽手排10Mm(38G),,
【Summer寶石】天然黑髮晶手珠《 100G 》以上(隨機出貨),,
【Summer 寶石】增進溝通海藍寶蝴蝶設計款手珠(K14),,
【Summer 寶石】緬甸天然A貨翡翠18K金觀音墜,,
【Summer 寶石】緬甸天然A貨紫蘿蘭翡翠18K金葫蘆墜,,
【Summer 寶石】巴西5A聚財納氣紫晶洞15Kg(C001),,
【Summer 寶石】巴西5A+聚財納氣紫晶洞11Kg(C012),,
【Summer 寶石】5A頂級黃水晶恐龍蛋4.52Kg(A13),,
【Summer 寶石】銀曜3圈手珠5Mm(隨機出貨),,
【Summer 寶石】非洲紫檀手珠(A238),,
【Summer 寶石】紫黃晶手珠10Mm(隨機出貨),,
【Summer 寶石】摩根石手鍊隨機出貨(可自調手圍),,
【Summer 寶石】天河石手珠6Mm(隨機出貨),,
【Summer 寶石】銀曜手排18Mm(隨機出貨),,
