MOMO Title,Product Title,Similarity
【Mbs 萬事捷】3357 充電式大小通吃削筆機-Usb+鋰電池 /台 As-808,"mbs 萬事捷 高級鐵製 大小通用削筆機 AS-920, 藍色, 1個",0.4370744228363037
【Sdi 手牌】電動削鉛筆機 / 台 0170,"SDI 手牌 輕鬆轉大小通吃可調式削鉛筆機, 0166P, 1個",0.45368048548698425
【Sdi 手牌】馬卡龍削筆功能組 削鉛筆機 削筆機 顏色隨機出貨 送大筆削筆器 /組 0150P-X(顏色隨機出貨),"chuyu culture 珠友文化 可調式 大小通吃削筆機 73 x 70 x 90mm, 天藍色, 1個",0.4631690979003906
【Kw-Trio】掌上型削鉛筆機 03420(小型削鉛筆機/7-8Mm/削筆器/攜帶型削筆機),"Tomato 高級鐵製 大小通用削筆機, 紅色, 1個",0.4712628722190857
【Joeki】電動雙孔削鉛筆機(自動削鉛筆機 削鉛筆機 桌上型 削鉛筆 文具 學生用 美術課用 畫畫用),"PoKeMoN 寶可夢 自動削鉛筆機, 隨機出貨, 1份",0.455962598323822
奧特曼削鉛筆機3D造型削筆機 迪迦款(6090),"Tomato 莫蘭迪色削筆機, 天藍色, 1個",0.458570659160614
【Sdi 手牌】萌動物系列 好學生 金屬削鉛筆機 削筆機 適用Φ8Mm鉛筆 顏色隨機出貨 /台 0162P-X,"SDI 手牌 輕鬆轉大小通吃可調式削鉛筆機, 0166P, 1個",0.47685834765434265
【Sun-Star】Pop Lush 軟硬筆芯兩用削筆器(4款可選/日本進口/削鉛筆/削筆器),"mideer 三孔削筆器, 白色, 3個",0.4383813440799713
【Sun-Star】吉伊卡哇 軟硬筆芯兩用削筆器(2款可選/日本進口/削鉛筆/削筆器),"寶可夢 派對系 大小通吃可調式削筆機 3歲以上, 黃色, 1個",0.44671767950057983
【Life Shop】電動機削鉛筆機/粗細雙孔6-12Mm(削筆器 美術繪畫削筆刀 學生用品削筆機),"Tomato 高級鐵製 大小通用削筆機, 紅色, 1個",0.4652775526046753
【Sdi 手牌】電動手動兩用削鉛筆機 顏色隨機出貨 2台/組  0174P,"SDI 手牌 輕鬆轉大小通吃可調式削鉛筆機, 0166P, 1個",0.46409204602241516
【Cox 三燕】雙孔 可蓋式 削筆器  大小通吃 顏色隨機 /個 Ps-20,"mideer 三孔削筆器, 白色, 2個",0.4533766806125641
【Deli 得力】自動大小通吃電動削鉛筆機/Va10/3色(Type-C 全自動),"deLi 得力 5段式調節旋轉削鉛筆機, 1個, 棕色",0.4695935547351837
【Sun-Star】Happystu:D 米妮快樂學童文具-粗細兩用削筆器(迪士尼/日本進口/削鉛筆/削筆器),"迪士尼 公主系列 大小通吃可調式削鉛筆機, 貝兒仙杜瑞拉, 1個",0.45154768228530884
【Color Me】可愛豬鉛筆削筆器 2個一組/顏色隨機削筆刀 削筆器 卷筆刀 單孔削筆機 削鉛筆 削鉛筆機 學生用品 文具 辦公用品 1111Campaign,"chuyu culture 珠友文化 可調式 大小通吃削筆機 73 x 70 x 90mm, 天藍色, 1個",0.4621991515159607
【Faber-Castell】德國輝柏 1828 大小通吃削筆機-顏色隨機  文具,"FABER-CASTELL 輝柏 大小通用削鉛筆機 #1828, 顏色隨機, 2個",0.4725143313407898
利百代 大小通吃可調式自動進退削筆機 替刀組 3入/組 Sp-005-Rp,"ACE 大小通吃削筆機 PS-100A, 粉灰色, 1個",0.44869428873062134
【Liberty】利百代-慢慢買百貨-Sp-001 三用筆削  三孔筆削(學校 辦公 學生 文具),"雙門3孔筆削器12件組 S-302, 混色, 1組",0.44593262672424316
【Muji 無印良品】手動削鉛筆機/小.淺灰,"Tomato 高級鐵製 大小通用削筆機, 紅色, 1個",0.4263964891433716
【Faber-Castell】旋轉盒雙孔削筆器(隨機出貨),"FABER-CASTELL 輝柏 大小通用削鉛筆機 #1828, 顏色隨機, 1個",0.42945483326911926
【手牌】Sdi 0145P 實用型削鉛筆機,"SDI 手牌 輕鬆轉大小通吃可調式削鉛筆機, 0166P, 1個",0.4599742293357849
【Deli 得力】全自動 大小通吃 電動削鉛筆機 /台 Va10(顏色隨機出貨),"deLi 得力 5段式調節旋轉削鉛筆機, 1個, 棕色",0.46926820278167725
【Faber-Castell】輝柏 旋轉盒雙孔削筆器 /個 182719(顏色隨機),"FABER-CASTELL 輝柏 大小通用削鉛筆機 #1828, 顏色隨機, 4個",0.45009925961494446
我是新品-荃翔-慢慢買百貨-萌貓咪造型削筆機(學校 辦公 學生 文具),"寶可夢 派對系 大小通吃可調式削筆機 3歲以上, 黃色, 1個",0.447831392288208
尚禹- Pencom-慢慢買百貨-Sp-100 熊好削雙孔筆削(學校 辦公 學生 文具),"台灣 COSMOS B 方形雙孔削筆器 顏色隨機, 3個",0.43043261766433716
【Sdi 手牌】實用型 削鉛筆機  /台 0150P(顏色隨機),"SDI 手牌 輕鬆轉大小通吃可調式削鉛筆機, 0166P, 1個",0.4588165879249573
【Sdi 手牌】輕鬆轉 大小通吃 可調式 削鉛筆機 削筆機 顏色隨機 /台 0166P,"SDI 手牌 輕鬆轉大小通吃可調式削鉛筆機, 0166P, 1個",0.47405850887298584
【Jin Shin Fa 金興發】輝柏 雙孔削筆器旋轉盒 顏色隨機出貨(大小通吃 文具 辦公文具 削鉛筆機),"FABER-CASTELL 輝柏 大小通用削鉛筆機 #1828, 顏色隨機, 1個",0.4568607807159424
【Jin Shin Fa 金興發】Rodor羅德 迷你手動式削鉛筆機 Mpr1001 顏色隨機出貨(文具 辦公文具 削鉛筆機),"SDI 手牌 輕鬆轉大小通吃可調式削鉛筆機, 0166P, 1個",0.4509996473789215
利百代 大小通吃可調式自動進退削筆機 /台 Sp-005,"ACE 大小通吃削筆機 PS-100A, 粉灰色, 1個",0.4602085053920746
【可愛文具】攜帶型迷你雙孔削鉛筆器2入-小雞/荷包蛋(粗細兩用 透視削鉛筆器 削鉛筆機 造型削筆器),"寶可夢 派對系 大小通吃可調式削筆機 3歲以上, 黃色, 1個",0.4568759500980377
電動 削筆機 削鉛筆機 黑色 / 台 V-71,"Tomato 高級鐵製 大小通用削筆機, 紅色, 1個",0.46635398268699646
【得力】手搖經典削筆機-2色可選(71160),"deLi 得力 5段式調節旋轉削鉛筆機, 1個, 棕色",0.4491174519062042
【Sdi 手牌】可換滾刀電動削鉛筆機 顏色隨機出貨 /台 0172,"DELI 5段式調節旋轉削鉛筆機, 深灰色, 1個",0.45505112409591675
【Color Me】蘿蔔削筆刀 5個一組削鉛筆 削鉛筆機 削筆器 卷筆刀 削筆刀 迷你 文具 單孔削筆機 鋼刀片 尖頭鉛筆 1111Campaign,"chuyu culture 珠友文化 可調式 大小通吃削筆機 73 x 70 x 90mm, 天藍色, 1個",0.4536900222301483
【珠友】可調式/大小通吃削筆機(削鉛筆機/色鉛筆機),"寶可夢 派對系 大小通吃可調式削筆機 3歲以上, 黃色, 1個",0.46852993965148926
【Faber-Castell】輝柏 Design 精緻多功能削筆器 /個 183801/183800/183804/283899(顏色隨機),"FABER-CASTELL 輝柏 大小通用削鉛筆機 #1828, 顏色隨機, 4個",0.4547605514526367
【Faber-Castell】削筆機口徑8-11Mm大小通用/台 1828(顏色隨機),"FABER-CASTELL 輝柏 大小通用削鉛筆機 #1828, 顏色隨機, 2個",0.4550778269767761
【Plus 普樂士】跑車削鉛筆機,"ACE 大小通吃削筆機 PS-100A, 粉灰色, 1個",0.4052491784095764
【Sdi 手牌】0122J 蟲蟲樂園削筆器 尖鈍調整(3入1包),"寶可夢 派對系 大小通吃可調式削筆機 3歲以上, 黃色, 1個",0.4104555547237396
【小草居家】兒童 電動文具組 電動削筆機(雙色 削筆機 桌面整潔 吸塵器 學習套組 開心文具組),"寶可夢 派對系 大小通吃可調式削筆機 3歲以上, 黃色, 1個",0.4475138187408447
【Sonic】削筆機 可自動退出 Ek-7022(開學 禮物 鉛筆),"PoKeMoN 寶可夢 自動削鉛筆機, 隨機出貨, 1份",0.445931077003479
【放了媽媽】削鉛筆機-可愛文具-文具小物(單入組),"PoKeMoN 寶可夢 自動削鉛筆機, 隨機出貨, 1份",0.45266076922416687
【Sdi 手牌】電動手動兩用削鉛筆機 0174P(隨機出貨),"SDI 手牌 輕鬆轉大小通吃可調式削鉛筆機, 0166P, 1個",0.46087414026260376
【Faber-Castell】-慢慢買百貨-182719 旋轉雙孔削筆器(學校 辦公 學生 文具),"FABER-CASTELL 輝柏 大小通用削鉛筆機 #1828, 顏色隨機, 2個",0.4437592625617981
