MOMO Title,Product Title,Similarity
【Ucc】117/114/芳醇即溶咖啡90Gx12罐/箱,"ucc 113精製即溶咖啡, 90g, 1罐",0.47519493103027344
【西雅圖】黃金淺焙無加糖二合一咖啡19Gx100包(冷熱皆宜/淺焙/無糖/二合一/即溶),"UCC 巴西單品即溶咖啡, 2g, 10條, 1盒",0.40488341450691223
【Ucc】即溶咖啡117/114/芳醇90G X6罐(風味任選各3罐),"ucc 117精緻即溶咖啡, 90g, 12罐",0.47591790556907654
【Agf】日本 Agf Maxim 無糖黑咖啡 隨身包 100入 贅沢 奢華嚴選濃郁金爵黑咖啡(即溶咖啡),"AGF 微奢華咖啡店 8條, 贅沢綜合黑咖啡, 2g, 1盒",0.43133822083473206
【Agf】(雙11限定)日本Agf Maxim 即溶咖啡 四種產地 2Gx50入 無糖綜合黑咖啡,"AGF Blendy LATORY 濃厚苦味咖啡拿鐵, 9g, 20條, 1盒",0.43265676498413086
【Agf】日本Agf 贅澤珈琲店 家庭號 Black 即溶咖啡 即溶咖啡粉 黑咖啡 咖啡粉 咖啡包 咖啡條 Agf Agf(悠西將),"AGF 微奢華咖啡店 8條, 贅沢綜合黑咖啡, 2g, 1盒",0.44339004158973694
【Dripo】日本 Dripo 咖啡焙煎所 即溶咖啡 黑咖啡 2Gx30條/盒 即溶黑咖啡,"UCC 巴西單品即溶咖啡, 2g, 10條, 1盒",0.4052080512046814
【Ucc】*貪吃熊*日本 Ucc 咖啡 即溶咖啡 90G 117/114,"ucc 117精緻即溶咖啡, 90g, 1罐",0.4516002833843231
【Agf】Maxim 即溶咖啡 80G/罐 3入組(箴言咖啡/濃郁醇厚/香甜柔順/華麗醇厚),"ucc 職人芳醇即溶咖啡, 90g, 1瓶",0.4146799147129059
【西雅圖】藍山風味拿鐵二合一咖啡-21Gx100入(盒裝/即溶效期2025/3/14),"摩卡炭燒拿鐵風味咖啡, 15g, 30包, 1袋",0.4171622395515442
【Cafe Altura】有機冷凍乾燥低咖啡因即溶咖啡1罐(100G/罐;低咖啡因;帶有焦糖＆巧克力口感),"BEANIES 即溶咖啡 薄荷巧克力風味, 50g, 1罐",0.4048120677471161
【Agf】日本Agf Maxim 即溶咖啡 四種綜合黑咖啡 2Gx20入/盒產地咖啡/焙煎咖啡,"AGF Blendy LATORY 濃厚苦味咖啡拿鐵, 9g, 20條, 1盒",0.43234536051750183
【Maxim】30T/盒－韓國 Maxim Kanu 美式黑咖啡 輕度烘焙 Mini即溶咖啡包(悠西將),"Maxim 麥心 白金經典三合一咖啡, 50條, 1盒, 11.7g",0.42925214767456055
【Agf】即溶黑咖啡6罐組(80G/罐;箴言咖啡/濃郁醇厚/香甜柔順/華麗醇厚),"AGF 微奢華咖啡店 8條, 贅沢綜合黑咖啡, 2g, 1盒",0.4273415505886078
【Maxwell 麥斯威爾】精選即溶咖啡環保包X4包(150G/包),"Maxwell House 麥斯威爾 精選咖啡環保包, 150g, 1包",0.46998438239097595
【Agf】微奢華咖啡店芳醇即溶咖啡補充包(70G/袋),"ucc 職人芳醇即溶咖啡, 90g, 1瓶",0.410049706697464
【Ucc】117精緻即溶咖啡-隨身包100入/盒(無糖/2Gx100入/盒),"ucc 職人芳醇即溶咖啡, 90g, 1瓶",0.4648156464099884
日本 Agf Blendy 即溶咖啡粉 黑咖啡 Agf Agf(悠西將),"AGF Blendy LATORY 濃厚苦味咖啡拿鐵, 9g, 20條, 1盒",0.4211922287940979
【Agf】微奢華咖啡店芳醇即溶咖啡補充包X2袋組(70G/袋),"ucc 職人芳醇即溶咖啡, 90g, 1瓶",0.41777169704437256
【Ucc】117即溶咖啡X6罐組(90G/罐),"ucc 117精緻即溶咖啡, 90g, 1罐",0.4740825891494751
【Maxwell 麥斯威爾】精選即溶咖啡環保包(150G/包),"Maxwell House 麥斯威爾 精選咖啡環保包, 150g, 1包",0.46708521246910095
【Nescafe 雀巢咖啡】可可咖啡歐蕾即溶粉盒裝20G X10入,"NESCAFE 雀巢咖啡 金牌咖啡 深焙風味, 120g, 1罐",0.43611910939216614
【Agf】日本 Agf Maxim 綜合咖啡 即溶咖啡粉 Agf Agf(悠西將),"AGF Blendy LATORY 濃厚苦味咖啡拿鐵, 9g, 20條, 1盒",0.4100528657436371
【Maxim】10T/盒－韓國 Maxim Kanu 美式黑咖啡 輕度烘焙/深度烘焙 即溶咖啡包(悠西將),"Maxim 麥心 白金經典三合一咖啡, 50條, 1盒, 11.7g",0.4289916455745697
【Ucc】117即溶咖啡(90G/罐),"ucc Special精製即溶咖啡, 90g, 2罐",0.47515416145324707
【Ucc】日本 Ucc 玻璃罐裝即溶咖啡 114 117(悠西將),"ucc 117精緻即溶咖啡, 90g, 2罐",0.4469180405139923
【西雅圖】西雅圖即品拿鐵無加糖2合1咖啡21Gx100入/盒裝(原盒出貨/無糖/二合一/即溶),"UCC 巴西單品即溶咖啡, 2g, 10條, 1盒",0.4214402735233307
【Ucc】113即溶咖啡90G *3罐(第三代即溶咖啡),"ucc Special精製即溶咖啡, 90g, 2罐",0.4704410433769226
【G7】越南三合一即溶咖啡(16G*50包),"G7 三合一咖啡, 16g, 50包, 1袋",0.4373331069946289
【Cama Cafe】即溶精品黑咖啡(精品咖啡),"ucc Special精製即溶咖啡, 90g, 1罐",0.42031165957450867
【Ucc】精選即溶咖啡X6罐組(90G/罐),"ucc Special精製即溶咖啡, 90g, 1罐",0.4759100675582886
【西雅圖】西雅圖即品拿鐵三合一咖啡21G/15入/盒X3盒(冷熱皆宜/有糖/三合一/即溶),"UCC 巴西單品即溶咖啡, 2g, 10條, 1盒",0.4112812876701355
