MOMO Title,Product Title,Similarity
棋盤格紋雙面披風 黑白 狗狗冬天外套 狗狗冬天背心 寵物衣服（M/L/Xl）,"寵物衣服, 黑色, 1件",0.42848509550094604
【Woolly】泡芙輕量羽絨背心裙(韓系狗狗衣服/狗狗背心),"寵物衣服, 黑色, 1件",0.4069376587867737
加絨卡通狗狗衣服 狗狗衣服 狗衣服 貓咪衣服 貓衣服(小型犬衣服 寵物衣服),"狗狗貓咪Hilio荷包蛋夏季衣服, 02黃色",0.45241257548332214
芥末黃蹦蹦Ｈｏｏｄｉｅ 燈芯絨連帽衣 狗狗帽踢 狗狗衣服 寵物衣服（4Xl/5Xl）,"DOGDOG 日常連帽衛衣, 卡其色",0.43096646666526794
【可愛寶貝】可愛印花寵物背心-L號(春夏款 狗狗背心 寵物睡衣 寵物衣服 寵物衣服 狗衣服 貓衣服),"寵物衣服, 黑色, 1件",0.4521307647228241
【Blue Port】Jplh｜Blue Port 寵物斜領條紋高領 內搭衣 舒適彈力棉 貼合身型 保暖 寵物衣服 狗狗衣服 貓咪衣服 經典法,"寵物衣服, 黑色, 1件",0.44255900382995605
芥末黃蹦蹦Ｈｏｏｄｉｅ 燈芯絨連帽衣 狗狗帽踢 狗狗衣服 寵物衣服（M/L/Xl）,"DOGDOG 日常連帽衛衣, 卡其色",0.43233218789100647
寵物術後防舔衣狗衣服 防舔衣 貓咪防舔衣 貓衣服 結紮衣 寵物衣服 狗狗衣服,"寵物衣服, 黑色, 1件",0.4362815320491791
【貓狗汪喵】寵物背心 海軍風棉質寵物背心 寵物衣服 春夏裝(貓狗衣服 海軍風 海軍背心),"寵物衣服, 黑色, 1件",0.42860716581344604
【Woolly】海軍風彈力棉質狗狗衣服-Xl(寵物衣服),"寵物衣服, 黑色, 1件",0.4279041886329651
狗狗衣服 貓咪衣服 狗衣服 貓衣服 小型犬衣服 寵物衣服 過年狗衣服 新年寵物衣服,"狗狗貓咪Hilio荷包蛋夏季衣服, 02黃色",0.4481174051761627
【Woolly】拉鍊內刷毛羽絨背心-Xl(寵物衣服/狗狗衣服),"寵物衣服, 黑色, 1件",0.425752192735672
【Qidina】寵物軟綿綿保暖法蘭絨變身可愛鴨鴨裝 寵物衣-A款(貓衣服 狗狗衣服 寵物衣服 貓咪衣服 寵物用品),"狗狗貓咪Hilio荷包蛋夏季衣服, 02黃色",0.43977656960487366
芥末黃蹦蹦Ｈｏｏｄｉｅ 燈芯絨連帽衣 狗狗帽踢 狗狗衣服 寵物衣服（2Xl/3Xl）,"DOGDOG 日常連帽衛衣, 卡其色",0.42929747700691223
【Blue Port】Jplh｜Blue Port 寵物工裝吊帶褲 柔軟舒適 適合各身型 寵物衣服 狗狗衣服 貓咪衣服 貓衣服 貴賓 大狗衣服,"寵物衣服, 黑色, 1件",0.4388920068740845
【貓狗汪喵】中大尺寸-寵物衣服 經典款時尚毛絨保暖衣(狗衣服 狗保暖衣 寵物毛衣),"Pet Life 造型寵物針織毛衣 犬貓通用, 小萌舞獅賀春",0.4434862434864044
【Blue Port】Jplh｜Blue Port 條紋領子寵物毛衣 柔軟保暖 寵物衣服 狗狗衣服 貓咪衣服 寵物秋冬服飾 防舔衣 狗狗外套,"Pet Life 造型寵物針織毛衣 犬貓通用, 小萌舞獅賀春",0.4374994933605194
【Hipidog 嬉皮狗】清涼小熊印花背心(春夏款寵物服飾 貓狗衣服 柔軟舒適 清涼透氣),"Chilsy寵物水果圖案背心, 白色, 1個",0.43680328130722046
棋盤格愛心刺繡背心 米白 狗狗衣服 寵物衣服 狗狗外套 寵物外套（4Xl/5Xl）,"寵物衣服, 黑色, 1件",0.44073474407196045
【Blue Port】Jplh｜Blue Port  泰迪熊寵物背心 保暖防寒  寵物衣服 狗狗衣服 寵物外套 狗狗外套 貓衣服 貓咪衣服,"寵物衣服, 黑色, 1件",0.43096989393234253
【Qidina】寵物質感雙面可穿鋪棉保暖衣 寵物衣-G款(貓衣服 狗狗衣服 寵物衣服 貓咪衣服 寵物用品),"寵物衣服, 黑色, 1件",0.45171982049942017
雙面穿披風 紫橘 狗狗冬天外套 狗狗冬天背心 寵物衣服（4Xl/5Xl）,"寵物衣服, 黑色, 1件",0.43842896819114685
【Momo媽咪】台灣現貨寵物衣服 狗狗衣服 貓咪衣服 寵物保暖衣服 小型犬衣服 寵物服飾 可牽繩 貓狗衣服 兩腳(狗狗衣服),"狗狗貓咪Hilio荷包蛋夏季衣服, 02黃色",0.43641114234924316
