MOMO Title,Product Title,Similarity
【Finetech 釩泰】超薄抑菌涼感衛生棉 夜用型 29Cm(7片/3入組),"康乃馨 清涼棉衛生棉 夜用加長, 33cm, 8片, 2包",0.4281601905822754
【Jin Shin Fa 金興發】康乃馨 清涼棉衛生棉 28Cm10片 量多加長(新舊包裝隨機出貨 衛生棉),"康乃馨 清涼棉衛生棉 量多加長, 28cm, 10片, 6包",0.47208771109580994
【Finetech 釩泰】超薄抑菌涼感衛生棉、護墊 6+6包(15.5Cm/18Cm/19Cm/24.5Cm/29Cm/34Cm/42Cm),"康乃馨 清涼加長型護墊, 17cm, 20片, 4包",0.422378808259964
【康乃馨】超薄蝶型衛生棉夜用一般14片3入裝(14片/包；3包/組),"康乃馨 超薄蝶型衛生棉 量多型, 25.5cm, 16片, 3包",0.47174620628356934
【康乃馨】超薄蝶型衛生棉量多型16片3入裝(16片/包；3包/組),"康乃馨 超薄蝶型衛生棉 量多型, 25.5cm, 16片, 3包",0.48105427622795105
【康乃馨】御守棉超薄衛生棉量多加長14片3入裝(14片/包；3包/組),"康乃馨 清涼棉衛生棉 一般流量, 21.5cm, 14片, 4包",0.4677982032299042
【康乃馨】清涼棉衛生棉夜用加長8片2入裝(8片/包；2包/組),"康乃馨 清涼棉衛生棉 夜用加長, 33cm, 8片, 2包",0.4797652065753937
【康乃馨】御守棉超薄衛生棉一般流量18片3入裝(18片/包；3包/組),"康乃馨 御守棉 超薄柔棉一般流量衛生棉, 21.5cm, 18片, 3包",0.46246835589408875
【康乃馨】御守棉超薄衛生棉夜用加長12片3入裝(12片/包；3包/組),"康乃馨 御守棉 夜用極長衛生棉, 40cm, 7片, 3包",0.48015132546424866
【康乃馨】產婦專用衛生棉20片(20片/包),"康乃馨 超薄蝶型衛生棉 量多型, 25.5cm, 16片, 4包",0.42683878540992737
【Finetech 釩泰】超薄抑菌涼感衛生棉 量少型 19Cm(9片/3包組),"康乃馨 新超薄蝶型衛生棉 量少型, 18cm, 20片, 3包",0.4116517901420593
【康乃馨】清涼棉衛生棉一般流量14片2入裝(14片/包；2包/組),"康乃馨 清涼棉衛生棉 一般流量, 21.5cm, 14片, 4包",0.48077505826950073
【Finetech 釩泰】超薄抑菌涼衛生棉、護墊(30包組 護墊、量少、日用、夜用、加長、特長),"康乃馨 御守超薄夜用加長衛生棉, 33cm, 12片, 3包",0.4304726719856262
【康乃馨】純淨棉超薄衛生棉量多加長14片2入裝(14片/包；2包/組),"康乃馨 清涼棉衛生棉 一般流量, 21.5cm, 14片, 4包",0.47064653038978577
【康乃馨】御守棉夜用衛生棉36.5公分9片(9片/包),"康乃馨 御守棉 夜用超長衛生棉, 36.5cm, 9片, 9包",0.4733537435531616
【康乃馨】超薄蝶型衛生棉夜用一般14片(14片/包),"康乃馨 超薄蝶型衛生棉 量多型, 25.5cm, 16片, 4包",0.46369069814682007
【康乃馨】清涼棉衛生棉量多加長10片2入裝(10片/包；2包/組),"康乃馨 清涼棉衛生棉 量多加長, 28cm, 10片, 6包",0.47033435106277466
【康乃馨】御守棉超薄衛生棉量多型16片3入裝(16片/包；3包/組),"康乃馨 御守棉超薄柔棉 日用量多, 25.5cm, 16片, 2包",0.4694865345954895
【康乃馨】御守棉夜用衛生棉40公分7片(7片/包),"康乃馨 御守棉 夜用極長衛生棉, 40cm, 7片, 3包",0.4732431173324585
【康乃馨】清涼棉衛生棉量多型12片2入裝(12片/包；2包/組),"康乃馨清涼棉量多型 12片 25.5cm 2包, 1組",0.4698111116886139
【康乃馨】純淨棉超薄衛生棉一般流量18片2入裝(18片/包；2包/組),"康乃馨 清涼棉衛生棉 一般流量, 21.5cm, 14片, 4包",0.4608941674232483
【Finetech 釩泰】超薄抑菌涼感衛生棉 日用型 24.5Cm(8片/3包組),"康乃馨 超薄蝶型衛生棉 量多型, 25.5cm, 16片, 3包",0.4152355492115021
【康乃馨】超薄蝶型衛生棉量多型16片(16片/包),"康乃馨 超薄蝶型衛生棉 量多型, 25.5cm, 16片, 3包",0.4728827178478241
【康乃馨】超薄蝶型衛生棉一般流量20片3入裝(20片/包；3包/組),"康乃馨 超薄蝶型衛生棉 量多型, 25.5cm, 16片, 3包",0.47887951135635376
【康乃馨】純淨棉超薄衛生棉夜用加長12片2入裝(12片/包；2包/組),"康乃馨 清涼棉衛生棉 夜用加長, 33cm, 8片, 2包",0.4732843041419983
【康乃馨】超薄蝶型衛生棉量少型20片3入裝(20片/包；3包/組),"康乃馨 超薄蝶型衛生棉 量多型, 25.5cm, 16片, 3包",0.47712844610214233
【康乃馨】純淨棉超薄衛生棉量多型16片2入裝(16片/包；2包/組),"康乃馨清涼棉量多型 12片 25.5cm 2包, 1組",0.46282610297203064
【Finetech 釩泰】超薄抑菌涼衛生棉 4+4包(24.5Cm/29Cm/34Cm/42Cm),,
