MOMO Title,Product Title,Similarity
【得意】廚房紙巾(70張*48捲),"春風 廚房紙巾 120張, 6捲, 3組",0.46384746
【得意】抽取式廚房紙巾_易手抽(100抽X24包),"得意 抽取式廚房紙巾, 100張, 30包",0.4830831
【Joeki】得意衛生紙 廚房紙巾(得意衛生紙 100抽 抽取衛生紙 可沖馬桶 柔軟升級 生活用品 限超取),"得意 抽取式廚房紙巾, 100張, 30包",0.4271054
【得意】抽取式廚房紙巾(100抽)(單包),"得意 抽取式廚房紙巾, 100張, 30包",0.48734087
【得意】廚房紙巾 70張X6捲X2串(得意),"得意 金得意系列 巧撕廚房紙巾 112張, 6捲, 1袋",0.45759284
【得意】廚房紙巾 得意廚房紙巾 廚房紙巾 捲筒 衛生紙巾 餐巾紙巾 得意衛生紙巾 廚房衛生紙,"得意 金得意系列 巧撕廚房紙巾 112張, 6捲, 1袋",0.4699968
【得意】捲筒式廚房用紙巾 70張/捲 20 單入組1111Campaign,"得意 金得意系列 巧撕廚房紙巾 112張, 6捲, 4袋",0.44040596
【Joeki】得意  廚房紙巾(70張 6捲 廚房紙巾 衛生紙巾 餐巾紙巾 得意衛生紙巾 吸油紙 金得意 衛生紙),"得意 金得意系列 巧撕廚房紙巾 112張, 6捲, 1袋",0.46533695
【得意】廚房紙巾 70張X6捲X2串,"得意 抽取式廚房紙巾, 100張, 30包",0.45105708
【金得意】巧撕廚房紙巾(112組X48捲),"得意 金得意系列 巧撕廚房紙巾 112張, 6捲, 4袋",0.48759893
【得意】抽取式廚房紙巾(100抽X30包),"得意 抽取式廚房紙巾, 100張, 30包",0.49270025
【金得意】巧撕廚房紙巾 112張X6捲X2串,"得意 金得意系列 巧撕廚房紙巾 112張, 6捲, 4袋",0.48868147
