MOMO Title,Product Title,Similarity
【Anborteh 安伯特】快槍俠Mini無線打氣機 國家認證 一年保固-快(汽車打氣機 電動充氣機 輪胎打氣機),"飛樂 philo 急速電動打氣機II, TP20 II, 1個",0.42486095428466797
【Coleman】充電式幫浦 / Cm-06777(充氣機 打氣機 充氣幫浦 迷你充氣機),"便攜智能車用充氣泵 899g, 1個",0.41668447852134705
米家充氣寶打氣機2(充氣機 打氣筒 打胎器 胎壓 檢測儀 檢測器  汽車/機車/自行車輪胎通用  便攜隨身打氣筒),"攜帶型車用打氣機 DC 12V, 1個",0.42502808570861816
【小米】米家充氣寶2(充氣寶 打氣機 充氣機 打氣筒 打胎器 胎壓 檢測儀 檢測器 充電器),"汽車胎壓自動充氣機, 1個",0.43863213062286377
🎈氣球快易送🎈Cd-618氣球定量充氣機 110V 氣球打氣機 打氣機 充氣機 氣球充氣機 定量打氣機(自動充氣 定量打氣 110V 氣球),"MEiriAN 愛心生日派對氣球組+LED燈串+手持打氣機+固定貼紙, 混色, 1組",0.4135148823261261
【Cre88】創意巴巴 台灣24H出貨 無線打氣機 輪胎打氣機 汽車打氣機 打氣機 充氣機 車用打氣機 機車打氣機 電動充氣機,"攜帶型車用打氣機 DC 12V, 1個",0.4306126534938812
【Flyone】Ap-300 多用途 無線智能高壓打氣筒/打氣機,"攜帶型車用打氣機 DC 12V, 1個",0.4204845130443573
雙汽缸打氣機(雙汽缸打氣機),"攜帶型車用打氣機 DC 12V, 1個",0.4493345320224762
【Philo 飛樂】超大馬力快狠準10秒快速補氣Tp20(充氣機/輪胎打氣機/無線打氣機/胎壓檢測/汽車打氣機),"飛樂 philo 急速電動打氣機II, TP20 II, 1個",0.45073646306991577
【Widelife 廣字號】Wpump充氣王2代 電動充氣機(車用充氣機│打氣機│汽車打氣機│無線打氣機│充氣機),"攜帶型車用打氣機 DC 12V, 1個",0.4297604560852051
歐文購物智能數顯打氣機 充氣機 打氣機 電動打氣機 電動充氣機 車用打氣機 充氣泵 充氣寶 輪胎打氣機 電動,"數位電動輪胎打氣機 180w, 1個",0.4450807273387909
【Taiga 大河】車用多功能攜帶式渦流電動打氣機6000Mah 胎壓檢測/夜間照明/輪胎充氣(Cb1157),"數位電動輪胎打氣機 180w, 1個",0.4414154291152954
【Michelin 米其林】智能設定 急速電動打氣機(12266),"數位電動輪胎打氣機 180w, 1個",0.4073261022567749
【Flyone】Ap-50 多用途 車用智能高壓 電動打氣機,"攜帶型車用打氣機 DC 12V, 1個",0.42195406556129456
【Philo 飛樂】買一送一 快狠準 無線打氣機Tp20(輪胎打氣/胎壓檢測/充氣機),"飛樂 philo 急速電動打氣機II, TP20 II, 1個",0.46354275941848755
圓圈生活Suitu智慧無線迷你打氣機(充氣機 充氣泵 輪胎 球類 充氣船 充氣床 機車 腳踏車 電動車),"URBAN CAR 車用自助輪胎充氣機, 1個",0.4158260226249695
小米打氣機2 升級第二代 米家充氣寶2 汽車車載充氣 自行電動輪胎打氣筒氣泵(小米打氣機2),"數位電動輪胎打氣機 180w, 1個",0.4413582384586334
