MOMO Title,Product Title,Similarity
【居家Cheaper】伸縮不鏽鋼雙桿移動晾衣架Ha-040Sl(型錄/不銹鋼衣架/雙桿衣架/掛衣架/落地衣架/伸縮衣架),"ikloo 宜酷屋 時尚單桿延伸曬衣架 2250g, 白色, 1組",0.41058793663978577
【Perfect】旗艦款3大升級-2.4米不銹鋼X型三桿伸縮晾曬衣架(晾衣架 曬衣桿 伸縮晾衣架 掛衣架) ,"ikloo 宜酷屋 時尚單桿延伸曬衣架 2250g, 白色, 1組",0.4243701100349426
材質保證 衣帽架小型掛衣架落地臥室傢用立式入戶客廳床邊放衣服掛架子衣帽架 掛衣架 簍衣架 衣服展示架 實木架,"ikloo 宜酷屋 無印風優雅衣帽架 33W*33D*176Hcm 7.687kg, 白色, 1組",0.4299073815345764
【Happylife】十字款實木松木衣帽架 Y10248(掛衣架 吊衣架 玄關收納架 落地衣帽架 玄關衣帽架 掛衣帽架),"北歐風櫸木實木落地式衣帽掛架 2kg, BKAR1556-A",0.4384072721004486
大尺寸掛衣架 衣架落地立式帶輪可移動 落地衣架 帽架 衣架子 開放式衣架 掛衣架 衣帽架 吊衣架 簡易衣櫃,"ikloo 宜酷屋 無印風優雅衣帽架 33W*33D*176Hcm 7.687kg, 白色, 1組",0.4101822078227997
【Iris】木質加蓋網掛型吊掛衣架Pi-B4(掛衣架 衣架 衣帽架 衣櫃),"北歐風櫸木實木落地式衣帽掛架 2kg, BKAR1556-A",0.42075222730636597
【Kihome 奇町美居】簡約單桿伸縮衣架,"ikloo 宜酷屋 台製時尚單桿延伸曬衣架, 黑色, 1組",0.4105353057384491
【E家工廠】衣帽架 衣架 掛衣架 衣桿架 收納架 站立式收納架衣架(249-Kc衣架（多款可選）),"ikloo 宜酷屋 無印風簡約掛衣架 吊衣架 3.29kg, 白色, 2組",0.42389100790023804
【Iris】木質加蓋網掛型吊掛衣架 Pi-B4(掛衣架/衣架/衣帽架/衣櫃),"北歐風櫸木實木落地式衣帽掛架 2kg, BKAR1556-A",0.42075222730636597
【Picknew】創意複合式三樹杈造型衣帽架(掛衣架 衣帽褲架 實木衣帽架 置衣架 掛衣架),"北歐風櫸木實木落地式衣帽掛架 2kg, BKAR1556-A",0.44012877345085144
【慢慢家居】可掛簾免打孔-頂天立地掛衣架(四立五橫兩網籃 衣帽架 吊衣架 衣櫥 衣櫃 頂天立地架 置物架)-雙,"ikloo 宜酷屋 無印風優雅衣帽架 33W*33D*176Hcm 7.687kg, 白色, 1組",0.40805286169052124
【Picknew】創意樹杈型掛勾造型衣帽架(掛衣架 褲架 實木衣帽架 置衣架 掛衣架),"北歐風櫸木實木落地式衣帽掛架 2kg, BKAR1556-A",0.43635237216949463
