MOMO Title,Product Title,Similarity
【Everlight 億光】8入組 13W二代高光效 Led燈泡 全電壓 球泡燈(白光/黃光/自然光),"聲億科技 13W 超廣角LED燈泡, 白光, 1個",0.45059242844581604
【Everlight 億光】8入組-16W二代高光效Led燈泡 全電壓 球泡燈(白光/黃光/自然光),"EVERLIGHT 億光 超節能高亮度 LED 燈泡 11.8W, 黃光, 1個",0.45427221059799194
【Everlight 億光】10入組-二代高光效Led球泡燈10W取代25W螺旋燈泡(白光/自然光黃光),"EVERLIGHT 億光 超節能高亮度 LED 燈泡 11.8W, 黃光, 1個",0.44035103917121887
【Everlight 億光】Led燈泡 16W亮度 超節能Plus 僅12W用電量 10入(白/黃光),"EVERLIGHT 億光 超節能高亮度 LED 燈泡 11.8W, 黃光, 1個",0.4467068910598755
【Philips 飛利浦】Philips飛利浦 燈泡 12W Led燈泡 易省 球泡 Led球泡 省電燈泡,"PHILIPS飛利浦 12W 新款燈泡 E27 4000K, 自然光, 1個",0.4282780587673187
【Everlight 億光】10W二代高光效Led燈泡 全電壓 球泡燈(白光/黃光/自然光),"聲億科技 10W 超廣角LED燈泡, 白光, 1個",0.44788047671318054
【Dancelight 舞光】6入組 7W Led燈泡 E27 全電壓 超高光效(白光/黃光),"Dancelight 舞光 LED 16W 6500K E27, 白光, 1個",0.4706667363643646
【Philips 飛利浦】Led Stick 9W E27 超廣角燈泡-4入組(白光/黃光任選),"PHILIPS LED stick 燈泡 E27 9W 6500K, 白光, 1個",0.45949164032936096
【Everlight 億光】4入組-13W二代高光效Led燈泡 全電壓 球泡燈(白光/黃光/自然光),"聲億科技 13W 超廣角LED燈泡, 自然光, 1個",0.4512638449668884
【光明王】Led節能燈泡_16W-10入組(高亮度 低光衰 壽命長 節能 省電 無閃頻 Led燈),"美國TCP 16W 高CP值節能燈泡 10個, 自然光 4000K, 1組",0.40950363874435425
【旭光】高光效 10W Led燈泡 晝光色 自然光 燈泡色(6入組),"cityo LED燈泡 15W, 白光, 1入",0.4131617248058319
【Dancelight 舞光】Led燈泡 Led球泡 4W 4瓦 E14 燈絲燈泡 全電壓 小瓦數球泡 迷你型燈泡 蠟燭燈絲燈 尖清燈泡 復古小燈泡 小夜燈 (黃光),"OSRAM LED燈泡 E14 7W 4000K 自然光, 1個",0.4043711721897125
【Everlight 億光】滿十顆送充電線 億光 Led球泡 超節能 燈泡 Led 3.5W 高亮度 Led燈泡,"EVERLIGHT 億光 超節能高亮度 LED 燈泡 11.8W, 黃光, 1個",0.43707916140556335
【Adata 威剛】13W 高亮度 Led燈泡 - 8入組(高效能 省電 節能 高流明),"ADATA 威剛 LED高效能球泡燈 8W, 白光, 4個",0.41366317868232727
【Joya Led】台灣製造 16W Led燈泡 6入裝(Cns認證 無藍光 高光效 超省電),"cityo LED燈泡 15W, 白光, 1入",0.4012819528579712
【Osram 歐司朗】迷你型 7W Led燈泡(E14-5入組),"OSRAM LED燈泡 E14 7W 4000K 自然光, 1個",0.40051257610321045
【Dancelight 舞光】Led燈泡 50W 超高光通量 E27 適用停車場 商業空間(白光/黃光),"Dancelight 舞光 LED 16W 6500K E27, 白光, 1個",0.4230801463127136
【Dancelight 舞光】10入組 升級第9代 16W Led燈泡 E27 全電壓(白光/黃光/自然光 廣角度 省電型 高亮度),"Dancelight 舞光 LED 16W 6500K E27, 白光, 1個",0.4693160951137543
【光明王】Led節能燈泡_13W-10入組(高亮度 低光衰 壽命長 節能 省電 無閃頻 Led燈),"威剛 13W 大廣角高效LED燈泡, 自然光, 2個",0.40653446316719055
【Dancelight 舞光】10入組 升級第9代 10W Led燈泡 E27 全電壓(白光/自然光/黃光),"Dancelight 舞光 LED 16W 6500K E27, 白光, 1個",0.46354714035987854
【Philips 飛利浦】9W Led Stick超廣角燈泡(Ps003/Ps004),"PHILIPS LED stick 燈泡 E27 9W 6500K, 白光, 1個",0.40834999084472656
【Dancelight 舞光】Led燈泡 38W 超高光通量 E27 適用停車場 商業空間(白光/黃光/自然光),"Dancelight 舞光 LED 16W 6500K E27, 白光, 1個",0.415060430765152
【Philips 飛利浦照明】Led 易省燈泡 12W 白光/中性光/黃光（6入）(無藍光 省電燈泡 護眼),"PHILIPS飛利浦 12W 新款燈泡 E27 4000K, 自然光, 1個",0.423171728849411
【Philips 飛利浦】Led Stick 9W E27 超廣角燈泡 - 白光(4入組),"PHILIPS LED stick 燈泡 E27 9W 6500K, 白光, 1個",0.4525781273841858
【Philips 飛利浦】14W 4入 高亮度Led燈泡(大瓦數球泡 E27燈泡),"PHILIPS飛利浦 12W 新款燈泡 E27 4000K, 自然光, 1個",0.41065189242362976
【Dancelight 舞光】3W Led燈泡 E27 全電壓 超高光效(白光/黃光),"Dancelight 舞光 LED 16W 6500K E27, 白光, 1個",0.47358211874961853
【Adata 威剛】11.5W 省電版 Led球泡燈 Cns認證(第六代 高亮度、真省錢),"ADATA 威剛 LED高效能球泡燈 8W, 白光, 3個",0.44243404269218445
