MOMO Title,Product Title,Similarity
【Michael Kors】Jet Set Item系列 防刮牛皮皮革 金字Logo 斜背包 方包 相機包(多色任選),"BAGnBAGs休閒相機包 M80, 藍色",0.4250006079673767
【Karl Lagerfeld 卡爾】Karl 相機包 側背包 單肩包 卡爾 拉格斐 Lagerfeld 老佛爺(相機包),"BAGnBAGs休閒相機包 M80, 藍色",0.40112632513046265
【Robinmay】Olivia斜背包(雙11限定 1111/相機包/多色任選),"時尚單肩相機包CB170, 黑色, 1個",0.41419076919555664
【Shinyton】S094厚磅尼龍四層相機斜背包、側背包、斜背包、肩背包、小方包、多層包、相機包,"BAGnBAGs休閒相機包 M80, 藍色",0.42986294627189636
【攝彩】卡登D67相機包-中號(一機2鏡 多功能側背相機包 單肩 Caden 防潑水 單眼相機包 防潑水休閒包),"Cwatoun 科頓 減壓加厚防刮防盜微單眼相機帆布包 M, 咖啡色",0.42829445004463196
【Mk】Maika Dream復古風相機包 單肩斜垮包 手提包,"藍色舒適單肩相機包 M 型, 1個, 淺褐色",0.4105531573295593
【Shinyton】S066厚磅尼龍雙層小相機包側背包、手提包、小方包、雙層包、斜背包、相機包,"BAGnBAGs休閒相機包 M80, 藍色",0.41839319467544556
【Lotus】Boona 包納 單肩相機包 Bn-H017,"時尚單肩相機包CB170, 黑色, 1個",0.4270707368850708
加厚防撞 肩背單眼相機包(相機包 單眼相機包 攝影包 3C收納包 防水 防磨 防撞 單眼相機包 相機內膽包 微單眼相機包),"Cwatoun 科頓 減壓加厚防刮防盜微單眼相機帆布包 M, 咖啡色",0.4121150076389313
【Keddy】相機包-便攜包-中性包包-尼龍包-側背包-防水包-小包包-情侶包包-黑色包包-百搭包包-手機包,"BAGnBAGs休閒相機包 M80, 藍色",0.4002099633216858
【Muan】日系休閒微單相機包 單肩帆布包1機1鏡 單眼相機包 單反包,"藍色舒適單肩相機包 M 型, 1個, 淺褐色",0.4418641924858093
【Muan】戶外單反相機包 防水便攜微單包 相機斜背包 鏡頭收納包(防刮防塵保護包),"BAGnBAGs休閒相機包 M80, 藍色",0.4181773066520691
【Chenson】簡單外出2夾層!3口袋斜背小包 手機包 相機包 斜背包(雙11限定 1111 Cg82041-3),"BAGnBAGs休閒相機包 M80, 藍色",0.4195636510848999
【Shinyton】112064厚磅尼龍相機包小方包、側背包、斜背包、小方包、肩背包、多層包,"BAGnBAGs休閒相機包 AK76, 深藍色",0.411122590303421
【Michael Kors】防刮拉鍊方包/相機包/斜背包(多款任選),"BAGnBAGs休閒相機包 M80, 藍色",0.4001307487487793
【Gucci 古馳】Ophidia 帆布迷你斜背相機包(517350-烏木),"BAGnBAGs休閒相機包 AK76, 深藍色",0.4017502963542938
【Tory Burch】簡約經典雙T Logo皮革方包相機包斜背包(酒紅),"Rajenda純色斜背包相機包, 灰色",0.4025357663631439
【Burberry 巴寶莉】80814601經典帆布格紋肩背相機包(卡其色),"BAGnBAGs休閒相機包 M80, 藍色",0.40268608927726746
【Goyard 高雅德】經典Cap-Vert Logo帆布拉鍊斜背相機包(黑Mae120191-Black),"matchwood TFO相機包 MHWD-CB-001-BK, 黑色, 1個",0.4025789499282837
【Robinmay】貝果相機斜背包-L(雙11限定 1111/相機包/多隔層/多色任選),"時尚單肩相機包CB170, 黑色, 1個",0.42294782400131226
【Michael Kors】Jet Set 掛鍊口袋防刮紋斜背包/方包/相機包(多款任選),"BAGnBAGs休閒相機包 M80, 藍色",0.41406187415122986
【Tory Burch】Miller 荔枝紋雙拉鍊相機包(迷你/多色選),"Daysoi 可愛口袋型相機包 17 x 23 cm, 棕色",0.40108704566955566
【Nikon 尼康】Zf Body 單機身組(公司貨),,
【Prowell】一機多鏡多功能相機後背包 相機保護包 專業攝影背包(1111Win-23233 贈防雨罩 雙11限定,,
New Start精品服飾-員林 Tommy Hilfiger Th 前翻蓋 拉鍊 相機包  斜背包方包 側背包(Tommy 相機包),,
【Loewe 羅威】Anagram 壓紋貼飾迷你斜背相機包(多色任選),,
【Lowepro 羅普】Flipside 400 Aw Iii 火箭手三代 400Aw 相機包(公司貨),,
【Balenciaga 巴黎世家】552372 經典Everyday系列品牌字母烙印小牛皮迷你相機包斜背包(全新展示品－桃紅色),,
【Moondy】尼龍小包包 牛津斜背包 女包包 編織背帶 防潑水包包 情侶包 尼龍郵差包 相機包 斜背包 小包包 黑色包包 禮物,,
【Moondy】女包 相機包 馬鞍包 女生包包 黑色 紅色白色側背包 單肩包斜背包 肩背包 斜背小方包 機能小包,,
【Prowell】一機多鏡/兩機多鏡相機後背包攝影包無人機包 內部可拆大容量後背包Win-23162(雙11限定 1111Camp,,
【Longchamp】Longchamp Le Pliage Collection橡膠奔馬Logo帆布千鳥格紋設計拉鍊斜背相機包(小/藍X棕X黑),,
【Prowell】一機多鏡多功能相機後背包 相機保護包 專業攝影背包 單眼相機後背包(Win-23233 贈防雨罩),,
【Gucci 古馳】449413 經典Gg Logo緹花布牛皮飾邊肩背斜背相機包(顏色任選),,
【Robinmay】柏林相機包(雙11限定 1111/拉鍊封口/多色任選),,
【Hellolulu】Vita側背輕便相機包 3色(雙11限定 1111 Hl30045),,
【Coach】雙11 大C Pvc/皮革手拿包/識別證件夾/零錢包(多款多色任選/交換禮物),,
【Prowell】Eva硬殼一機兩鏡相機包 相機側背包 休閒攝影包 相機斜背包(Win-22356 贈送防雨罩),,
【Guess】菱格翻蓋手提斜背包(兩色任選),,
【Ysl】Lou絎縫皮革相機包,,
【Coach】經典馬車牛皮拼接皺褶斜/印花Logo斜背雙層相機包(任選),,
【Coach】Wyatt 荔枝皮革雙拉鍊相機包(黑色),,
【Coach】Pvc Logo金屬字牌斜背相機包(深咖黑邊/中款),,
【Lowepro 羅普】火箭旅行家 Bp250Aw 專業相機包 L28(台閔公司貨Lp37014),,
【Guess】素色百搭大容量手提肩背包(多色可選),,
【Coach】Jamie荔枝紋皮革斜背相機包(酒紅色),,
【Guess】Logo掛鎖造型手提肩背包(兩色任選),,
【Keddy】拼色小方包-雙拉鍊小包-隨身小包-相機包-寬肩帶包包-耐刮耐磨-女包包-翻玩包包-硬殼包,,
【Gucci 古馳】449413 經典Gg Logo緹花布牛皮飾邊肩背相機包(全新展示品-棕色),,
【Coach】Jamie 金釦荔枝皮革相機包(黑色),,
【Coach】C Logo Pvc銀字飾牌斜背相機包(鐵灰黑C),,
【Coach】Cocah經典金/銀字馬車Logo牛皮/Pvc拉鍊斜背相機包(多色),,
【Gucci 古馳】Gg Marmont Mini 迷你 皮革 山形紋 肩背包 斜背包 相機包 黑色 18公分 448065,,
【Kt Dada】拼色小方包 雙拉鍊小包 寬肩帶 耐刮耐磨 硬殼包 相機包 小方包 隨身小包 翻玩包包,,
【Prada 普拉達】Prada 字母Logo拉鍊皮革搭尼龍斜背相機包(海軍藍),,
【Aldo】雙11★Talaedar-充滿細節感時尚斜背相機包-女包(海軍藍),,
【Coach】Coach X Disney聯名款Mini Jamie黃銅Logo滑雪米奇米妮拉鍊斜背相機包(小/深松樹綠),,
【Canon】Eos R50 18-45Mm+專業相機包+副電座充+128G記憶卡+Sl-1拭鏡筆+防潮盒+鋼化貼+藍牙遙控器(公司貨),,
【Prowell】一機多鏡或兩機多鏡多功能相機後背包 相機保護包 專業攝影背包 無人機包(Win-23162 贈防雨罩),,
【Burberry 巴寶莉】經典格紋拚色牛皮飾邊斜背包相機包(顏色任選),,
【Coach】男生 腰包 / 相機包 / 側背包 / 胸包 / 方包 / 斜背包 / 皮帶 / 短夾 / 皮夾 男款(多款可挑),,
【Michael Kors】Mk 女生 側背包 防刮皮革 拉鍊 方包 斜背包 相機包(多色可挑 女包),,
【Tory Burch】Miller 荔枝紋雙拉鍊相機包(多色選),,
【Sony 索尼】Cinema Line Fx30 數位相機 單機身(公司貨),,
【攝彩】卡登D13相機包(適用各廠牌單眼 一機三鏡 隔板可自由擺放 休閒包 斜跨包 手提包 卡登 防潑水),,
【奶白時尚】雙11限定 韓系斜背帶皮革相機包(1111手機包 韓版 斜背包 小方包 精品包 肩背包 斜跨 ,,
【Marc Jacobs 馬克賈伯】專櫃新款 Snapshot雙J金屬Logo防刮牛皮字母織帶相機包(多色/任選),,
【Gucci 古馳】雙11  449413 經典Guccissima牛皮壓紋系列肩背斜背相機包(顏色任選),,
【Coach】Mini Jamie斜背相機包（多款任選）,,
