MOMO Title,Product Title,Similarity
【Sdi 手牌】自動鎖定 專業 大美工刀 黑刃刀 /支 K3050C,"SDI 自動鎖定小美工刀 0406C 12個, 1盒",0.439121812582016
小美工刀 大美工刀 不銹鋼美工刀 工業用美工刀 不銹鋼裁紙刀 辦公室文具 M0096(大美工刀),"SDI 自動鎖定小美工刀 0406C 12個, 1盒",0.4491422474384308
【Sdi 手牌】自動鎖定 新銳 專業 大美工刀 /支 3050C,"SDI 自動鎖定小美工刀 0406C 12個, 1盒",0.44618332386016846
【Cox 三燕】輕巧型 不鏽鋼 大美工刀 12支/盒 Sd-20,"3M Scotch 鈦金屬美工刀 S, 2支",0.42775729298591614
【Sdi 手牌】高利度美工刀片-小 9Mm 10片 / 盒(1403),"SDI 自動鎖定小美工刀 0406C 12個, 1盒",0.4310988783836365
【Slice】多用途陶瓷切刀-窄版(10476),"buyhearts 切刀小CT-S, 3個",0.4150192439556122
【Olfa】安全工作刀 / 支 Sk-4,"OLFA PC-S小型壓克力切割刀, 1支",0.4296993017196655
【Olfa】拋棄式 安全工作刀 藍色 10支/包 Sk-15/10/Blu 型,"OLFA PC-S小型壓克力切割刀, 1支",0.4063548445701599
【Olfa】鋁合金壓鑄握柄大型美工刀Mxp-L(含黑刀片),"OLFA PC-S小型壓克力切割刀, 1支",0.4256772994995117
【Sdi 手牌】自動鎖定 雙色 防滑 小美工刀 顏色隨機 /支 0414C,"SDI 自動鎖定小美工刀 0406C 12個, 1盒",0.46367308497428894
【Sdi 手牌】自動鎖定 雙色 防滑 大美工刀 顏色隨機 /支 0431C,"SDI 自動鎖定小美工刀 0406C 12個, 1盒",0.45919185876846313
小美工刀 大美工刀 不銹鋼美工刀 工業用美工刀 不銹鋼裁紙刀 辦公室文具 M0096(小美工刀),"SDI 自動鎖定小美工刀 0406C 12個, 1盒",0.4510466158390045
【Sdi 手牌】-慢慢買百貨-0411D 精美小型美工刀   (學校 辦公 學生 文具),"SDI 自動鎖定小美工刀 0406C 12個, 1盒",0.42071738839149475
【Sdi 手牌】大 美工刀片 10片入 1404 文具(學校 辦公),"SDI 自動鎖定小美工刀 0406C 12個, 1盒",0.4324479103088379
【Sdi 手牌】Easy Cut 輕便 小刀 美工刀 顏色隨機 /支 0108J,"SDI 自動鎖定小美工刀 0406C 12個, 1盒",0.44685572385787964
【Sdi 手牌】-慢慢買百貨-0404C 小美工刀附2片刀片(學校 辦公 學生 文具),"SDI 自動鎖定小美工刀 0406C 12個, 1盒",0.43913784623146057
【咪咪購物】美工刀｜一入(工業用美工刀 辦公室文具 手工藝品 美工刀 電商必備 開箱刀  裁紙刀 切割刀),"PINKFOOT 胡蘿蔔造型美工刀 24支, 橘色, 1罐",0.4148505926132202
【Olfa】最新小型進化版 美工刀 / 支 A-1型,"OLFA PC-S小型壓克力切割刀, 1支",0.43300923705101013
【Plus 普樂士】Cu-003美工刀  / 個(小),"PLUS ORANTE 美工刀 CU-300, 粉綠色, 1支",0.43109267950057983
【同闆購物】大美工刀 小美工刀 美工刀 學生美術工具 包膜刀 紙雕刀 裁紙刀 雕刻刀 不鏽鋼美工刀 辦公文具 電商必備,"快背美工刀片50件組 48-22-1950, 紅黑色, 1組",0.4178334176540375
【Sdi 手牌】0413C 精美自動鎖定型小美工刀顏色隨機(3入1包),"SDI 自動鎖定小美工刀 0406C 12個, 1盒",0.4699927866458893
【Sdi 手牌】自動鎖定 超強 鎖定 大美工刀 /支 0442S,"SDI 自動鎖定小美工刀 0406C 12個, 1盒",0.4507080614566803
【Olfa】極致系列 小型美工刀 / 支 Ltd-4,"OLFA PC-S小型壓克力切割刀, 1支",0.4325902462005615
【Sdi 手牌】0406C 自動鎖定小美工刀(3入1包),"SDI 自動鎖定小美工刀 0406C 12個, 1盒",0.47782567143440247
❤️愛卡樂賣場❤️ 雲朵迷你美工刀 迷你美工刀 隨身小刀 美工刀 包裹美工刀 迷你小刀,"PINKFOOT 胡蘿蔔造型美工刀 24支, 橘色, 1罐",0.4417232573032379
【Jin Shin Fa 金興發】Sdi手牌 職人用工藝刀 0443C 限定色系(美工刀 辦公室用品 文具),"SDI 自動鎖定小美工刀 0406C 12個, 1盒",0.42611345648765564
【Sdi 手牌】超薄型 細工刀 美工刀 /支 0400C,"SDI 自動鎖定小美工刀 0406C 12個, 1盒",0.4590481221675873
【Sdi 手牌】超強 自動鎖定 小 美工刀 /支 0412S,"SDI 自動鎖定小美工刀 0406C 12個, 1盒",0.4618370532989502
【Sdi 手牌】自動鎖定 雙色 防滑 小美工刀 顏色隨機 /支 0414C,"SDI 自動鎖定小美工刀 0406C 12個, 1盒",0.46367308497428894
【蛋蛋購物】貓爪美工刀 美工刀 迷你刀片 迷你美工刀 萬用美工刀 輕巧美工刀 美工刀  拆貨美工刀(美工刀 貓抓美工刀 輕巧美工刀),"PINKFOOT 胡蘿蔔造型美工刀 24支, 橘色, 1罐",0.4408678114414215
【Sdi 手牌】職人用工藝美工刀 0443C 開學文具,"SDI 自動鎖定小美工刀 0406C 12個, 1盒",0.42362886667251587
【Olfa】刀片可替換式 安全工作刀 /支 Sk-16(日本內銷型號239B),"OLFA 虛線刀 PRC-2 18mm, 1支",0.41180220246315
【Sdi 手牌】手動鎖定 精美 大美工刀 顏色隨機 /支 0432C,"SDI 自動鎖定小美工刀 0406C 12個, 1盒",0.45285725593566895
【Sdi 手牌】經濟型 手動鎖定 小 美工刀 顏色隨機 /支 0405D,"SDI 自動鎖定小美工刀 0406C 12個, 1盒",0.4563058912754059
【Olfa】極致系列 小型美工刀 / 支 Ltd-3,"OLFA PC-S小型壓克力切割刀, 1支",0.4308447539806366
【Abel 力大牌】輕巧小美工刀-混色3色(輕巧小美工刀),"PLUS ORANTE 美工刀 CU-300, 粉綠色, 1支",0.4049645662307739
【Sdi 手牌】實用型小美工刀 /支 0404C(顏色隨機出貨),"SDI 自動鎖定小美工刀 0406C 12個, 1盒",0.46562013030052185
【Olfa】45-C 地毯切割刀,"OLFA PC-S小型壓克力切割刀, 1支",0.4294436573982239
【Sdi 手牌】超薄型 細工刀 美工刀 /支 0400C,"SDI 自動鎖定小美工刀 0406C 12個, 1盒",0.4590481221675873
【Sdi 手牌】職人用工藝美工刀 0443C 文具(學校 辦公),"SDI 自動鎖定小美工刀 0406C 12個, 1盒",0.42711761593818665
【Sdi 手牌】Sdi 0404C 實用型小美工刀(3入1包),"SDI 自動鎖定小美工刀 0406C 12個, 1盒",0.46777620911598206
【Olfa】新式大型虛線刀 /支 Prc-3/C,"OLFA 虛線刀 PRC-2 18mm, 1支",0.4731706976890564
【Olfa】專業精密型 筆刀 / 支 Ak-4,"OLFA 筆刀, AK-1, 1個",0.4702947735786438
【Olfa】不銹鋼安全工作刀 / 支 Sk-12,"OLFA PC-S小型壓克力切割刀, 1支",0.41648659110069275
【Sdi 手牌】經濟型 手動鎖定 小 美工刀 顏色隨機 /支 0405D,"SDI 自動鎖定小美工刀 0406C 12個, 1盒",0.4563058912754059
【Sdi 手牌】自動＋螺旋 專業 雙重鎖定 大美工刀 顏色隨機 /支 0434C,"SDI 自動鎖定小美工刀 0406C 12個, 1盒",0.45542967319488525
【Olfa】可愛 彩色小刀 /支 Tk-4 型,"OLFA PC-S小型壓克力切割刀, 1支",0.4317569136619568
