MOMO Title,Product Title,Similarity
【Montblanc 萬寶龍】星際旅者男性淡香水50Ml(專櫃公司貨),MONTBLANC 萬寶龍 Sartorial 硬質手機殼,0.4166627526283264
【Montblanc 萬寶龍】匠心系列防刮牛皮 6+2透明卡層對開短夾(黑色),MONTBLANC 萬寶龍 零錢短夾 116293,0.4742037355899811
【Montblanc 萬寶龍】Meisterstuck 大班系列小牛皮 4卡零錢袋短夾(墨藍色),MONTBLANC 萬寶龍 零錢短夾 116293,0.4695800840854645
【Montblanc 萬寶龍】匠心系列牛皮信差包,MONTBLANC 萬寶龍 翻蓋式手機殼,0.4077945947647095
【Montblanc 萬寶龍】匠心系列防刮牛皮對開8卡短夾(黑色),MONTBLANC 萬寶龍 零錢短夾 116293,0.4759370684623718
【Montblanc 萬寶龍】暢銷短夾大班/匠心/風尚/夜航/都市俊彥/4810-多款任選(送原廠提袋),MONTBLANC 萬寶龍 零錢短夾 116293,0.4376162588596344
【Montblanc 萬寶龍】大班系列經典牛皮15卡長夾,MONTBLANC 萬寶龍 翻蓋式手機殼,0.4321231544017792
【Montblanc 萬寶龍】Extreme 3.0 風尚系列單肩包 / 胸包(送原廠提袋),MONTBLANC 萬寶龍 翻蓋式手機殼,0.4061165452003479
【Montblanc 萬寶龍】匠心十字紋小牛皮15卡長夾(送原廠提袋),MONTBLANC 萬寶龍 翻蓋式手機殼,0.416154682636261
【Montblanc 萬寶龍】原子筆+卡夾禮盒組(送原廠新版提袋),"MONTBLANC 萬寶龍 原子筆芯 M, 1個, 黑色",0.4630753695964813
【Montblanc 萬寶龍】（大班）4810樹皮印花8卡短夾/男士皮夾(送原廠提袋),MONTBLANC 萬寶龍 零錢短夾 116293,0.4684244692325592
【Montblanc 萬寶龍】大班系列附提把拉鍊旅行長夾(黑色),MONTBLANC 萬寶龍 翻蓋式手機殼,0.42288413643836975
【Montblanc 萬寶龍】匠心系列12卡拉鍊長夾,MONTBLANC 萬寶龍 翻蓋式手機殼,0.43650463223457336
【Montblanc 萬寶龍】大師傑作大班系列雙摺式名片夾(送原廠新版提袋),MONTBLANC 萬寶龍 翻蓋式手機殼,0.41901037096977234
【Montblanc 萬寶龍】匠心系列防刮牛皮15卡對開長夾(黑色),MONTBLANC 萬寶龍 零錢短夾 116293,0.41870442032814026
【Montblanc 萬寶龍】匠心系列防刮牛皮 6卡附鈔票夾短夾(黑色),MONTBLANC 萬寶龍 零錢短夾 116293,0.4784987270832062
【Montblanc 萬寶龍】匠心系列防刮牛皮對開8卡短夾(陶綠色),MONTBLANC 萬寶龍 零錢短夾 116293,0.4581332802772522
【Montblanc 萬寶龍】Explorer 探尋旅者淡香精 100Ml(專櫃公司貨),MONTBLANC 萬寶龍 Sartorial 硬質手機殼,0.40932023525238037
【Montblanc 萬寶龍】匠心十字紋皮帶114421(送原廠提袋),MONTBLANC 萬寶龍 翻蓋式手機殼,0.43015164136886597
【Montblanc 萬寶龍】恆星男性淡香水體香膏75G(專櫃公司貨),MONTBLANC 萬寶龍 Sartorial 硬質手機殼,0.43138495087623596
【Montblanc 萬寶龍】大班系列 信差包(大師傑作系列 經典包款 129670),MONTBLANC 萬寶龍 Sartorial 硬質手機殼,0.41997236013412476
【Montblanc 萬寶龍】4810 Westside兩卡卡夾(西方之星 水波紋116385),MONTBLANC 萬寶龍 翻蓋式手機殼,0.4417709708213806
【Montblanc 萬寶龍】Explorer 探尋旅者淡香精 Edp 100Ml(平行輸入),"阿爾卑斯徒步旅行 6：天堂天堂 AV2, MONTBLANC 萬寶龍, 許庚烈",0.4037385582923889
【Montblanc 萬寶龍】Explorer 探尋旅者淡香精(100Ml-專櫃公司貨),MONTBLANC 萬寶龍 Sartorial 硬質手機殼,0.40932023525238037
【Montblanc 萬寶龍】匠心十字紋牛皮中型後背包/電腦包(送原廠提袋),MONTBLANC 萬寶龍 翻蓋式手機殼,0.40129029750823975
