MOMO Title,Product Title,Similarity
【小麥購物】莫蘭迪色筆袋(透明筆袋 鉛筆盒 文具袋 化妝包 收納 文具 考試筆袋 文青筆袋),"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 粉色",0.45237210392951965
【8H】透明網紗筆收納袋簡約透明網紗筆網狀透明筆袋 簡約筆盒 多功能收納袋 拉鍊袋 尼龍收納袋 化妝袋 網紗筆袋 鉛筆盒 鉛筆袋,"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 灰色",0.450020432472229
大容量透明雙層文具筆袋,"生活品質提升透明筆袋, 粉色, 1個",0.45552143454551697
【Jin Shin Fa 金興發】簡約透明網紗雙層拉鍊袋 筆袋(雙層筆袋 出國零錢袋 收納 文具),"Nana Shop 網狀透明筆袋, 1個, 灰色",0.4491892457008362
【Yuanren 原人購物】透明網紗筆袋 網紗筆袋 網格筆袋 鉛筆文具袋 鉛筆袋 筆袋推薦 時尚透明筆袋 輕便網紗文具袋 多功能透明筆袋,"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 灰色",0.46313178539276123
【Bluecat】大容量透明收納筆袋(透明筆袋 手提筆袋 大容量 文具袋 收納袋 鉛筆盒 文具盒 化妝品 收納袋 旅行袋),"Dongah PMS大容量簡約雙層方形透明筆袋, 1個, 天空",0.44563886523246765
【角落生物】角落生物-小夥伴 透明長型筆袋F-藍/粉,"生活品質提升透明筆袋, 粉色, 1個",0.4558635354042053
【Color Me】日系透明網紗筆袋 中 五個一組筆袋 網紗袋 文具袋 鉛筆袋 鉛筆盒 拉鍊袋 票據袋 收納筆袋 1111Campaign,"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 灰色",0.4482324421405792
【沐日居家】大容量鉛筆盒 透明筆袋 大容量收納包(鉛筆盒 Pvc),"城市公司大容量PVC透明筆袋, 棕色, 1個",0.4432765543460846
【安朵童舖】現貨Ins兒童文具大容量透明筆袋女童可愛印花鉛筆袋防水防潮筆袋收納袋(047),"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 粉色",0.4366985559463501
【Wepay】極簡風簡約筆袋-A5(筆袋 尼龍網眼筆袋 網紗筆袋 鉛筆盒 透明筆袋 考試用筆袋 文具收納袋),"生活品質提升透明筆袋, 粉色, 1個",0.45852425694465637
A6 Eva網格收納拉鍊袋 透明收納袋 萬用包文具包 文件袋 票據袋 拉鍊袋 網格袋 筆袋,"Mungom商店 感性簡約PVC透明筆袋, 1個, 粉色",0.4024471640586853
【Lumi Travel】網紗筆袋 鉛筆盒 網紗袋文具袋 透明 網紗 工具袋 刷具袋 化妝刷收納 飾品收納,"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 灰色",0.43083706498146057
【芬菲文創】簡約透明網布文具袋 大容量分類收納筆袋(大號4入),"城市公司大容量PVC透明筆袋, 棕色, 1個",0.44588416814804077
【角落生物】角落生物-小夥伴 透明長型筆袋E-藍/粉,"生活品質提升透明筆袋, 粉色, 1個",0.45493173599243164
【Kamio】迪士尼 小熊維尼 Pvc雙面透明筆袋 雙層筆袋 維尼&小豬,"KOKUYO PiiiP Light透明筆袋 Newtro, 紫色, 1個",0.4148954451084137
【Transformers 變形金剛】Eva材質3D立體透明浮雕大容量多分層防水筆袋鉛筆盒(多款可選),"Kohimo Slim型透明網狀筆袋網狀鉛筆盒 4W108, 2個, 灰色",0.43843579292297363
【德德小品集】簡約風網格筆袋(Ins 考試用 透明網格收納),"生活品質提升透明筆袋, 粉色, 1個",0.42838045954704285
【Sanrio 三麗鷗】聯名透明筆袋  Fudebako 國高中生 鉛筆盒 半透明筆袋 隨身收納包 外出盥洗 輕鬆分類大耳狗 庫洛米 美樂蒂,"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 灰色",0.4309651553630829
【角落生物】角落生物-小夥伴 透明長型筆袋C-藍/粉,"生活品質提升透明筆袋, 粉色, 1個",0.45071884989738464
【Joeki】透明三角筆袋-雙層(莫蘭迪色 鉛筆盒 防水筆袋 大容量拉鍊 文具袋 拉鍊筆袋 文具收納),"生活品質提升透明筆袋, 粉色, 1個",0.4576181471347809
【Her】透明筆袋 防潑水收納袋 零錢袋 多功能收納袋 三角鉛筆袋 多功能文具袋(刷具收納袋 鉛筆盒 考試筆袋),"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 灰色",0.4609432518482208
【Wepay】極簡風簡約筆袋-A4(筆袋 尼龍網眼筆袋 網紗筆袋 鉛筆盒 透明筆袋 考試用筆袋 文具收納袋),"生活品質提升透明筆袋, 粉色, 1個",0.4579189717769623
【Color Me】日系透明網紗筆袋 大 三個一組筆袋 網紗袋 文具袋 鉛筆袋 鉛筆盒 拉鍊袋 票據袋 收納筆袋 1111Campaign,"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 灰色",0.44964835047721863
【Wepay】極簡風簡約筆袋-三角款(筆袋 尼龍網眼筆袋 網紗筆袋 鉛筆盒 透明筆袋 考試用筆袋 文具收納袋),"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 粉色",0.4643765985965729
【Lavida 育兒好好玩】大容量鉛筆袋 鉛筆盒 鉛筆袋 透明筆袋 大容量筆袋 多層筆袋 大容量收納包 透明鉛筆盒 Pvc鉛筆盒,"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 灰色",0.46059489250183105
Nicola 透明筆袋 Q 三角袋型 收納包,"Nana Shop 網狀透明筆袋, 1個, 灰色",0.42730095982551575
【Hakka 生活小資美學客】簡約風透明筆袋 米/灰 1入(透明鉛筆袋 透明鉛筆盒 鉛筆袋 筆袋 文具袋),"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 粉色",0.46573153138160706
【Color Me】莫蘭迪透明防水筆袋筆袋 透明筆袋 Pvc袋 鉛筆袋 文具袋 化妝包 收納袋 鉛筆盒 化妝袋 防水包 1111Campaign,"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 粉色",0.4541349709033966
【G.Sin】鉛筆袋 透明筆袋 日系筆袋,"生活品質提升透明筆袋, 粉色, 1個",0.45184314250946045
【角落生物】角落生物-小夥伴 大方透明筆袋D-藍/粉,"生活品質提升透明筆袋, 粉色, 1個",0.4498424232006073
【角落生物】角落生物-小夥伴 透明三角筆袋A-藍/粉,"生活品質提升透明筆袋, 粉色, 1個",0.4462321996688843
雙層 網紗筆袋(收納袋 五色 辦公文具袋 尼龍網紗袋 筆袋 旅行盥洗袋 無印風筆袋 透明筆袋 網眼筆袋),"Gajeman 簡約網紗筆袋, 黑色, 4個",0.42416834831237793
【小禮堂】拉拉熊 透明方形拉鍊筆袋 - 紫好友櫻花款(平輸品),"生活品質提升透明筆袋, 粉色, 1個",0.43447360396385193
日創生活 透明防水筆袋 透明鉛筆盒 {透明筆袋 鉛筆袋 鉛筆盒 透明 筆袋 文具袋 透明鉛筆袋 收納袋 文青筆袋},"生活品質提升透明筆袋, 粉色, 1個",0.46485114097595215
【芬菲文創】簡約透明網布文具袋 大容量分類收納筆袋(小號2入),"生活品質提升透明筆袋, 粉色, 1個",0.4454708695411682
【Wepay】極簡風簡約筆袋-A6(筆袋 尼龍網眼筆袋 網紗筆袋 鉛筆盒 透明筆袋 考試用筆袋 文具收納袋),"生活品質提升透明筆袋, 粉色, 1個",0.4565424919128418
鉛筆盒 台灣現貨 超大容量 可愛透明鉛筆盒 筆袋 學生 卡通文具 少女心 大容量鉛筆盒 鉛筆袋 收納袋 文具,"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 粉色",0.4525485038757324
Be Myself 透明上翻筆袋(白/黑/粉/灰),"生活品質提升透明筆袋, 粉色, 1個",0.4298592209815979
【Trailos 翠樂絲】Yplus 多巴胺大容量鉛筆袋 透明 網格,"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 灰色",0.4293147325515747
無印風網紗筆袋 大容量 透明鉛筆盒 收納袋 筆盒 文具收納 辦公會計用品 學生文具袋 網格拉鏈袋,"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 灰色",0.44837602972984314
【小麥購物】透明網紗筆袋(鉛筆袋 筆袋 尼龍網眼筆袋 鉛筆盒 網紗筆袋 網眼筆袋 文具 大學生 簡約 筆袋),"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 灰色",0.4606933295726776
有吉合作社 透明長型筆袋大(隨機出貨),"生活品質提升透明筆袋, 粉色, 1個",0.44822490215301514
❤️愛卡樂賣場❤️ 透明筆袋 鉛筆盒 鉛筆袋 文具袋 透明收納袋 文具 考試筆袋,"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 粉色",0.45094364881515503
【Joeki】大容量鉛筆袋(鉛筆盒 鉛筆袋 透明筆袋 透明鉛筆盒 多層筆袋 大容量收納包 大容量筆袋 Pvc鉛筆盒),"Kohimo Slim型透明網狀筆袋網狀鉛筆盒 4W108, 2個, 灰色",0.45435380935668945
【角落生物】角落生物-小夥伴 透明三角筆袋B-藍/粉,"生活品質提升透明筆袋, 粉色, 1個",0.4432244598865509
逸家居 Ins透明筆袋文具收納袋韓系筆袋 透明 鉛筆盒 鉛筆盒韓國 鉛筆盒 鉛筆袋 鉛筆盒大容量,"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 灰色",0.4571673572063446
【芬菲文創】彩色透明立體方形筆袋化妝包防水收納包(二入),"Dongah PMS大容量簡約雙層方形透明筆袋, 1個, 天空",0.42393171787261963
大容量透明鉛筆盒(大容量透明筆袋 筆袋 透明三角筆袋 鉛筆盒 文具袋),"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 粉色",0.46793293952941895
【角落生物】角落生物-小夥伴 透明長型筆袋D-藍/粉,"生活品質提升透明筆袋, 粉色, 1個",0.4514663517475128
【Wepay】極簡風簡約筆袋-方形款(筆袋 尼龍網眼筆袋 網紗筆袋 鉛筆盒 透明筆袋 考試用筆袋 文具收納袋),"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 灰色",0.45709124207496643
【隨心帶】日系撞色大容量多功能筆袋(大容量 透明 文具控 文具收納 化妝包 刷具包 收納包 開學文具 鉛筆盒),"Kohimo Slim型透明網狀筆袋網狀鉛筆盒 4W108, 2個, 灰色",0.4337928891181946
【178小舖】尼龍網眼筆袋 4入 (無印風筆袋 素色筆袋 網紗筆袋 方形筆袋 透明筆袋 考試用筆袋 學生筆袋 鉛筆盒 文具袋 筆袋 文具收納),"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 粉色",0.45386138558387756
【韓版小物】100支筆大容量多隔層透明鉛筆盒(可水洗 筆袋 外出 盥洗包 化妝包 文具袋 文具盒 分裝 學生),"Dongah PMS大容量簡約雙層方形透明筆袋, 1個, 天空",0.4458276331424713
【滑順拉鏈】冰川銀大容量透明痛包鉛筆盒(小卡冊 鉛筆袋 化妝品 刷具 收納包 學生 展示架 生日禮物),"Kohimo Slim型透明網狀筆袋網狀鉛筆盒 4W108, 2個, 灰色",0.4329148530960083
【芬菲文創】簡約透明網布文具袋 大容量分類收納筆袋(大號2入),"城市公司大容量PVC透明筆袋, 棕色, 1個",0.44531893730163574
【178小舖】透明筆袋 2入 (透明鉛筆盒 透明鉛筆袋 筆袋 鉛筆盒 鉛筆袋 大容量筆袋 文具袋 考試筆袋 雙層筆袋 筆袋大容量),"Gangjeong Life透明三角網狀鉛筆袋筆袋, 1個, 粉色",0.46669256687164307
透明筆袋 紗網筆袋 文具袋 10入(文青筆袋 彩妝袋 化妝包),"Gajeman 簡約網紗筆袋, 黑色, 4個",0.452330619096756
