MOMO Title,Product Title,Similarity
【Tatung 大同】1.7公升雙層電茶壺-白色(Tek-1713Wh),"溫控電茶壺, DKS1315, 黑色, 1.5L, 1個",0.4360630214214325
【Tatung大同】1.8公升不鏽鋼電茶壺(Tek-1815S),"溫控電茶壺, DKS1315, 黑色, 1.5L, 1個",0.41758784651756287
【Tatung 大同】1.7公升雙層電茶壺-黑色(Tek-1713Bk),"溫控電茶壺, DKS1315, 黑色, 1.5L, 1個",0.4357054531574249
【Philips 飛利浦】1.0L 不鏽鋼煮水壺 蜜粉色 Hd9348(Hd9348/54),"PHILIPS 飛利浦 3000系列無線熱水壺, HD9318/00",0.4337071180343628
【Cookpower 鍋寶】#316雙層防燙保溫快煮壺-1.7L-奶茶色(Kt-90171),"鍋寶 316不銹鋼保溫雙層防燙快煮壺, 綠色, 1.8L, 1個",0.4599010646343231
【Kinyo】1.5L 304不鏽鋼快煮壺(電熱壺/ 熱水壺/煮水壺/電茶壺Kihp-1157),"Kinyo 快煮壺, KIHP-1157",0.4510086476802826
【Cookpower 鍋寶】316不銹鋼快煮壺-1.8L-Kt-9180(2入組),"鍋寶 316不銹鋼保溫雙層防燙快煮壺, 綠色, 1.8L, 1個",0.45782968401908875
【Teco 東元】智能溫控玻璃電熱快煮壺/電水壺(Xyfyk1704B),"TECO 東元 大容量玻璃快煮壺 1.7L, XYFYK1706",0.46214595437049866
【Kinyo】雙電壓旅行快煮壼 0.6L(不鏽鋼熱水壺 隨行快煮壺 保溫壺 雙電壓旅行快煮壺 電熱水壺 電茶壺),"Kinyo 雙電壓旅行電水壺 快煮壺 附電源線底座 198 x 105 x 145mm 675g 600ml 1個, AS-HP90",0.46299198269844055
316不銹鋼  母嬰級電熱水壺 折疊燒水壺 家用多功能 電熱水杯,"Kinyo 電熱水杯 藍色, KIHP-2250",0.4053120017051697
【Cookpower 鍋寶】#316雙層防燙保溫快煮壺-1.8L-白(Kt-90181W),"鍋寶 316不銹鋼保溫雙層防燙快煮壺, 綠色, 1.8L, 1個",0.47186973690986633
【Kolin 歌林】1.7公升316不鏽鋼雙層防燙快煮壺(Kpk-Ln207),"Kolin 歌林 LED玻璃快煮壺 225 x 155 x 245mm, KPK-UD1705, 1個",0.43374958634376526
【Kolin 歌林】1.7L冷藍光Led玻璃快煮壺Kpk-Ud1705(飲水/泡茶/咖啡/泡麵),"Kolin 歌林 LED玻璃快煮壺 225 x 155 x 245mm, KPK-UD1705, 1個",0.43211129307746887
【Yamashita】山下-1.6L智能控溫快煮壺Ys-3160K煮水壺/電茶壺/電水壺-1111Campaign,"Kinyo 雙電壓旅行電水壺 快煮壺 附電源線底座 198 x 105 x 145mm 675g 600ml 1個, AS-HP90",0.42833688855171204
【Chimei 奇美】木紋手沖細口快煮壺(Kt-08L022),"CHIMEI 奇美家電 木紋手沖細口快煮壺 274 x 141 x 186mm 760g, KT-08L022",0.4541366696357727
【Cookpower 鍋寶】316不銹鋼快煮壺-1.8L(Kt-9180),"鍋寶 316不銹鋼保溫雙層防燙快煮壺, 綠色, 1.8L, 1個",0.4614882171154022
【大家源】1.8L 304全不鏽鋼快煮壺/電水壺(Tcy-269018),"五星級不鏽鋼快煮壺 1.8L, LM-720, 1個",0.4501832127571106
【Kolin 歌林】1.8L雙層防燙316不銹鋼快煮壺Kpk-Mn1821(電茶壺/煮水壺),"Kinyo 快煮壺, KIHP-1157",0.44593894481658936
【Kinyo】摺疊把手不銹鋼快煮壺/電茶壺/As-Hp70(雙電壓/旅行),"Kinyo 快煮壺, KIHP-1157",0.4377668499946594
【Ahoye】可調溫旅用折疊快煮壺 600Ml 煮水壺 熱水壺(快煮壺),"Kinyo 雙電壓旅行電水壺 快煮壺 附電源線底座 198 x 105 x 145mm 675g 600ml 1個, AS-HP90",0.4174928665161133
【Cookpower 鍋寶】#316雙層防燙保溫快煮壺-1.8L-粉(Kt-90183P),"鍋寶 316不銹鋼保溫雙層防燙快煮壺, 綠色, 1.8L, 1個",0.4688117206096649
【日本Awson歐森】1.7L雙層防護不銹鋼電熱壺/快煮壺/電茶壺/煮水壺As-Hp0175雙層防護(居家/辦公室通用),"Kinyo 雙電壓旅行電水壺 快煮壺 附電源線底座 198 x 105 x 145mm 675g 600ml 1個, AS-HP90",0.43810147047042847
【Kinyo】分離式雙電壓旅行快煮壺(水壺 電茶壺 煮水壺 摺疊把手 雙電壓快煮壺),"Kinyo 雙電壓旅行電水壺 快煮壺 附電源線底座 198 x 105 x 145mm 675g 600ml 1個, AS-HP90",0.4515618085861206
【Kolin 歌林】2.0L不銹鋼快煮壺,"Kolin 歌林 LED玻璃快煮壺 225 x 155 x 245mm, KPK-UD1705, 1個",0.43482446670532227
【Yamazen 山善】玩美溫控手沖壺 Egl-C1280Tw (日本山善 電熱壺 快煮壺 C800後代__Kimi極美職人推薦),"雙層防燙電熱壺 25.3 x 23 x 15.5cm 粉色 1.8L 1kg, DC-K2343P, 1個",0.4190577268600464
【法國-阿基姆Agim】1L 鈦鋼快煮壺(Ek-1016),"Kinyo 快煮壺, KIHP-1157",0.4235052168369293
【Panasonic 國際牌】1.5公升雙層溫控型不鏽鋼快煮壺(Nc-Kd700),"Panasonic 國際牌 溫控型電水壺 1.5L, NC-KD700",0.44963881373405457
【Chimei 奇美】1.7L 不鏽鋼三層防燙快煮壺-古銅金(Kt-17Ms05),"CHIMEI 奇美家電 木紋手沖細口快煮壺 274 x 141 x 186mm 760g, KT-08L022",0.4174821972846985
【Kolin 歌林】2L玻璃快煮壺Kpk-Ln213G,"Kolin 歌林 LED玻璃快煮壺 225 x 155 x 245mm, KPK-UD1705, 1個",0.45308059453964233
【Imarflex伊瑪】1.3公升不銹鋼快煮手沖壺(Ik-1302),"五星級不鏽鋼快煮壺 1.8L, LM-720, 1個",0.4030047357082367
【Cookpower 鍋寶】316不鏽鋼雙層防燙快煮壺1.8L-奶油黃(Kt-92181Yw),"鍋寶 316不銹鋼保溫雙層防燙快煮壺, 綠色, 1.8L, 1個",0.45216870307922363
【鍋寶】1.8L 歐風玻璃快煮壺(Kt-1830-D),"大家源 晶瑩玻璃快煮壺 1.8L 21 x 16 x 22.5cm 980g, TCY-261802",0.45241910219192505
【Kolin 歌林】2.0L防燙不銹鋼快煮壺Kpk-Mn2022(電茶壺/煮水壺),"Kinyo 快煮壺, KIHP-1157",0.4444553256034851
【Kolin 歌林】1.8L極光玻璃快煮壺Kpk-Mn1853(電水壺/電茶壺/電煮壺),"Kolin 歌林 LED玻璃快煮壺 225 x 155 x 245mm, KPK-UD1705, 1個",0.4453796148300171
