MOMO Title,Product Title,Similarity
【Philips 飛利浦】66159 A5 軒博全光譜智能Led護眼檯燈(Pd046-),"PHILIPS 飛利浦 LED檯燈, 白色",0.41117265820503235
【Philips 飛利浦】飛利浦 Led檯燈 檯燈 品慧 護眼 66137 Led抬燈 調光 桌燈 柔光護眼檯燈 插電檯燈,"PHILIPS 飛利浦 LED檯燈, 白色",0.454948753118515
Philips 飛利浦 Pd055 品志 66247 Led全光譜 可攜式充電檯燈(白色 無級調光 多角度旋轉 檯燈 桌燈 閱讀燈 飛利浦檯燈),"PHILIPS 飛利浦 LED檯燈, 白色",0.4157277047634125
Philips 飛利浦 Pd052 品笛 66219 二代電腦螢幕掛燈(三段色溫 感應開關 適用各類型螢幕 螢幕掛燈 螢幕燈 掛燈),"Kinyo 螢幕掛燈 PCED-805, 混合顏色",0.4066297709941864
Philips 飛利浦 Pd040 酷雅 66140 Led讀寫檯燈(白色 三段調光 防眩光 檯燈 桌燈 閱讀燈 護眼檯燈 飛利浦檯燈),"PHILIPS 飛利浦 LED檯燈, 白色",0.4297778010368347
Philips 飛利浦 Pd048 酷雅 66142 超長續航版讀寫檯燈 充插兩用 三段調色溫 檯燈 桌燈 閱讀燈 飛利浦檯燈,"PHILIPS 飛利浦 LED檯燈, 白色",0.4170123040676117
【Philips 飛利浦】酷雅 Led全光譜護眼檯燈66140-皓月白(Pd040),"PHILIPS 飛利浦 LED檯燈, 白色",0.41758567094802856
【Philips 飛利浦】Philips飛利浦 Led檯燈 5.8W  66248 品誠 檯燈 化妝燈 立燈 護眼 66137品慧,"PHILIPS 飛利浦 LED檯燈, 白色",0.4382588863372803
Philips 飛利浦 Pd049 品昊 66239 Led全光譜 護眼檯燈(白色 上下通透出光 三段色溫 檯燈 桌燈 閱讀燈 飛利浦檯燈),"PHILIPS 飛利浦 LED檯燈, 白色",0.43136242032051086
【Philips 飛利浦】66137品慧 第二代 Led 全光譜讀寫檯燈(Td03),"PHILIPS 飛利浦 LED檯燈, 白色",0.4303472936153412
Philips 飛利浦 Pd001 品伽 66102 Led全光譜 護眼檯燈(白色 小夜燈 四段調光 防眩光 檯燈 桌燈),"PHILIPS 飛利浦 LED檯燈, 白色",0.43304115533828735
