Title,Price
【Polybatt】氮化鎵Gan 65W口袋充電器-黑+蘋果認證Typec To Lightning 編織線玫瑰金-100Cm,0
【Cityboss】45W雙Type-C口氮化鎵黑+Nexson 蘋果認證 Type-C To Lightning-玫瑰金色(2C),0
【Miniq】Ac-Dk200T氮化鎵五孔2A3C 95W 充電器黑+Nexson 蘋果認證 Type-C To Lightning-玫瑰金色,0
【Amuok】Gan氮化鎵 33W 急速充電器Ak0133W-黑+Nexson 蘋果認證 Type-C To Lightning-玫瑰金(1A1C),0
【Cityboss】65W 氮化鎵快充白+Nexson 蘋果認證 Type-C To Lightning-玫瑰金(1A2C),0
【Hang】第三代氮化鎵Gan 30W雙孔快充頭白+Nexson 蘋果認證 Type-C To Lightning Pd閃充線-玫瑰金(1A1C),0
【Cityboss】65W 氮化鎵快充黑+Nexson 蘋果認證 Type-C To Lightning-玫瑰金(1A2C),0
【Palladium-Ub-26】35W閃充 Pd+Qc3.0 35W氮化鎵 閃充+Nexson 蘋果認證 Type-C To Lightning-玫瑰金(2A2C),0
【Cityboss】45W雙Type-C口氮化鎵白+Nexson 蘋果認證 Type-C To Lightning-玫瑰金色(2C),0
【Polybatt】氮化鎵Gan 65W口袋充電器-黑+蘋果認證Typec To Lightning 編織線玫瑰金(200Cm),0
【Hang】30W 第三代氮化鎵Gan 快速充電器白+Nexson 蘋果認證 Type-C To Lightning Pd閃充線-玫瑰金(1C),0
【Hang】30W 第三代氮化鎵Gan 快速充電器黑+Nexson 蘋果認證 Type-C To Lightning Pd閃充線-玫瑰金(1C),0
【Mycell】65W氮化鎵Gdk55T 黑色+Nexson 蘋果認證 Type-C To Lightning-玫瑰金色(1A2C),0
【Hang】第三代氮化鎵Gan 30W雙孔快充頭黑+Nexson 蘋果認證 Type-C To Lightning Pd閃充線-玫瑰金(1A1C),0
【Miniq】Ac-Dk200T氮化鎵五孔2A3C 95W 充電器白+Nexson 蘋果認證 Type-C To Lightning-玫瑰金色,0
【Amuok】Gan氮化鎵 33W 急速充電器Ak0133W-白+Nexson 蘋果認證 Type-C To Lightning-玫瑰金(1A1C),0
