Title,Price
【Hp 惠普】星鑽翻轉14 X360 14-Ek1033Tu 14吋輕薄翻轉觸控筆電(I5-1335U/16G/512G Ssd/W11/附觸控筆),0
【Hp 惠普】14吋 I7-1355U 輕薄翻轉觸控筆電(Pavilion X360/14-Ek1043Tu/16G/1Tb Ssd/Win11),0
【Hp 惠普】16吋Amd R7商用觸控筆電(Probook 465 G11/R7-7735U/16G/512G Ssd/Win11Pro/一年保固),0
【Hp 惠普】送超值Office2021★14吋輕薄翻轉觸控筆電(I5-1335U/16G/512G Ssd/W11),0
【Hp 惠普】獨家滑鼠組★Pavilion X360 14-Ek1033Tu 14吋輕薄翻轉觸控筆電(I5-1335U/16G/512G/W11),0
【Hp 惠普】微軟365一年組★Pavilion X360 14-Ek1033Tu 14吋輕薄翻轉觸控筆電(I5-1335U/16G/512G/W11),0
【Hp 惠普】送獨家滑鼠組★14吋 I7-1355U 輕薄翻轉觸控筆電(Pavilion X360/14-Ek1043Tu/16G/1Tb/W11),0
【Hp 惠普】送獨家筆電包/滑鼠組★14吋 I7-1355U 輕薄翻轉觸控筆電(Pavilion X360/14-Ek1043Tu/16G/1Tb/W11,0
【Hp 惠普】獨家筆電包/滑鼠組★Envy X360 13-Bf0047Tu Evo 13吋Oled觸控筆電(I7-1250U/16G/1Tb Ssd/W11),0
【Hp 惠普】送超值Office2024★Envy X360 Evo 13吋Oled翻轉觸控筆電(I7-1250U/16G/1Tb Ssd/W11),0
【Hp 惠普】獨家包鼠組★14吋R7-8840Hs Oled翻轉觸控筆電(Envy X360 14-Fa0029Au/32G/1Tb Ssd/W11),0
【Hp 惠普】獨家外接1Tb Ssd組★Pavilion X360 14-Ek1033Tu 14吋輕薄翻轉觸控筆電(I5-1335U/16G/512G/W11),0
【Hp 惠普】送獨家筆電包/滑鼠組★Pavilion X360 14-Ek1033Tu 14吋輕薄翻轉觸控筆電(I5-1335U/16G/512G/W11,0
【Hp 惠普】獨家筆電包/滑鼠組★極羨翻轉13 Envy X360 13-Bf0047Tu Evo 13吋Oled翻轉觸控筆電(I7-1250U/16G,0
【Hp 惠普】獨家筆電包/滑鼠組★極羨翻轉13 Evo 13吋Oled翻轉觸控筆電(13-Bf0047Tui7-1250U/16G/1T /W11),0
