Title,Price
【Kingston 金士頓】Xs1000 1Tb Type-C Usb 3.2 Gen 2 外接式Ssd固態硬碟 黑(Sxs1000/1000G),0
【Transcend 創見】Sj25H3P 1Tb 2.5吋 軍規防震外接硬碟,0
【Kingston 金士頓】Xs1000 1Tb Usb 3.2 Gen 2 外接式 Ssd 固態硬碟 星曜紅(Sxs1000R/1000G),0
【Wd 威騰】My Book 16Tb 3.5吋 外接硬碟(Wdbbgb0160Hbk-Sesn),0
【Wd 威騰】My Passport Ultra 4T 4Tb Type-C 2.5吋 行動硬碟 Usb-C 外接式硬碟,0
搭 硬碟收納包  Toshiba 東芝 Canvio Basics A5 黑靚潮Ⅴ 1T 1Tb 2.5吋 外接式硬碟 行動硬碟 隨身硬碟,0
【Wd 威騰】My Book 6Tb 3.5吋外接式硬碟Wdbbgb0060Hbk-Sesn,0
【Seagate 希捷】One Touch Hub 8Tb 3.5吋外接硬碟 Stlc8000400,0
【Seagate 希捷】新黑鑽 Expansion Desktop 4Tb 3.5吋外接硬碟(Stkp4000400),0
【Wd 威騰】搭 硬碟收納包 New My Passport 6T 6Tb 2.5吋行動硬碟 Wesn 外接式硬碟,0
【Wd 威騰】Wd80Efpx 紅標Plus 8Tb 3.5吋Nas硬碟,0
【Wd 威騰】My Passport Ultra For Mac 5Tb 2.5吋 Usb-C 外接硬碟《炫光銀》,0
【Seagate 希捷】Expansion 2Tb 2.5吋行動硬碟(Stkm2000400),0
【Wd 威騰】My Passport For Mac 4Tb 2.5吋 Usb-C 外接硬碟,0
【Kingston 金士頓】Xs1000 2T 2Tb Usb3.2 Gen2 外接式 Ssd 固態硬碟 行動固態硬碟  Sxs1000/Sxs1000R/2000G 外接式硬碟,0
【Wd 威騰】Elements 1Tb 2.5吋 外接式硬碟Wdbuzg0010Bbk-Wesn,0
Toshiba 東芝 Canvio Basics A5 黑靚潮Ⅴ 4T 4Tb 2.5吋 外接式硬碟 行動硬碟 隨身硬碟,0
搭 原廠硬碟包 Toshiba 東芝 Canvio Advance V10 2T 2Tb 2.5吋 外接式硬碟 高速輕薄 行動硬碟 隨身硬碟,0
Toshiba 東芝 Canvio Advance V10 4T 4Tb 2.5吋 外接式硬碟 高速輕薄 行動硬碟 隨身硬碟,0
【Wd 威騰】My Book 18Tb 3.5吋外接硬碟(Wdbbgb0180Hbk-Sesn),0
【Wd 威騰】紅標 Plus 8Tb 3.5吋 5640轉 256Mb Nas 內接硬碟(Wd80Efpx),0
【Wd 威騰】New My Passport 5T 5Tb 2.5吋行動硬碟 Wesn 外接式硬碟,0
【Wd 威騰】紅標Plus 10Tb Nas專用3.5吋Sata硬碟(Wd101Efbx),0
【Adata 威剛】Hm800 4Tb 3.5吋 外接硬碟,0
【Wd 威騰】搭 硬碟收納包 My Passport Ultra 5T 5Tb Type-C 2.5吋 行動硬碟 Usb-C 外接式硬碟,0
【Wd 威騰】搭 硬碟收納包 New My Passport 2T 2Tb 2.5吋行動硬碟 Wesn 外接式硬碟,0
【Wd 威騰】My Passport 5Tb 2.5吋外接硬碟《白》,0
【Wd 威騰】搭 硬碟收納包 My Passport Ultra 4T 4Tb Type-C 2.5吋 行動硬碟 Usb-C 外接式硬碟,0
